RUN,NEMO,NOMBRE,FOCO,TIPO,FECHA_INICIO,SOURCE,MONEDA,MONEDA_ESTANDAR
6666,AA00013,ARDIAN,,PRIVATE EQUITY,,,,
6667,AA00017,ARDIAN,,PRIVATE EQUITY,,,,
6668,AA00019,ARDIAN,,PRIVATE EQUITY,,,,
6669,AA00020,ARDIAN,,PRIVATE EQUITY,,,,
6670,AA00021,ARDIAN,,PRIVATE EQUITY,,,,
6671,AA00013,ARDIAN,,PRIVATE EQUITY,,,,
6671,AA00048,ARDIAN,,PRIVATE EQUITY,,,,
6672,AA00021,ARDIAN,,PRIVATE EQUITY,,,,
6672,AA00042,ARDIAN,,PRIVATE EQUITY,,,,
6673,AA00020,ARDIAN,,PRIVATE EQUITY,,,,
6673,AA00028,ARDIAN,,PRIVATE EQUITY,,,,
6674,AA00024,ARDIAN,,PRIVATE EQUITY,,,,
6674,AA00041,ARDIAN,,PRIVATE EQUITY,,,,
6675,AA00031,ARDIAN,,PRIVATE EQUITY,,,,
6675,AA00044,ARDIAN,,PRIVATE EQUITY,,,,
6676,AA00057,ARDIAN,,PRIVATE EQUITY,,,,
6677,AA00044,ARDIAN,,PRIVATE EQUITY,,,,
6678,AA00057,ARDIAN,,PRIVATE EQUITY,,,,
6679,AA00054,ARDIAN,,PRIVATE EQUITY,,,,
6680,AA00067,ARDIAN,,PRIVATE EQUITY,,,,
6681,AA00026,ARDIAN,,PRIVATE EQUITY,,,,
6682,AA00025,ARDIAN,,PRIVATE EQUITY,,,,
6683,AA00055,ARDIAN,,PRIVATE EQUITY,,,,
6684,AA00059,ARDIAN,,PRIVATE EQUITY,,,,
6685,AA00063,ARDIAN,,PRIVATE EQUITY,,,,
6686,AA00015,ARDIAN,,PRIVATE EQUITY,,,,
6687,AA00030,AVENUE CAPITAL GROUP,,PRIVATE EQUITY,,,,
6688,AA00043,BLACKSTONE,,PRIVATE EQUITY,,,,
6689,AA00056,BLACKSTONE,,PRIVATE EQUITY,,,,
6690,AA00008,CVC,,PRIVATE EQUITY,,,,
6691,AA00066,CVC,,PRIVATE EQUITY,,,,
6692,AA00052,HAMILTON LANE,,PRIVATE EQUITY,,,,
6693,AA00047,HARBOURVEST PARTNERS,,PRIVATE EQUITY,,,,
6694,AA00001,LEXINGTON PARTNERS,,PRIVATE EQUITY,,,,
6695,AA00012,LEXINGTON PARTNERS,,PRIVATE EQUITY,,,,
6696,AA00029,LGT CAPITAL PARTNERS,,PRIVATE EQUITY,,,,
6697,AA00014,LONE STAR,,PRIVATE EQUITY,,,,
6698,AA00068,OAK HILL ADVISORS,,PRIVATE EQUITY,,,,
6699,AA00050,PARTNERS GROUP,,PRIVATE EQUITY,,,,
6700,AA00058,PARTNERS GROUP,,PRIVATE EQUITY,,,,
6701,AA00062,PARTNERS GROUP,,PRIVATE EQUITY,,,,
6702,AA00018,PIMCO,,PRIVATE EQUITY,,,,
6703,AA00010,THE CARLYLE GROUP LP,,PRIVATE EQUITY,,,,
6704,AA00016,THE CARLYLE GROUP LP,,PRIVATE EQUITY,,,,
6705,AA00004,VISTA EQUITY PARTNERS,,PRIVATE EQUITY,,,,
6706,AA00040,VISTA EQUITY PARTNERS,,PRIVATE EQUITY,,,,
6707,AA00011,WARBURG PINCUS,,PRIVATE EQUITY,,,,
6708,AA00071,ARDIAN,,PRIVATE EQUITY,,,,
6709,AA00007,TRITON PARTNERS,,PRIVATE EQUITY,,,,
6710,AA00074,ARDIAN,,PRIVATE EQUITY,,,,
6711,AA00034,COLLER CAPITAL,,PRIVATE EQUITY,,,,
6712,AA00006,HELLMAN & FRIEDMAN,,PRIVATE EQUITY,,,,
6713,AA00073,HPS INVESTMENT PARTNERS,,PRIVATE EQUITY,,,,
6714,AA00081,IK INVESTMENT PARTNERS,,PRIVATE EQUITY,,,,
6715,AA00064,PLATINUM EQUITY ADVISORS,,PRIVATE EQUITY,,,,
6716,AA00076,HAMILTON LANE,,PRIVATE EQUITY,,,,
6717,AA00079,HARBOURVEST PARTNERS,,PRIVATE EQUITY,,,,
6718,AA00077,HPS INVESTMENT PARTNERS,,PRIVATE EQUITY,,,,
7008,CFIREMERGE,BTG PACTUAL INFRAESTRUCTURA FONDO DE INVERSION,CHILE,INFRAESTRRUCTURA,,SVS,$$,CLP
7014,CFINRENTAS,FONDO DE INVERSION INDEPENDENCIA RENTAS INMOBILIARIAS,CHILE,FONDO INMOBILIARIO,,,,
7086,CFICELPRIV,BTG PACTUAL PRIVATE EQUITY FONDO DE INVERSION.,LATAM,PRIVATE EQUITY,,,,
7104,CFICPE2,BTG PACTUAL PRIVATE EQUITY II FONDO DE INVERSION,,PRIVATE EQUITY,20/12/2006,SVS,$$,CLP
7174,CFILVBCP-E,FONDO DE INVERSION LARRAIN VIAL BCP - VI,GLOBAL,PRIVATE EQUITY,,SVS,PROM,USD
7179,CFIPEKKR-E,BTG PACTUAL PRIVATE EQUITY - KKR FONDO DE INVERSION,GLOBAL,PRIVATE EQUITY,,SVS,PROM,USD
7183,CFIIMTPEI,FONDO DE INVERSION CREDICORP CAPITAL PRIVATE EQUITY - PG DIRECT I,GLOBAL,PRIVATE EQUITY,,SVS,EUR,EUR
7193,CFILBPE2-E,LINZOR BICE PRIVATE EQUITY II FONDO DE INVERSION,LATAM,PRIVATE EQUITY,,SVS,PROM,USD
7196,CFILVHVI-E,FONDO DE INVERSION LARRAIN VIAL HARBOURVEST EX-US,GLOBAL,PRIVATE EQUITY,,SVS,EUR,EUR
7197,CFILVHVU-E,FONDO DE INVERSION LARRAIN VIAL HARBOURVEST-US,USA,PRIVATE EQUITY,,SVS,PROM,USD
7202,CFICGPEP-E,FONDO DE INVERSION COMPASS PRIVATE EQUITY PARTNERS,GLOBAL,PRIVATE EQUITY,,SVS,PROM,USD
7216,CFIIMTPES,FONDO DE INVERSION CREDICORP CAPITAL PRIVATE EQUITY-PG SECONDARIES I,USA EUROPA,PRIVATE EQUITY,,SVS,PROM,USD
7228,CFINHPTN-E,FONDO DE INVERSION NEVASA HMC PNTN,GLOBAL,PRIVATE EQUITY,,SVS,PROM,USD
7235,CFIMOPE1-E,MONEDA - CARLYLE FONDO DE INVERSION,AMERICA DEL NORTE,PRIVATE EQUITY,,SVS,PROM,USD
7239,CFILVADV-E,FDO DE INVERSION LARRAIN VIAL DOVER,GLOBAL,PRIVATE EQUITY,,SVS,PROM,USD
7244,CFINHCIP-E,FONDO DE INVERSION NEVASA HMC CIP VI,GLOBAL,PRIVATE EQUITY,,SVS,PROM,USD
7248,CFIIMTAP-E,FONDO DE INVERSION CREDICORP CAPITAL PRIVATE EQUITY AP I,USA EUROPA,PRIVATE EQUITY,,SVS,EUR,EUR
7251,CFICGPE3-E,COMPASS PRIVATE EQUITY III FONDO DE INVERSION,EUROPA,PRIVATE EQUITY,,SVS,EUR,EUR
7258,CFIKKRN-E,BTG PACTUAL PRIVATE EQUITY - KKR NAXI FONDO DE INVERSION,USA,PRIVATE EQUITY,,SVS,PROM,USD
