Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,PROM,"1,1147","0,0000",155.670.345,156.414.559,21,21,WWW.LARRAINVIAL.COM
01/01/2015,UNICA,PROM,"1,1147","0,0000",155.670.345,156.414.559,21,21,WWW.LARRAINVIAL.COM
02/01/2015,UNICA,PROM,"1,1147","0,0000",155.670.345,156.414.559,21,21,WWW.LARRAINVIAL.COM
03/01/2015,UNICA,PROM,"1,1147","0,0000",155.670.345,156.414.559,21,21,WWW.LARRAINVIAL.COM
04/01/2015,UNICA,PROM,"1,1147","0,0000",155.670.345,156.414.559,21,21,WWW.LARRAINVIAL.COM
05/01/2015,UNICA,PROM,"1,1147","0,0000",155.670.345,156.414.559,21,21,WWW.LARRAINVIAL.COM
06/01/2015,UNICA,PROM,"1,1147","0,0000",155.670.345,156.414.559,21,21,WWW.LARRAINVIAL.COM
07/01/2015,UNICA,PROM,"1,1147","0,0000",155.670.345,156.414.559,21,21,WWW.LARRAINVIAL.COM
08/01/2015,UNICA,PROM,"1,1147","0,0000",155.670.345,156.414.559,21,21,WWW.LARRAINVIAL.COM
09/01/2015,UNICA,PROM,"1,1147","0,0000",155.670.345,156.414.559,21,21,WWW.LARRAINVIAL.COM
10/01/2015,UNICA,PROM,"1,1147","0,0000",155.670.345,156.414.559,21,21,WWW.LARRAINVIAL.COM
11/01/2015,UNICA,PROM,"1,1147","0,0000",155.670.345,156.414.559,21,21,WWW.LARRAINVIAL.COM
12/01/2015,UNICA,PROM,"1,1147","0,0000",155.670.345,156.414.559,21,21,WWW.LARRAINVIAL.COM
13/01/2015,UNICA,PROM,"1,1147","0,0000",155.670.345,156.404.706,21,21,WWW.LARRAINVIAL.COM
14/01/2015,UNICA,PROM,"1,1147","0,0000",155.670.345,156.404.706,21,21,WWW.LARRAINVIAL.COM
15/01/2015,UNICA,PROM,"1,1147","0,0000",155.670.345,156.404.706,21,21,WWW.LARRAINVIAL.COM
16/01/2015,UNICA,PROM,"1,1147","0,0000",155.670.345,156.404.706,21,21,WWW.LARRAINVIAL.COM
