Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
05/03/2015,UNICA,PROM,"1,4073","1,4073",76.534.783,76.595.774,19,19,NINGUNO
06/03/2015,UNICA,PROM,"1,4073","1,4073",76.534.783,76.594.983,19,19,NINGUNO
07/03/2015,UNICA,PROM,"1,4073","1,4073",76.534.783,76.594.983,19,19,NINGUNO
08/03/2015,UNICA,PROM,"1,4073","1,4073",76.534.783,76.594.983,19,19,NINGUNO
09/03/2015,UNICA,PROM,"1,4072","1,4072",76.529.345,76.571.380,19,19,NINGUNO
10/03/2015,UNICA,PROM,"1,4072","1,4072",76.529.345,76.571.351,19,19,NINGUNO
11/03/2015,UNICA,PROM,"1,4078","1,4078",79.342.213,79.381.776,19,19,NINGUNO
12/03/2015,UNICA,PROM,"1,4077","1,4077",79.336.577,79.381.802,19,19,NINGUNO
13/03/2015,UNICA,PROM,"1,4077","1,4077",79.336.577,79.381.767,19,19,NINGUNO
14/03/2015,UNICA,PROM,"1,4077","1,4077",79.336.577,79.381.769,19,19,NINGUNO
15/03/2015,UNICA,PROM,"1,4077","1,4077",79.336.577,79.381.769,19,19,NINGUNO
16/03/2015,UNICA,PROM,"1,4076","1,4076",79.330.941,79.381.741,19,19,NINGUNO
17/03/2015,UNICA,PROM,"1,4076","1,4076",79.330.941,79.381.730,19,19,NINGUNO
18/03/2015,UNICA,PROM,"1,4076","1,4076",79.330.941,79.356.262,19,19,NINGUNO
19/03/2015,UNICA,PROM,"1,4076","1,4076",79.330.941,79.356.307,19,19,NINGUNO
20/03/2015,UNICA,PROM,"1,4076","1,4076",79.330.941,79.356.349,19,19,NINGUNO
21/03/2015,UNICA,PROM,"1,4075","1,4075",79.325.305,79.356.349,19,19,NINGUNO
22/03/2015,UNICA,PROM,"1,4075","1,4075",79.325.305,79.356.349,19,19,NINGUNO
23/03/2015,UNICA,PROM,"1,4075","1,4075",79.325.305,79.356.468,19,19,NINGUNO
24/03/2015,UNICA,PROM,"1,4075","1,4075",79.325.305,79.356.515,19,19,NINGUNO
25/03/2015,UNICA,PROM,"1,4074","1,4074",79.319.669,79.356.570,19,19,NINGUNO
26/03/2015,UNICA,PROM,"1,4074","1,4074",79.319.669,79.356.557,19,19,NINGUNO
27/03/2015,UNICA,PROM,"1,4074","1,4074",79.319.669,79.356.527,19,19,NINGUNO
28/03/2015,UNICA,PROM,"1,4074","1,4074",79.319.669,79.356.527,19,19,NINGUNO
29/03/2015,UNICA,PROM,"1,4074","1,4074",79.319.669,79.356.527,19,19,NINGUNO
30/03/2015,UNICA,PROM,"1,4073","1,4073",79.314.033,79.356.470,19,19,NINGUNO
31/03/2015,UNICA,PROM,"1,4073","1,4073",79.314.033,79.356.474,19,19,NINGUNO
01/04/2015,UNICA,PROM,"1,4719","1,4719",82.954.825,83.000.180,19,19,NINGUNO
02/04/2015,UNICA,PROM,"1,4719","1,4719",82.954.825,83.000.230,19,19,NINGUNO
03/04/2015,UNICA,PROM,"1,4719","1,4719",82.954.825,83.000.230,19,19,NINGUNO
04/04/2015,UNICA,PROM,"1,4719","1,4719",82.954.825,83.000.230,19,19,NINGUNO
05/04/2015,UNICA,PROM,"1,4718","1,4718",82.949.189,83.000.230,19,19,NINGUNO
