Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,EUR,"170,8569","170,8569",33.820.440,33.865.463,15,15,N/A
01/01/2015,UNICA,EUR,"170,8547","170,8547",33.820.004,33.865.463,15,15,N/A
02/01/2015,UNICA,EUR,"170,8525","170,8525",33.819.569,33.865.463,15,15,N/A
03/01/2015,UNICA,EUR,"170,8503","170,8503",33.819.133,33.865.463,15,15,N/A
04/01/2015,UNICA,EUR,"170,8482","170,8482",33.818.718,33.865.463,15,15,N/A
05/01/2015,UNICA,EUR,"170,8460","170,8460",33.818.282,33.865.463,15,15,N/A
06/01/2015,UNICA,EUR,"170,8438","170,8438",33.817.847,33.865.463,15,15,N/A
07/01/2015,UNICA,EUR,"170,8416","170,8416",33.817.411,33.865.463,15,15,N/A
08/01/2015,UNICA,EUR,"170,8394","170,8394",33.816.976,33.865.463,15,15,N/A
09/01/2015,UNICA,EUR,"170,8372","170,8372",33.816.540,33.865.463,15,15,N/A
10/01/2015,UNICA,EUR,"170,8350","170,8350",33.816.105,33.865.463,15,15,N/A
11/01/2015,UNICA,EUR,"170,8328","170,8328",33.815.669,33.865.463,15,15,N/A
12/01/2015,UNICA,EUR,"170,8255","170,8255",33.814.224,33.865.463,15,15,N/A
13/01/2015,UNICA,EUR,"170,8233","170,8233",33.813.789,33.865.463,15,15,N/A
14/01/2015,UNICA,EUR,"170,8211","170,8211",33.813.353,33.865.463,15,15,N/A
15/01/2015,UNICA,EUR,"170,8189","170,8189",33.812.918,33.865.463,15,15,N/A
16/01/2015,UNICA,EUR,"170,8167","170,8167",33.812.482,33.865.463,15,15,N/A
17/01/2015,UNICA,EUR,"170,8146","170,8146",33.812.067,33.865.463,15,15,N/A
18/01/2015,UNICA,EUR,"170,8124","170,8124",33.811.631,33.865.463,15,15,N/A
19/01/2015,UNICA,EUR,"170,8102","170,8102",33.811.196,33.865.463,15,15,N/A
20/01/2015,UNICA,EUR,"170,8080","170,8080",33.810.760,33.865.463,15,15,N/A
21/01/2015,UNICA,EUR,"170,8058","170,8058",33.810.325,33.865.463,15,15,N/A
22/01/2015,UNICA,EUR,"170,8036","170,8036",33.809.889,33.865.463,15,15,N/A
23/01/2015,UNICA,EUR,"170,8014","170,8014",33.809.454,33.865.463,15,15,N/A
24/01/2015,UNICA,EUR,"170,7992","170,7992",33.809.018,33.865.463,15,15,N/A
