Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
01/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
02/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
03/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
04/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
05/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
06/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
07/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
08/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
09/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
10/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
11/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
12/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
13/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
14/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
15/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
16/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
17/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
18/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
19/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
20/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
21/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
22/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
23/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
24/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
25/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
26/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
27/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
28/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
29/01/2015,UNICA,PROM,"643,0721","643,0721",16.561.036,16.594.498,7,7,N/A
30/01/2015,UNICA,PROM,"643,0734","643,0734",16.561.069,16.594.248,7,7,N/A
31/01/2015,UNICA,PROM,"643,0734","643,0734",16.561.069,16.594.248,7,7,N/A
01/02/2015,UNICA,PROM,"643,0734","643,0734",16.561.069,16.594.248,7,7,N/A
02/02/2015,UNICA,PROM,"643,0734","643,0734",16.561.069,16.594.248,7,7,N/A
03/02/2015,UNICA,PROM,"643,0734","643,0734",16.561.069,16.594.248,7,7,N/A
04/02/2015,UNICA,PROM,"643,0734","643,0734",16.561.069,16.594.248,7,7,N/A
05/02/2015,UNICA,PROM,"643,0734","643,0734",16.561.069,16.594.248,7,7,N/A
06/02/2015,UNICA,PROM,"643,0734","643,0734",16.561.069,16.594.248,7,7,N/A
07/02/2015,UNICA,PROM,"643,0734","643,0734",16.561.069,16.594.248,7,7,N/A
08/02/2015,UNICA,PROM,"643,0734","643,0734",16.561.069,16.594.248,7,7,N/A
09/02/2015,UNICA,PROM,"643,0734","643,0734",16.561.069,16.594.248,7,7,N/A
10/02/2015,UNICA,PROM,"640,7436","640,7436",16.501.070,16.594.248,7,7,N/A
11/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
12/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
13/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
14/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
15/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
16/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
17/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
18/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
19/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
20/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
21/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
22/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
23/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
24/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
25/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
26/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
27/02/2015,UNICA,PROM,"637,1911","637,1911",16.602.651,16.635.829,7,7,N/A
28/02/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.635.829,7,7,N/A
01/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.635.829,7,7,N/A
02/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.635.829,7,7,N/A
03/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.635.829,7,7,N/A
04/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.635.829,7,7,N/A
05/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.635.829,7,7,N/A
06/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.635.829,7,7,N/A
07/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.635.829,7,7,N/A
08/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.635.829,7,7,N/A
09/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.635.829,7,7,N/A
10/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.635.829,7,7,N/A
11/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
12/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
13/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
14/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
15/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
16/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
17/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
18/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
19/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
20/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
21/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
22/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
23/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
24/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
25/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
26/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
27/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
28/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
29/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
30/03/2015,UNICA,PROM,"637,1815","637,1815",16.602.401,16.625.883,7,7,N/A
31/03/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.448,7,7,N/A
01/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.448,7,7,N/A
02/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.448,7,7,N/A
03/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.448,7,7,N/A
04/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.448,7,7,N/A
05/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.448,7,7,N/A
06/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.448,7,7,N/A
07/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.448,7,7,N/A
08/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
09/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
10/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
11/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
12/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
13/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
14/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
15/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
16/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
17/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
18/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
19/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
20/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
21/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
22/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
23/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
24/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
25/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
26/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
27/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
28/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
29/04/2015,UNICA,PROM,"637,1636","637,1636",16.601.935,16.609.198,7,7,N/A
30/04/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.542.167,7,7,N/A
01/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.542.167,7,7,N/A
02/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.542.167,7,7,N/A
03/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.542.167,7,7,N/A
04/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.542.167,7,7,N/A
05/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.542.167,7,7,N/A
06/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.542.167,7,7,N/A
07/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.542.167,7,7,N/A
08/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.541.917,7,7,N/A
09/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.541.917,7,7,N/A
10/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.541.917,7,7,N/A
11/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.541.917,7,7,N/A
12/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.541.917,7,7,N/A
13/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.541.917,7,7,N/A
14/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.541.917,7,7,N/A
15/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.541.917,7,7,N/A
16/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.541.917,7,7,N/A
17/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.541.917,7,7,N/A
18/05/2015,UNICA,PROM,"632,8325","632,8325",16.489.084,16.541.917,7,7,N/A
