Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,PROM,"1,2381","1,2381",88.120.818,88.166.298,19,18,E-MAIL
01/01/2015,UNICA,PROM,"1,2381","1,2381",88.120.818,88.166.326,19,18,E-MAIL
02/01/2015,UNICA,PROM,"1,2381","1,2381",88.120.818,88.166.326,19,18,E-MAIL
03/01/2015,UNICA,PROM,"1,2381","1,2381",88.120.818,88.166.326,19,18,E-MAIL
04/01/2015,UNICA,PROM,"1,2381","1,2381",88.120.818,88.166.326,19,18,E-MAIL
05/01/2015,UNICA,PROM,"1,2381","1,2381",88.120.818,88.166.409,19,18,E-MAIL
06/01/2015,UNICA,PROM,"1,2381","1,2381",88.120.818,88.160.247,19,18,E-MAIL
07/01/2015,UNICA,PROM,"1,2381","1,2381",88.120.818,88.160.247,19,18,E-MAIL
08/01/2015,UNICA,PROM,"1,2381","1,2381",88.120.818,88.160.247,19,18,E-MAIL
09/01/2015,UNICA,PROM,"1,2381","1,2381",88.120.818,88.160.247,19,18,E-MAIL
10/01/2015,UNICA,PROM,"1,2381","1,2381",88.120.818,88.160.247,19,18,E-MAIL
11/01/2015,UNICA,PROM,"1,2381","1,2381",88.120.818,88.160.247,19,18,E-MAIL
12/01/2015,UNICA,PROM,"1,2381","1,2381",86.122.461,86.161.890,19,18,E-MAIL
13/01/2015,UNICA,PROM,"1,2381","1,2381",86.122.461,86.161.890,19,18,E-MAIL
14/01/2015,UNICA,PROM,"1,2381","1,2381",86.122.461,86.161.890,19,18,E-MAIL
15/01/2015,UNICA,PROM,"1,2381","1,2381",86.122.461,86.161.890,19,18,E-MAIL
16/01/2015,UNICA,PROM,"1,2381","1,2381",86.122.461,86.161.890,19,18,E-MAIL
17/01/2015,UNICA,PROM,"1,2381","1,2381",86.122.461,86.161.890,19,18,E-MAIL
18/01/2015,UNICA,PROM,"1,2381","1,2381",86.122.461,86.161.890,19,18,E-MAIL
19/01/2015,UNICA,PROM,"1,2381","1,2381",86.122.461,86.161.890,19,18,E-MAIL
20/01/2015,UNICA,PROM,"1,2381","1,2381",86.122.461,86.161.890,19,18,E-MAIL
21/01/2015,UNICA,PROM,"1,2381","1,2381",86.122.461,86.161.890,19,18,E-MAIL
22/01/2015,UNICA,PROM,"1,2381","1,2381",86.709.839,86.749.268,19,18,E-MAIL
23/01/2015,UNICA,PROM,"1,2381","1,2381",86.709.839,86.749.268,19,18,E-MAIL
24/01/2015,UNICA,PROM,"1,2381","1,2381",86.709.839,86.749.268,19,18,E-MAIL
25/01/2015,UNICA,PROM,"1,2381","1,2381",86.709.839,86.749.268,19,18,E-MAIL
26/01/2015,UNICA,PROM,"1,2381","1,2381",86.709.839,86.749.268,19,18,E-MAIL
27/01/2015,UNICA,PROM,"1,2381","1,2381",86.709.839,86.749.054,19,18,E-MAIL
28/01/2015,UNICA,PROM,"1,2381","1,2381",86.709.839,86.749.082,19,18,E-MAIL
29/01/2015,UNICA,PROM,"1,2380","1,2380",86.702.836,86.749.086,19,18,E-MAIL
30/01/2015,UNICA,PROM,"1,2380","1,2380",86.702.836,86.749.115,19,18,E-MAIL
31/01/2015,UNICA,PROM,"1,2380","1,2380",86.702.836,86.749.115,19,18,E-MAIL
01/02/2015,UNICA,PROM,"1,2380","1,2380",86.702.836,86.749.115,19,18,E-MAIL
