Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,PROM,"0,9743","0,0000",30.471.067,30.486.804,11,11,WWW.NEVASAHMCAGF.CL
01/01/2015,UNICA,PROM,"0,9743","0,0000",30.471.067,30.486.804,11,11,WWW.NEVASAHMCAGF.CL
02/01/2015,UNICA,PROM,"0,9711","0,0000",30.368.534,30.384.775,11,11,WWW.NEVASAHMCAGF.CL
03/01/2015,UNICA,PROM,"0,9711","0,0000",30.368.172,30.384.775,11,11,WWW.NEVASAHMCAGF.CL
04/01/2015,UNICA,PROM,"0,9710","0,0000",30.367.811,30.384.775,11,11,WWW.NEVASAHMCAGF.CL
05/01/2015,UNICA,PROM,"0,9691","0,0000",30.308.633,30.325.959,11,11,WWW.NEVASAHMCAGF.CL
06/01/2015,UNICA,PROM,"0,9697","0,0000",30.326.227,30.326.227,11,11,WWW.NEVASAHMCAGF.CL
07/01/2015,UNICA,PROM,"0,9671","0,0000",30.243.373,30.245.900,11,11,WWW.NEVASAHMCAGF.CL
08/01/2015,UNICA,PROM,"0,9668","0,0000",30.233.785,30.236.672,11,11,WWW.NEVASAHMCAGF.CL
09/01/2015,UNICA,PROM,"0,9673","0,0000",30.250.999,30.254.247,11,11,WWW.NEVASAHMCAGF.CL
10/01/2015,UNICA,PROM,"0,9673","0,0000",30.250.638,30.254.247,11,11,WWW.NEVASAHMCAGF.CL
11/01/2015,UNICA,PROM,"0,9673","0,0000",30.250.278,30.254.247,11,11,WWW.NEVASAHMCAGF.CL
12/01/2015,UNICA,PROM,"0,9670","0,0000",30.241.667,30.245.996,11,11,WWW.NEVASAHMCAGF.CL
13/01/2015,UNICA,PROM,"0,9662","0,0000",30.217.218,30.221.906,11,11,WWW.NEVASAHMCAGF.CL
14/01/2015,UNICA,PROM,"0,9664","0,0000",30.221.481,30.226.529,11,11,WWW.NEVASAHMCAGF.CL
15/01/2015,UNICA,PROM,"0,9623","0,0000",30.093.237,30.098.637,11,11,WWW.NEVASAHMCAGF.CL
16/01/2015,UNICA,PROM,"0,9607","0,0000",30.044.936,30.050.692,11,11,WWW.NEVASAHMCAGF.CL
17/01/2015,UNICA,PROM,"0,9607","0,0000",30.044.578,30.050.692,11,11,WWW.NEVASAHMCAGF.CL
18/01/2015,UNICA,PROM,"0,9607","0,0000",30.044.219,30.050.692,11,11,WWW.NEVASAHMCAGF.CL
19/01/2015,UNICA,PROM,"0,9627","0,0000",30.106.042,30.112.878,11,11,WWW.NEVASAHMCAGF.CL
20/01/2015,UNICA,PROM,"0,9613","0,0000",30.063.012,30.070.204,11,11,WWW.NEVASAHMCAGF.CL
21/01/2015,UNICA,PROM,"0,9616","0,0000",30.072.370,30.079.922,11,11,WWW.NEVASAHMCAGF.CL
22/01/2015,UNICA,PROM,"0,9581","0,0000",29.961.790,29.969.703,11,11,WWW.NEVASAHMCAGF.CL
23/01/2015,UNICA,PROM,"0,9550","0,0000",29.866.826,29.875.090,11,11,WWW.NEVASAHMCAGF.CL
24/01/2015,UNICA,PROM,"0,9550","0,0000",29.866.469,29.875.090,11,11,WWW.NEVASAHMCAGF.CL
25/01/2015,UNICA,PROM,"0,9550","0,0000",29.866.112,29.875.090,11,11,WWW.NEVASAHMCAGF.CL
26/01/2015,UNICA,PROM,"0,9551","0,0000",29.870.838,29.880.173,11,11,WWW.NEVASAHMCAGF.CL
27/01/2015,UNICA,PROM,"0,9568","0,0000",29.923.886,29.933.583,11,11,WWW.NEVASAHMCAGF.CL
28/01/2015,UNICA,PROM,"0,9568","0,0000",29.923.591,29.933.645,11,11,WWW.NEVASAHMCAGF.CL
29/01/2015,UNICA,PROM,"0,9554","0,0000",29.879.889,29.890.298,11,11,WWW.NEVASAHMCAGF.CL
30/01/2015,UNICA,PROM,"0,9555","0,0000",29.881.962,29.896.561,11,11,WWW.NEVASAHMCAGF.CL
31/01/2015,UNICA,PROM,"0,9555","0,0000",29.881.605,29.896.561,11,11,WWW.NEVASAHMCAGF.CL
01/02/2015,UNICA,PROM,"0,9555","0,0000",29.881.247,29.896.561,11,11,WWW.NEVASAHMCAGF.CL
02/02/2015,UNICA,PROM,"0,9564","0,0000",29.910.552,29.926.226,11,11,WWW.NEVASAHMCAGF.CL
03/02/2015,UNICA,PROM,"0,9591","0,0000",29.994.783,30.001.977,11,11,WWW.NEVASAHMCAGF.CL
04/02/2015,UNICA,PROM,"0,9580","0,0000",29.958.829,29.975.176,11,11,WWW.NEVASAHMCAGF.CL
05/02/2015,UNICA,PROM,"0,9585","0,0000",29.975.811,29.977.548,11,11,WWW.NEVASAHMCAGF.CL
06/02/2015,UNICA,PROM,"0,9560","0,0000",29.896.422,29.898.516,11,11,WWW.NEVASAHMCAGF.CL
07/02/2015,UNICA,PROM,"0,9560","0,0000",29.896.064,29.898.516,11,11,WWW.NEVASAHMCAGF.CL
08/02/2015,UNICA,PROM,"0,9559","0,0000",29.895.707,29.898.516,11,11,WWW.NEVASAHMCAGF.CL
09/02/2015,UNICA,PROM,"0,9561","0,0000",29.899.536,29.902.703,11,11,WWW.NEVASAHMCAGF.CL
10/02/2015,UNICA,PROM,"0,9558","0,0000",29.891.474,29.895.850,11,11,WWW.NEVASAHMCAGF.CL
11/02/2015,UNICA,PROM,"0,9550","0,0000",29.866.588,29.870.522,11,11,WWW.NEVASAHMCAGF.CL
12/02/2015,UNICA,PROM,"0,9576","0,0000",29.948.981,29.953.273,11,11,WWW.NEVASAHMCAGF.CL
13/02/2015,UNICA,PROM,"0,9575","0,0000",29.945.181,29.949.830,11,11,WWW.NEVASAHMCAGF.CL
14/02/2015,UNICA,PROM,"0,9575","0,0000",29.944.823,29.949.830,11,11,WWW.NEVASAHMCAGF.CL
15/02/2015,UNICA,PROM,"0,9575","0,0000",29.944.465,29.949.830,11,11,WWW.NEVASAHMCAGF.CL
16/02/2015,UNICA,PROM,"0,9566","0,0000",29.915.811,29.921.534,11,11,WWW.NEVASAHMCAGF.CL
17/02/2015,UNICA,PROM,"0,9573","0,0000",29.939.412,29.945.493,11,11,WWW.NEVASAHMCAGF.CL
18/02/2015,UNICA,PROM,"0,9562","0,0000",29.903.104,29.909.542,11,11,WWW.NEVASAHMCAGF.CL
19/02/2015,UNICA,PROM,"0,9569","0,0000",29.924.965,29.931.761,11,11,WWW.NEVASAHMCAGF.CL
20/02/2015,UNICA,PROM,"0,9566","0,0000",29.915.224,29.922.378,11,11,WWW.NEVASAHMCAGF.CL
21/02/2015,UNICA,PROM,"0,9566","0,0000",29.914.866,29.922.378,11,11,WWW.NEVASAHMCAGF.CL
22/02/2015,UNICA,PROM,"0,9565","0,0000",29.914.509,29.922.378,11,11,WWW.NEVASAHMCAGF.CL
23/02/2015,UNICA,PROM,"0,9561","0,0000",29.901.374,29.909.600,11,11,WWW.NEVASAHMCAGF.CL
24/02/2015,UNICA,PROM,"0,9556","0,0000",29.886.460,29.895.044,11,11,WWW.NEVASAHMCAGF.CL
25/02/2015,UNICA,PROM,"0,9565","0,0000",29.911.735,29.920.677,11,11,WWW.NEVASAHMCAGF.CL
26/02/2015,UNICA,PROM,"0,9532","0,0000",29.810.164,29.819.462,11,11,WWW.NEVASAHMCAGF.CL
27/02/2015,UNICA,PROM,"0,9528","0,0000",29.798.131,29.811.672,11,11,WWW.NEVASAHMCAGF.CL
28/02/2015,UNICA,PROM,"0,9528","0,0000",29.797.774,29.811.672,11,11,WWW.NEVASAHMCAGF.CL
01/03/2015,UNICA,PROM,"0,9528","0,0000",29.797.418,29.811.672,11,11,WWW.NEVASAHMCAGF.CL
02/03/2015,UNICA,PROM,"0,9526","0,0000",29.790.455,29.805.066,11,11,WWW.NEVASAHMCAGF.CL
03/03/2015,UNICA,PROM,"0,9529","0,0000",29.799.156,29.804.112,11,11,WWW.NEVASAHMCAGF.CL
04/03/2015,UNICA,PROM,"0,9502","0,0000",29.717.510,29.722.822,11,11,WWW.NEVASAHMCAGF.CL
05/03/2015,UNICA,PROM,"0,9488","0,0000",29.671.885,29.673.666,11,11,WWW.NEVASAHMCAGF.CL
06/03/2015,UNICA,PROM,"0,9455","0,0000",29.569.347,29.571.484,11,11,WWW.NEVASAHMCAGF.CL
07/03/2015,UNICA,PROM,"0,9455","0,0000",29.568.993,29.571.484,11,11,WWW.NEVASAHMCAGF.CL
08/03/2015,UNICA,PROM,"0,9455","0,0000",29.568.638,29.571.484,11,11,WWW.NEVASAHMCAGF.CL
09/03/2015,UNICA,PROM,"0,9456","0,0000",29.571.417,29.574.618,11,11,WWW.NEVASAHMCAGF.CL
10/03/2015,UNICA,PROM,"0,9426","0,0000",29.478.600,29.482.154,11,11,WWW.NEVASAHMCAGF.CL
11/03/2015,UNICA,PROM,"0,9389","0,0000",29.362.156,29.366.062,11,11,WWW.NEVASAHMCAGF.CL
12/03/2015,UNICA,PROM,"0,9401","0,0000",29.400.299,29.404.559,11,11,WWW.NEVASAHMCAGF.CL
13/03/2015,UNICA,PROM,"0,9373","0,0000",29.313.866,29.318.478,11,11,WWW.NEVASAHMCAGF.CL
14/03/2015,UNICA,PROM,"0,9373","0,0000",29.313.513,29.318.478,11,11,WWW.NEVASAHMCAGF.CL
15/03/2015,UNICA,PROM,"0,9373","0,0000",29.313.161,29.318.478,11,11,WWW.NEVASAHMCAGF.CL
16/03/2015,UNICA,PROM,"0,9400","0,0000",29.395.885,29.401.554,11,11,WWW.NEVASAHMCAGF.CL
17/03/2015,UNICA,PROM,"0,9399","0,0000",29.393.282,29.399.304,11,11,WWW.NEVASAHMCAGF.CL
18/03/2015,UNICA,PROM,"0,9414","0,0000",29.441.654,29.448.030,11,11,WWW.NEVASAHMCAGF.CL
19/03/2015,UNICA,PROM,"0,9409","0,0000",29.425.462,29.432.192,11,11,WWW.NEVASAHMCAGF.CL
20/03/2015,UNICA,PROM,"0,9456","0,0000",29.571.471,29.578.555,11,11,WWW.NEVASAHMCAGF.CL
21/03/2015,UNICA,PROM,"0,9456","0,0000",29.571.116,29.578.555,11,11,WWW.NEVASAHMCAGF.CL
22/03/2015,UNICA,PROM,"0,9456","0,0000",29.570.762,29.578.555,11,11,WWW.NEVASAHMCAGF.CL
23/03/2015,UNICA,PROM,"0,9467","0,0000",29.608.184,29.616.332,11,11,WWW.NEVASAHMCAGF.CL
24/03/2015,UNICA,PROM,"0,9468","0,0000",29.610.146,29.618.650,11,11,WWW.NEVASAHMCAGF.CL
25/03/2015,UNICA,PROM,"0,9477","0,0000",29.639.160,29.648.020,11,11,www.nevasahmcagf.cl
26/03/2015,UNICA,PROM,"0,9459","0,0000",29.582.674,29.591.889,11,11,WWW.NEVASAHMCAGF.CL
27/03/2015,UNICA,PROM,"0,9459","0,0000",29.582.674,29.591.889,11,11,WWW.NEVASAHMCAGF.CL
28/03/2015,UNICA,PROM,"0,9459","0,0000",29.582.674,29.591.889,11,11,WWW.NEVASAHMCAGF.CL
29/03/2015,UNICA,PROM,"0,9459","0,0000",29.582.674,29.591.889,11,11,WWW.NEVASAHMCAGF.CL
30/03/2015,UNICA,PROM,"0,9459","0,0000",29.582.674,29.591.889,11,11,WWW.NEVASAHMCAGF.CL
31/03/2015,UNICA,PROM,"0,9459","0,0000",29.582.674,29.595.864,11,11,WWW.NEVASAHMCAGF.CL
01/04/2015,UNICA,PROM,"0,9459","0,0000",29.582.674,29.595.671,11,11,WWW.NEVASAHMCAGF.CL
