Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
22/04/2015,UNICA,PROM,"86,9912","86,9912",39.157.610,39.161.743,17,15,EMAIL
23/04/2015,UNICA,PROM,"86,9912","86,9912",39.157.610,39.161.745,17,15,EMAIL
24/04/2015,UNICA,PROM,"86,9912","86,9912",39.157.610,39.161.753,17,15,EMAIL
25/04/2015,UNICA,PROM,"86,9912","86,9912",39.157.610,39.161.753,17,15,EMAIL
26/04/2015,UNICA,PROM,"86,9912","86,9912",39.157.610,39.161.753,17,15,EMAIL
27/04/2015,UNICA,PROM,"86,9912","86,9912",39.157.610,39.161.765,17,15,EMAIL
28/04/2015,UNICA,PROM,"86,9910","86,9910",39.157.520,39.161.730,17,15,EMAIL
29/04/2015,UNICA,PROM,"86,9911","86,9911",39.157.565,39.161.776,17,15,EMAIL
30/04/2015,UNICA,PROM,"86,9852","86,9852",39.154.909,39.158.462,17,15,EMAIL
01/05/2015,UNICA,PROM,"86,9852","86,9852",39.154.909,39.158.462,17,15,EMAIL
02/05/2015,UNICA,PROM,"86,9852","86,9852",39.154.909,39.158.462,17,15,EMAIL
03/05/2015,UNICA,PROM,"86,9852","86,9852",39.154.909,39.158.462,17,15,EMAIL
04/05/2015,UNICA,PROM,"86,9852","86,9852",39.154.909,39.154.909,17,15,EMAIL
05/05/2015,UNICA,PROM,"86,9853","86,9853",39.154.954,39.158.468,17,15,EMAIL
06/05/2015,UNICA,PROM,"86,9853","86,9853",39.154.954,39.158.479,17,15,EMAIL
07/05/2015,UNICA,PROM,"86,9853","86,9853",39.154.954,39.158.475,17,15,EMAIL
08/05/2015,UNICA,PROM,"86,9853","86,9853",39.154.954,39.158.491,17,15,EMAIL
09/05/2015,UNICA,PROM,"86,9853","86,9853",39.154.954,39.158.491,17,15,EMAIL
10/05/2015,UNICA,PROM,"86,9853","86,9853",39.154.954,39.158.491,17,15,EMAIL
11/05/2015,UNICA,PROM,"86,9853","86,9853",39.154.954,39.158.462,17,15,EMAIL
12/05/2015,UNICA,PROM,"86,9853","86,9853",39.154.954,39.158.490,17,15,EMAIL
13/05/2015,UNICA,PROM,"86,9853","86,9853",39.154.954,39.158.490,17,15,EMAIL
14/05/2015,UNICA,PROM,"86,9853","86,9853",39.154.954,39.158.522,17,15,EMAIL
15/05/2015,UNICA,PROM,"86,9855","86,9855",40.856.828,40.860.398,17,15,EMAIL
16/05/2015,UNICA,PROM,"86,9855","86,9855",40.856.828,40.860.398,17,15,EMAIL
17/05/2015,UNICA,PROM,"86,9855","86,9855",40.856.828,40.860.398,17,15,EMAIL
18/05/2015,UNICA,PROM,"86,9855","86,9855",40.856.828,40.860.400,17,15,EMAIL
19/05/2015,UNICA,PROM,"86,9855","86,9855",40.856.828,40.860.387,17,15,EMAIL
20/05/2015,UNICA,PROM,"86,9855","86,9855",40.856.828,40.860.380,17,15,EMAIL
21/05/2015,UNICA,PROM,"86,9855","86,9855",40.856.828,40.860.380,17,15,EMAIL
22/05/2015,UNICA,PROM,"86,9855","86,9855",40.856.828,40.860.374,17,15,EMAIL
23/05/2015,UNICA,PROM,"86,9855","86,9855",40.856.828,40.860.374,17,15,EMAIL
24/05/2015,UNICA,PROM,"86,9855","86,9855",40.856.828,40.860.374,17,15,EMAIL
25/05/2015,UNICA,PROM,"86,9855","86,9855",40.856.828,40.860.366,17,15,EMAIL
26/05/2015,UNICA,PROM,"86,6438","86,6438",40.696.333,40.699.468,17,15,EMAIL
27/05/2015,UNICA,PROM,"86,6437","86,6437",40.696.286,40.699.455,17,15,EMAIL
28/05/2015,UNICA,PROM,"86,6436","86,6436",40.696.239,40.697.425,17,15,EMAIL
29/05/2015,UNICA,PROM,"86,6436","86,6436",40.696.239,40.697.426,17,15,EMAIL
30/05/2015,UNICA,PROM,"86,6436","86,6436",40.696.239,40.697.426,17,15,EMAIL
31/05/2015,UNICA,PROM,"86,6436","86,6436",40.696.239,40.697.426,17,15,EMAIL
01/06/2015,UNICA,PROM,"86,6436","86,6436",40.696.239,40.697.423,17,15,EMAIL
02/06/2015,UNICA,PROM,"86,6436","86,6436",40.696.239,40.697.423,17,15,86.6436
03/06/2015,UNICA,PROM,"86,6436","86,6436",40.696.239,40.697.421,17,15,EMAIL
04/06/2015,UNICA,PROM,"86,2456","86,2456",40.509.300,40.511.501,17,15,EMAIL
05/06/2015,UNICA,PROM,"86,2457","86,2457",40.509.347,40.511.506,17,15,EMAIL
06/06/2015,UNICA,PROM,"86,2457","86,2457",40.509.347,40.511.506,17,15,EMAIL
07/06/2015,UNICA,PROM,"86,2457","86,2457",40.509.347,40.511.506,17,15,EMAIL
08/06/2015,UNICA,PROM,"86,2457","86,2457",40.509.347,40.511.507,17,15,EMAIL
09/06/2015,UNICA,PROM,"86,2456","86,2456",40.509.300,40.511.510,17,15,EMAIL
10/06/2015,UNICA,PROM,"86,2456","86,2456",40.509.300,40.511.510,17,15,EMAIL
