Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,PROM,"1,7447","0,0000",67.046.573,67.068.859,15,14,WWW.NEVASAHMCAGF.CL
01/01/2015,UNICA,PROM,"1,7447","0,0000",67.046.573,67.068.859,15,14,WWW.NEVASAHMCAGF.CL
02/01/2015,UNICA,PROM,"1,7447","0,0000",67.045.385,67.068.600,15,14,WWW.NEVASAHMCAGF.CL
03/01/2015,UNICA,PROM,"1,7447","0,0000",67.044.791,67.068.600,15,14,WWW.NEVASAHMCAGF.CL
04/01/2015,UNICA,PROM,"1,7446","0,0000",67.044.197,67.068.600,15,14,WWW.NEVASAHMCAGF.CL
05/01/2015,UNICA,PROM,"1,7446","0,0000",67.043.602,67.068.317,15,14,WWW.NEVASAHMCAGF.CL
06/01/2015,UNICA,PROM,"1,7446","0,0000",67.043.008,67.043.008,15,14,WWW.NEVASAHMCAGF.CL
07/01/2015,UNICA,PROM,"1,7446","0,0000",67.042.414,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
08/01/2015,UNICA,PROM,"1,7446","0,0000",67.041.820,67.041.820,15,14,WWW.NEVASAHMCAGF.CL
09/01/2015,UNICA,PROM,"1,7446","0,0000",67.041.226,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
10/01/2015,UNICA,PROM,"1,7445","0,0000",67.040.631,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
11/01/2015,UNICA,PROM,"1,7445","0,0000",67.040.037,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
12/01/2015,UNICA,PROM,"1,7445","0,0000",67.039.443,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
13/01/2015,UNICA,PROM,"1,7445","0,0000",67.038.849,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
14/01/2015,UNICA,PROM,"1,7445","0,0000",67.038.255,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
15/01/2015,UNICA,PROM,"1,7445","0,0000",67.037.660,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
16/01/2015,UNICA,PROM,"1,7445","0,0000",67.037.066,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
17/01/2015,UNICA,PROM,"1,7444","0,0000",67.036.472,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
18/01/2015,UNICA,PROM,"1,7444","0,0000",67.035.878,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
19/01/2015,UNICA,PROM,"1,7444","0,0000",67.035.284,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
20/01/2015,UNICA,PROM,"1,7444","0,0000",67.034.689,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
21/01/2015,UNICA,PROM,"1,7444","0,0000",67.034.095,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
22/01/2015,UNICA,PROM,"1,7444","0,0000",67.033.501,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
23/01/2015,UNICA,PROM,"1,7443","0,0000",67.032.907,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
24/01/2015,UNICA,PROM,"1,7443","0,0000",67.032.313,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
25/01/2015,UNICA,PROM,"1,7443","0,0000",67.031.719,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
26/01/2015,UNICA,PROM,"1,7443","0,0000",67.031.124,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
27/01/2015,UNICA,PROM,"1,7443","0,0000",67.030.530,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
28/01/2015,UNICA,PROM,"1,7443","0,0000",67.029.936,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
29/01/2015,UNICA,PROM,"1,7443","0,0000",67.029.342,67.046.573,15,14,WWW.NEVASAHMCAGF.CL
30/01/2015,UNICA,PROM,"1,7441","0,0000",67.024.421,67.046.292,15,14,WWW.NEVASAHMCAGF.CL
31/01/2015,UNICA,PROM,"1,7441","0,0000",67.023.826,67.046.292,15,14,WWW.NEVASAHMCAGF.CL
01/02/2015,UNICA,PROM,"1,7441","0,0000",67.023.232,67.046.292,15,14,WWW.NEVASAHMCAGF.CL
02/02/2015,UNICA,PROM,"1,7441","0,0000",67.022.355,67.046.292,15,14,WWW.NEVASAHMCAGF.CL
03/02/2015,UNICA,PROM,"1,7441","0,0000",67.022.044,67.028.467,15,14,WWW.NEVASAHMCAGF.CL
