Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,EUR,"108,4120","108,4120",15.402.526,15.465.725,3,2,N/A
01/01/2015,UNICA,EUR,"108,4111","108,4111",15.402.399,15.465.725,3,2,N/A
02/01/2015,UNICA,EUR,"108,4103","108,4103",15.402.285,15.465.726,3,2,N/A
03/01/2015,UNICA,EUR,"108,4094","108,4094",15.402.157,15.465.726,3,2,N/A
04/01/2015,UNICA,EUR,"108,4086","108,4086",15.402.043,15.465.726,3,2,N/A
05/01/2015,UNICA,EUR,"108,4077","108,4077",15.401.916,15.465.726,3,2,N/A
06/01/2015,UNICA,EUR,"108,4069","108,4069",15.401.802,15.465.726,3,2,N/A
07/01/2015,UNICA,EUR,"108,4061","108,4061",15.401.688,15.465.726,3,2,N/A
08/01/2015,UNICA,EUR,"108,4052","108,4052",15.401.560,15.465.726,3,2,N/A
09/01/2015,UNICA,EUR,"108,4044","108,4044",15.401.447,15.465.726,3,2,N/A
10/01/2015,UNICA,EUR,"108,4035","108,4035",15.401.319,15.465.726,3,2,N/A
11/01/2015,UNICA,EUR,"108,4027","108,4027",15.401.205,15.465.726,3,2,N/A
12/01/2015,UNICA,EUR,"108,4009","108,4009",15.400.949,15.465.168,3,2,N/A
13/01/2015,UNICA,EUR,"108,4001","108,4001",15.400.836,15.465.168,3,2,N/A
14/01/2015,UNICA,EUR,"108,3993","108,3993",15.400.722,15.465.168,3,2,N/A
15/01/2015,UNICA,EUR,"108,3984","108,3984",15.400.594,15.465.168,3,2,N/A
16/01/2015,UNICA,EUR,"108,3976","108,3976",15.400.481,15.465.168,3,2,N/A
17/01/2015,UNICA,EUR,"108,3967","108,3967",15.400.353,15.465.168,3,2,N/A
18/01/2015,UNICA,EUR,"108,3959","108,3959",15.400.239,15.465.168,3,2,N/A
19/01/2015,UNICA,EUR,"108,3951","108,3951",15.400.125,15.465.168,3,2,N/A
20/01/2015,UNICA,EUR,"108,3942","108,3942",15.399.998,15.465.168,3,2,N/A
21/01/2015,UNICA,EUR,"108,3934","108,3934",15.399.884,15.465.168,3,2,N/A
22/01/2015,UNICA,EUR,"108,3882","108,3882",15.399.145,15.465.168,3,2,N/A
23/01/2015,UNICA,EUR,"109,0100","109,0100",15.487.487,15.557.426,3,2,N/A
24/01/2015,UNICA,EUR,"109,0100","109,0100",15.487.487,15.557.426,3,2,N/A
25/01/2015,UNICA,EUR,"109,0100","109,0100",15.487.487,15.557.426,3,2,N/A
26/01/2015,UNICA,EUR,"109,0100","109,0100",15.487.487,15.557.426,3,2,N/A
27/01/2015,UNICA,EUR,"109,0100","109,0100",15.487.487,15.557.426,3,2,N/A
28/01/2015,UNICA,EUR,"109,0100","109,0100",15.487.487,15.557.426,3,2,N/A
29/01/2015,UNICA,EUR,"109,0100","109,0100",15.487.487,15.557.426,3,2,N/A
30/01/2015,UNICA,EUR,"108,9900","108,9900",15.484.645,15.557.426,3,2,N/A
31/01/2015,UNICA,EUR,"108,9900","108,9900",15.484.645,15.557.426,3,2,N/A
01/02/2015,UNICA,EUR,"108,9900","108,9900",15.484.645,15.557.426,3,2,N/A
02/02/2015,UNICA,EUR,"108,9900","108,9900",15.484.645,15.557.426,3,2,N/A
03/02/2015,UNICA,EUR,"108,9900","108,9900",15.484.645,15.557.426,3,2,N/A
04/02/2015,UNICA,EUR,"108,9900","108,9900",15.484.645,15.557.426,3,2,N/A
05/02/2015,UNICA,EUR,"108,9900","108,9900",15.484.645,15.557.426,3,2,N/A
06/02/2015,UNICA,EUR,"108,9800","108,9800",15.483.225,15.557.426,3,2,N/A
07/02/2015,UNICA,EUR,"108,9800","108,9800",15.483.225,15.557.426,3,2,N/A
08/02/2015,UNICA,EUR,"108,9800","108,9800",15.483.225,15.557.426,3,2,N/A
09/02/2015,UNICA,EUR,"108,9800","108,9800",15.483.225,15.557.426,3,2,N/A
10/02/2015,UNICA,EUR,"108,9800","108,9800",15.483.225,15.557.426,3,2,N/A
11/02/2015,UNICA,EUR,"108,9800","108,9800",15.483.225,15.557.426,3,2,N/A
12/02/2015,UNICA,EUR,"108,9800","108,9800",15.483.225,15.557.426,3,2,N/A
13/02/2015,UNICA,EUR,"108,9800","108,9800",15.483.225,15.557.426,3,2,N/A
14/02/2015,UNICA,EUR,"108,9800","108,9800",15.483.225,15.557.426,3,2,N/A
