Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,EUR,"109,0100","109,0100",21.067.927,21.100.022,13,13,E-MAIL
01/01/2015,UNICA,EUR,"109,0096","109,0096",21.067.849,21.100.022,13,13,E-MAIL
02/01/2015,UNICA,EUR,"109,0092","109,0092",21.067.772,21.100.022,13,13,E-MAIL
03/01/2015,UNICA,EUR,"109,0088","109,0088",21.067.695,21.100.641,13,13,E-MAIL
04/01/2015,UNICA,EUR,"109,0084","109,0084",21.067.617,21.100.641,13,13,E-MAIL
05/01/2015,UNICA,EUR,"109,0079","109,0079",21.067.521,21.100.022,13,13,E-MAIL
06/01/2015,UNICA,EUR,"109,0075","109,0075",21.067.443,21.097.514,13,13,E-MAIL
07/01/2015,UNICA,EUR,"109,0071","109,0071",21.067.366,21.097.514,13,13,E-MAIL
08/01/2015,UNICA,EUR,"109,0067","109,0067",21.067.289,21.097.514,13,13,E-MAIL
09/01/2015,UNICA,EUR,"109,0063","109,0063",21.067.212,21.097.514,13,13,E-MAIL
10/01/2015,UNICA,EUR,"109,0058","109,0058",21.067.115,21.097.514,13,13,E-MAIL
11/01/2015,UNICA,EUR,"109,0054","109,0054",21.067.038,21.097.514,13,13,E-MAIL
12/01/2015,UNICA,EUR,"109,0050","109,0050",21.066.960,21.097.514,13,13,E-MAIL
13/01/2015,UNICA,EUR,"109,0046","109,0046",21.066.883,21.097.514,13,13,E-MAIL
14/01/2015,UNICA,EUR,"109,0041","109,0041",21.066.786,21.097.509,13,13,E-MAIL
15/01/2015,UNICA,EUR,"109,0038","109,0038",21.066.728,21.095.966,13,13,E-MAIL
16/01/2015,UNICA,EUR,"109,0034","109,0034",21.066.651,21.095.966,13,13,E-MAIL
17/01/2015,UNICA,EUR,"109,0030","109,0030",21.066.574,21.095.966,13,13,E-MAIL
18/01/2015,UNICA,EUR,"109,0026","109,0026",21.066.496,21.095.966,13,13,E-MAIL
19/01/2015,UNICA,EUR,"109,0022","109,0022",21.066.419,21.095.966,13,13,E-MAIL
20/01/2015,UNICA,EUR,"109,0017","109,0017",21.066.323,21.095.966,13,13,E-MAIL
21/01/2015,UNICA,EUR,"109,0013","109,0013",21.066.245,21.095.966,13,13,E-MAIL
22/01/2015,UNICA,EUR,"109,0009","109,0009",21.066.168,21.095.966,13,13,E-MAIL
23/01/2015,UNICA,EUR,"108,9800","108,9800",21.062.129,21.095.966,13,13,E-MAIL
24/01/2015,UNICA,EUR,"108,9800","108,9800",21.062.129,21.095.966,13,13,E-MAIL
25/01/2015,UNICA,EUR,"108,9800","108,9800",21.062.129,21.095.966,13,13,E-MAIL
26/01/2015,UNICA,EUR,"108,9800","108,9800",21.062.129,21.095.966,13,13,E-MAIL
27/01/2015,UNICA,EUR,"108,9800","108,9800",21.062.129,21.095.966,13,13,E-MAIL
28/01/2015,UNICA,EUR,"108,9800","108,9800",21.062.129,21.095.966,13,13,E-MAIL
29/01/2015,UNICA,EUR,"108,9800","108,9800",21.062.129,21.095.966,13,13,E-MAIL
30/01/2015,UNICA,EUR,"108,9796","108,9796",23.227.367,23.261.290,13,13,E-MAIL
31/01/2015,UNICA,EUR,"108,9792","108,9792",23.227.282,23.261.290,13,13,E-MAIL
01/02/2015,UNICA,EUR,"108,9788","108,9788",23.227.197,23.261.290,13,13,E-MAIL
02/02/2015,UNICA,EUR,"108,9784","108,9784",23.227.111,23.261.290,13,13,E-MAIL
03/02/2015,UNICA,EUR,"108,9780","108,9780",23.227.026,23.261.290,13,13,E-MAIL
04/02/2015,UNICA,EUR,"108,9776","108,9776",23.226.941,23.261.290,13,13,E-MAIL
05/02/2015,UNICA,EUR,"108,9771","108,9771",23.226.834,23.261.290,13,13,E-MAIL
06/02/2015,UNICA,EUR,"108,9767","108,9767",23.226.749,23.258.783,13,13,E-MAIL
07/02/2015,UNICA,EUR,"108,9763","108,9763",23.226.664,23.258.783,13,13,E-MAIL
08/02/2015,UNICA,EUR,"108,9759","108,9759",23.226.578,23.258.783,13,13,E-MAIL
09/02/2015,UNICA,EUR,"108,9755","108,9755",23.226.493,23.258.783,13,13,E-MAIL
10/02/2015,UNICA,EUR,"108,9750","108,9750",23.226.387,23.258.783,13,13,E-MAIL
11/02/2015,UNICA,EUR,"108,9746","108,9746",23.226.301,23.258.783,13,13,E-MAIL
12/02/2015,UNICA,EUR,"108,9742","108,9742",23.226.216,23.258.783,13,13,E-MAIL
13/02/2015,UNICA,EUR,"108,9738","108,9738",23.226.131,23.258.783,13,13,E-MAIL
14/02/2015,UNICA,EUR,"108,9734","108,9734",23.226.046,23.258.783,13,13,E-MAIL
15/02/2015,UNICA,EUR,"108,9729","108,9729",23.225.939,23.258.783,13,13,E-MAIL
16/02/2015,UNICA,EUR,"108,9725","108,9725",23.225.854,23.258.783,13,13,E-MAIL
17/02/2015,UNICA,EUR,"108,9721","108,9721",23.225.769,23.258.783,13,13,E-MAIL
18/02/2015,UNICA,EUR,"108,9717","108,9717",23.225.683,23.258.783,13,13,E-MAIL
19/02/2015,UNICA,EUR,"108,9713","108,9713",23.225.598,23.258.783,13,13,E-MAIL
20/02/2015,UNICA,EUR,"108,9708","108,9708",23.225.491,23.258.783,13,13,E-MAIL
21/02/2015,UNICA,EUR,"108,9704","108,9704",23.225.406,23.258.783,13,13,E-MAIL
22/02/2015,UNICA,EUR,"108,9700","108,9700",23.225.321,23.258.783,13,13,E-MAIL
23/02/2015,UNICA,EUR,"108,9696","108,9696",23.225.236,23.258.783,13,13,E-MAIL
24/02/2015,UNICA,EUR,"108,9692","108,9692",23.225.150,23.258.783,13,13,E-MAIL
25/02/2015,UNICA,EUR,"108,9687","108,9687",23.225.044,23.258.783,13,13,E-MAIL
26/02/2015,UNICA,EUR,"108,9683","108,9683",23.224.959,23.258.783,13,13,E-MAIL
27/02/2015,UNICA,EUR,"108,9511","108,9511",23.221.293,23.258.783,13,13,E-MAIL
28/02/2015,UNICA,EUR,"108,9507","108,9507",23.221.207,23.258.783,13,13,E-MAIL
01/03/2015,UNICA,EUR,"108,9503","108,9503",23.221.122,23.258.783,13,13,E-MAIL
02/03/2015,UNICA,EUR,"108,9499","108,9499",23.221.037,23.258.783,13,13,E-MAIL
03/03/2015,UNICA,EUR,"108,9496","108,9496",23.220.973,23.258.783,13,13,E-MAIL
04/03/2015,UNICA,EUR,"108,9492","108,9492",23.220.888,23.258.783,13,13,E-MAIL
05/03/2015,UNICA,EUR,"108,9488","108,9488",23.220.802,23.258.783,13,13,E-MAIL
06/03/2015,UNICA,EUR,"108,9481","108,9481",23.220.653,23.256.216,13,13,E-MAIL
07/03/2015,UNICA,EUR,"108,9478","108,9478",23.220.589,23.256.216,13,13,E-MAIL
08/03/2015,UNICA,EUR,"108,9474","108,9474",23.220.504,23.256.216,13,13,E-MAIL
09/03/2015,UNICA,EUR,"108,9467","108,9467",23.220.355,23.256.141,13,13,E-MAIL
10/03/2015,UNICA,EUR,"108,9463","108,9463",23.220.270,23.236.684,13,13,E-MAIL
11/03/2015,UNICA,EUR,"108,9459","108,9459",23.220.184,23.236.684,13,13,E-MAIL
12/03/2015,UNICA,EUR,"108,9455","108,9455",23.220.099,23.236.684,13,13,E-MAIL
13/03/2015,UNICA,EUR,"108,9451","108,9451",23.220.014,23.236.684,13,13,E-MAIL
14/03/2015,UNICA,EUR,"108,9448","108,9448",23.219.950,23.236.684,13,13,E-MAIL
15/03/2015,UNICA,EUR,"108,9444","108,9444",23.219.865,23.236.684,13,13,E-MAIL
16/03/2015,UNICA,EUR,"108,9440","108,9440",23.219.779,23.236.684,13,13,E-MAIL
17/03/2015,UNICA,EUR,"108,9436","108,9436",23.219.694,23.236.684,13,13,E-MAIL
18/03/2015,UNICA,EUR,"108,9432","108,9432",23.219.609,23.236.684,13,13,E-MAIL
19/03/2015,UNICA,EUR,"108,9429","108,9429",23.219.545,23.236.684,13,13,E-MAIL
20/03/2015,UNICA,EUR,"108,9427","108,9427",23.219.502,23.236.684,13,13,E-MAIL
21/03/2015,UNICA,EUR,"108,9424","108,9424",23.219.438,23.236.684,13,13,E-MAIL
22/03/2015,UNICA,EUR,"108,9422","108,9422",23.219.396,23.236.684,13,13,E-MAIL
23/03/2015,UNICA,EUR,"108,9413","108,9413",23.219.204,23.236.684,13,13,E-MAIL
24/03/2015,UNICA,EUR,"108,9410","108,9410",23.219.140,23.236.684,13,13,E-MAIL
25/03/2015,UNICA,EUR,"108,9406","108,9406",23.219.055,23.236.684,13,13,E-MAIL
26/03/2015,UNICA,EUR,"108,9402","108,9402",23.218.970,23.236.684,13,13,E-MAIL
27/03/2015,UNICA,EUR,"108,9398","108,9398",23.218.884,23.236.684,13,13,E-MAIL
28/03/2015,UNICA,EUR,"108,9394","108,9394",23.218.799,23.236.684,13,13,E-MAIL
29/03/2015,UNICA,EUR,"108,9391","108,9391",23.218.735,23.236.684,13,13,E-MAIL
30/03/2015,UNICA,EUR,"108,9387","108,9387",23.218.650,23.236.684,13,13,E-MAIL
31/03/2015,UNICA,EUR,"108,9211","108,9211",23.214.899,23.236.684,13,13,E-MAIL
01/04/2015,UNICA,EUR,"108,9208","108,9208",23.214.835,23.236.684,13,13,E-MAIL
02/04/2015,UNICA,EUR,"108,9204","108,9204",23.214.749,23.236.684,13,13,E-MAIL
03/04/2015,UNICA,EUR,"108,9200","108,9200",23.214.664,23.236.684,13,13,E-MAIL
04/04/2015,UNICA,EUR,"108,9196","108,9196",23.214.579,23.236.684,13,13,E-MAIL
05/04/2015,UNICA,EUR,"108,9192","108,9192",23.214.494,23.236.684,13,13,E-MAIL
06/04/2015,UNICA,EUR,"108,9188","108,9188",23.214.408,23.234.177,13,13,E-MAIL
07/04/2015,UNICA,EUR,"108,9184","108,9184",23.214.323,23.234.177,13,13,E-MAIL
08/04/2015,UNICA,EUR,"108,9180","108,9180",23.214.238,23.234.177,13,13,E-MAIL
09/04/2015,UNICA,EUR,"108,9176","108,9176",23.214.153,23.234.177,13,13,E-MAIL
10/04/2015,UNICA,EUR,"108,9172","108,9172",23.214.067,23.234.177,13,13,E-MAIL
11/04/2015,UNICA,EUR,"108,9168","108,9168",23.213.982,23.234.177,13,13,E-MAIL
12/04/2015,UNICA,EUR,"108,9164","108,9164",23.213.897,23.234.177,13,13,E-MAIL
13/04/2015,UNICA,EUR,"108,9161","108,9161",23.213.833,23.234.177,13,13,E-MAIL
14/04/2015,UNICA,EUR,"108,9157","108,9157",23.213.748,23.234.177,13,13,E-MAIL
15/04/2015,UNICA,EUR,"108,9153","108,9153",23.213.662,23.234.177,13,13,E-MAIL
16/04/2015,UNICA,EUR,"108,9149","108,9149",23.213.577,23.234.177,13,13,E-MAIL
