Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
05/03/2015,UNICA,PROM,"1,1315","1,1315",32.890.298,32.932.737,11,11,NINGUNO
06/03/2015,UNICA,PROM,"1,1315","1,1315",32.890.298,32.932.159,11,11,NINGUNO
07/03/2015,UNICA,PROM,"1,1315","1,1315",32.890.298,32.932.159,11,11,NINGUNO
08/03/2015,UNICA,PROM,"1,1314","1,1314",32.887.392,32.932.159,11,11,NINGUNO
09/03/2015,UNICA,PROM,"1,1314","1,1314",32.887.392,32.908.576,11,11,NINGUNO
10/03/2015,UNICA,PROM,"1,1314","1,1314",32.887.392,32.908.570,11,11,NINGUNO
11/03/2015,UNICA,PROM,"1,1317","1,1317",36.618.905,36.640.896,11,11,NINGUNO
12/03/2015,UNICA,PROM,"1,1316","1,1316",36.615.669,36.640.901,11,11,NINGUNO
13/03/2015,UNICA,PROM,"1,1316","1,1316",36.615.669,36.640.894,11,11,NINGUNO
14/03/2015,UNICA,PROM,"1,1316","1,1316",36.615.669,36.640.894,11,11,NINGUNO
15/03/2015,UNICA,PROM,"1,1316","1,1316",36.615.669,36.640.894,11,11,NINGUNO
16/03/2015,UNICA,PROM,"1,1315","1,1315",36.612.433,36.640.870,11,11,NINGUNO
17/03/2015,UNICA,PROM,"1,1315","1,1315",36.612.433,36.640.867,11,11,NINGUNO
18/03/2015,UNICA,PROM,"1,1315","1,1315",36.612.433,36.630.736,11,11,NINGUNO
19/03/2015,UNICA,PROM,"1,1315","1,1315",36.612.433,36.630.766,11,11,NINGUNO
20/03/2015,UNICA,PROM,"1,1314","1,1314",36.609.197,36.630.795,11,11,NINGUNO
21/03/2015,UNICA,PROM,"1,1314","1,1314",36.609.197,36.630.795,11,11,NINGUNO
22/03/2015,UNICA,PROM,"1,1314","1,1314",36.609.197,36.630.795,11,11,NINGUNO
23/03/2015,UNICA,PROM,"1,1314","1,1314",36.609.197,36.630.874,11,11,NINGUNO
24/03/2015,UNICA,PROM,"1,1313","1,1313",36.605.962,36.630.905,11,11,NINGUNO
25/03/2015,UNICA,PROM,"1,1313","1,1313",36.605.962,36.630.942,11,11,NINGUNO
26/03/2015,UNICA,PROM,"1,1313","1,1313",36.605.962,36.630.933,11,11,NINGUNO
27/03/2015,UNICA,PROM,"1,1312","1,1312",36.602.726,36.628.894,11,11,NINGUNO
28/03/2015,UNICA,PROM,"1,1312","1,1312",36.602.726,36.628.894,11,11,NINGUNO
29/03/2015,UNICA,PROM,"1,1312","1,1312",36.602.726,36.628.894,11,11,NINGUNO
30/03/2015,UNICA,PROM,"1,1312","1,1312",36.602.726,36.628.868,11,11,NINGUNO
31/03/2015,UNICA,PROM,"1,1311","1,1311",36.599.490,36.628.871,11,11,NINGUNO
01/04/2015,UNICA,PROM,"1,1311","1,1311",36.599.490,36.628.922,11,11,NINGUNO
02/04/2015,UNICA,PROM,"1,1311","1,1311",36.599.490,36.628.944,11,11,NINGUNO
03/04/2015,UNICA,PROM,"1,1311","1,1311",36.599.490,36.628.944,11,11,NINGUNO
04/04/2015,UNICA,PROM,"1,1310","1,1310",36.596.254,36.628.944,11,11,NINGUNO
05/04/2015,UNICA,PROM,"1,1310","1,1310",36.596.254,36.628.944,11,11,NINGUNO
06/04/2015,UNICA,PROM,"1,1310","1,1310",36.596.254,36.628.970,11,11,NINGUNO
07/04/2015,UNICA,PROM,"1,1309","1,1309",36.593.019,36.627.705,11,11,NINGUNO
08/04/2015,UNICA,PROM,"1,1309","1,1309",36.593.019,36.627.704,11,11,NINGUNO
09/04/2015,UNICA,PROM,"1,1309","1,1309",36.593.019,36.627.692,11,11,NINGUNO
10/04/2015,UNICA,PROM,"1,1308","1,1308",36.589.783,36.626.365,11,11,NINGUNO
11/04/2015,UNICA,PROM,"1,1308","1,1308",36.589.783,36.626.365,11,11,NINGUNO
12/04/2015,UNICA,PROM,"1,1307","1,1307",36.586.547,36.626.365,11,11,NINGUNO
13/04/2015,UNICA,PROM,"1,1307","1,1307",36.586.547,36.626.311,11,11,NINGUNO
14/04/2015,UNICA,PROM,"1,1307","1,1307",36.586.547,36.626.325,11,11,NINGUNO
15/04/2015,UNICA,PROM,"1,1307","1,1307",36.586.547,36.626.320,11,11,NINGUNO
16/04/2015,UNICA,PROM,"1,1306","1,1306",36.583.311,36.626.329,11,11,NINGUNO
17/04/2015,UNICA,PROM,"1,1306","1,1306",36.583.311,36.625.124,11,11,NINGUNO
18/04/2015,UNICA,PROM,"1,1305","1,1305",36.580.076,36.357.431,11,11,NINGUNO
19/04/2015,UNICA,PROM,"1,1305","1,1305",36.580.076,36.625.124,11,11,NINGUNO
20/04/2015,UNICA,PROM,"1,1305","1,1305",36.580.076,36.625.109,11,11,NINGUNO
21/04/2015,UNICA,PROM,"1,1304","1,1304",36.576.840,36.623.421,11,11,NINGUNO
22/04/2015,UNICA,PROM,"1,1304","1,1304",36.576.840,36.623.399,11,11,NINGUNO
23/04/2015,UNICA,PROM,"1,1303","1,1303",36.573.604,36.623.398,11,11,NINGUNO
24/04/2015,UNICA,PROM,"1,1303","1,1303",36.573.604,36.600.921,11,11,NINGUNO
25/04/2015,UNICA,PROM,"1,1303","1,1303",36.573.604,36.600.921,11,11,NINGUNO
26/04/2015,UNICA,PROM,"1,1303","1,1303",36.573.604,36.600.921,11,11,NINGUNO
27/04/2015,UNICA,PROM,"1,1302","1,1302",36.570.369,36.600.915,11,11,NINGUNO
28/04/2015,UNICA,PROM,"1,1302","1,1302",36.570.369,36.600.980,11,11,NINGUNO
29/04/2015,UNICA,PROM,"1,1302","1,1302",36.570.369,36.600.974,11,11,NINGUNO
30/04/2015,UNICA,PROM,"1,1302","1,1302",36.570.369,36.600.912,11,11,NINGUNO
01/05/2015,UNICA,PROM,"1,1301","1,1301",36.567.133,36.600.912,11,11,NINGUNO
02/05/2015,UNICA,PROM,"1,1301","1,1301",36.567.133,36.600.912,11,11,NINGUNO
03/05/2015,UNICA,PROM,"1,1301","1,1301",36.567.133,36.600.912,11,11,NINGUNO
04/05/2015,UNICA,PROM,"1,1300","1,1300",36.563.897,36.600.869,11,11,NINGUNO
05/05/2015,UNICA,PROM,"1,1300","1,1300",36.563.897,36.600.904,11,11,NINGUNO
06/05/2015,UNICA,PROM,"1,2063","1,2063",39.032.769,39.070.258,11,11,NINGUNO
07/05/2015,UNICA,PROM,"1,2063","1,2063",39.032.769,39.070.234,11,11,NINGUNO
08/05/2015,UNICA,PROM,"1,2062","1,2062",39.029.533,39.069.083,11,11,NINGUNO
09/05/2015,UNICA,PROM,"1,2062","1,2062",39.029.533,39.069.083,11,11,NINGUNO
10/05/2015,UNICA,PROM,"1,2062","1,2062",39.029.533,39.069.083,11,11,NINGUNO
11/05/2015,UNICA,PROM,"1,2061","1,2061",39.026.298,39.069.070,11,11,NINGUNO
12/05/2015,UNICA,PROM,"1,2061","1,2061",39.026.298,39.069.065,11,11,NINGUNO
13/05/2015,UNICA,PROM,"1,2061","1,2061",39.026.298,39.046.620,11,11,NINGUNO
14/05/2015,UNICA,PROM,"1,2060","1,2060",39.023.062,39.046.646,11,11,NINGUNO
15/05/2015,UNICA,PROM,"1,2060","1,2060",39.023.062,39.046.662,11,11,NINGUNO
16/05/2015,UNICA,PROM,"1,2060","1,2060",39.023.062,39.046.662,11,11,NINGUNO
17/05/2015,UNICA,PROM,"1,2060","1,2060",39.023.062,39.046.662,11,11,NINGUNO
18/05/2015,UNICA,PROM,"1,2059","1,2059",39.019.826,39.046.638,11,11,NINGUNO
19/05/2015,UNICA,PROM,"1,2059","1,2059",39.019.826,39.046.589,11,11,NINGUNO
20/05/2015,UNICA,PROM,"1,2059","1,2059",39.019.826,39.046.150,11,11,NINGUNO
21/05/2015,UNICA,PROM,"1,2058","1,2058",39.016.590,39.046.150,11,11,NINGUNO
22/05/2015,UNICA,PROM,"1,2058","1,2058",39.016.590,39.045.011,11,11,NINGUNO
23/05/2015,UNICA,PROM,"1,2058","1,2058",39.016.590,39.045.011,11,11,NINGUNO
24/05/2015,UNICA,PROM,"1,2057","1,2057",39.013.355,39.045.011,11,11,NINGUNO
25/05/2015,UNICA,PROM,"1,2057","1,2057",39.013.355,39.044.989,11,11,NINGUNO
26/05/2015,UNICA,PROM,"1,2057","1,2057",39.013.355,39.043.949,11,11,NINGUNO
27/05/2015,UNICA,PROM,"1,2056","1,2056",39.010.119,39.043.923,11,11,NINGUNO
28/05/2015,UNICA,PROM,"1,2056","1,2056",39.010.119,39.043.913,11,11,NINGUNO
29/05/2015,UNICA,PROM,"1,2056","1,2056",39.010.119,39.043.919,11,11,NINGUNO
30/05/2015,UNICA,PROM,"1,2055","1,2055",39.006.883,39.043.919,11,11,NINGUNO
