Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,PROM,"124,3917","124,3917",48.546.100,48.593.670,17,8,E-MAIL
01/01/2015,UNICA,PROM,"124,3913","124,3913",48.545.944,48.593.670,17,8,E-MAIL
02/01/2015,UNICA,PROM,"124,3908","124,3908",48.545.749,48.593.669,17,8,E-MAIL
03/01/2015,UNICA,PROM,"124,3904","124,3904",48.545.593,48.593.669,17,8,E-MAIL
04/01/2015,UNICA,PROM,"124,3899","124,3899",48.545.397,48.593.669,17,8,E-MAIL
05/01/2015,UNICA,PROM,"124,3895","124,3895",48.545.241,48.593.668,17,8,E-MAIL
06/01/2015,UNICA,PROM,"124,3890","124,3890",48.545.046,48.588.279,17,8,E-MAIL
07/01/2015,UNICA,PROM,"124,3886","124,3886",48.544.890,48.588.279,17,8,E-MAIL
08/01/2015,UNICA,PROM,"124,3881","124,3881",48.544.695,48.588.280,17,8,E-MAIL
09/01/2015,UNICA,PROM,"124,3877","124,3877",48.544.539,48.588.279,17,8,E-MAIL
10/01/2015,UNICA,PROM,"124,3873","124,3873",48.544.383,48.588.279,17,8,E-MAIL
11/01/2015,UNICA,PROM,"124,3868","124,3868",48.544.188,48.588.279,17,8,E-MAIL
12/01/2015,UNICA,PROM,"124,3864","124,3864",48.544.032,48.588.279,17,8,E-MAIL
13/01/2015,UNICA,PROM,"124,3859","124,3859",48.543.836,48.588.141,17,8,E-MAIL
14/01/2015,UNICA,PROM,"124,3855","124,3855",48.543.680,48.588.141,17,8,E-MAIL
15/01/2015,UNICA,PROM,"124,3850","124,3850",48.543.485,48.588.141,17,8,E-MAIL
16/01/2015,UNICA,PROM,"124,3846","124,3846",48.543.329,48.588.141,17,8,E-MAIL
17/01/2015,UNICA,PROM,"124,3841","124,3841",48.543.134,48.588.141,17,8,E-MAIL
18/01/2015,UNICA,PROM,"124,3837","124,3837",48.542.978,48.588.141,17,8,E-MAIL
19/01/2015,UNICA,PROM,"124,3833","124,3833",48.542.822,48.588.141,17,8,E-MAIL
20/01/2015,UNICA,PROM,"124,3828","124,3828",48.542.627,48.588.141,17,8,E-MAIL
21/01/2015,UNICA,PROM,"124,3824","124,3824",48.542.470,48.588.141,17,8,E-MAIL
22/01/2015,UNICA,PROM,"124,3824","124,3824",58.643.192,58.688.863,17,8,E-MAIL
23/01/2015,UNICA,PROM,"124,3816","124,3816",58.941.331,58.987.381,17,8,E-MAIL
24/01/2015,UNICA,PROM,"124,3813","124,3813",58.941.189,58.987.381,17,8,E-MAIL
25/01/2015,UNICA,PROM,"124,3809","124,3809",58.940.999,58.987.381,17,8,E-MAIL
26/01/2015,UNICA,PROM,"124,3805","124,3805",58.940.809,58.987.381,17,8,E-MAIL
27/01/2015,UNICA,PROM,"124,3802","124,3802",58.940.667,58.987.381,17,8,E-MAIL
28/01/2015,UNICA,PROM,"125,6610","125,6610",59.547.606,59.594.501,17,8,E-MAIL
29/01/2015,UNICA,PROM,"125,6605","125,6605",59.547.369,59.594.450,17,8,E-MAIL
30/01/2015,UNICA,PROM,"125,6517","125,6517",59.543.199,59.594.450,17,8,E-MAIL
31/01/2015,UNICA,PROM,"125,6514","125,6514",59.543.057,59.594.450,17,8,E-MAIL
01/02/2015,UNICA,PROM,"125,6510","125,6510",59.542.868,59.594.450,17,8,E-MAIL
02/02/2015,UNICA,PROM,"125,6506","125,6506",59.542.678,59.594.450,17,8,E-MAIL
03/02/2015,UNICA,PROM,"125,6501","125,6501",59.542.441,59.594.450,17,8,E-MAIL
04/02/2015,UNICA,PROM,"125,6497","125,6497",59.542.252,59.594.450,17,8,E-MAIL
05/02/2015,UNICA,PROM,"125,6493","125,6493",59.542.062,59.594.450,17,8,E-MAIL
06/02/2015,UNICA,PROM,"125,6489","125,6489",59.541.872,59.589.059,17,8,E-MAIL
07/02/2015,UNICA,PROM,"125,6485","125,6485",59.541.683,59.589.059,17,8,E-MAIL
08/02/2015,UNICA,PROM,"125,6481","125,6481",59.541.493,59.589.059,17,8,E-MAIL
09/02/2015,UNICA,PROM,"125,6477","125,6477",59.541.304,59.589.059,17,8,E-MAIL
10/02/2015,UNICA,PROM,"125,6473","125,6473",59.541.114,59.589.059,17,8,E-MAIL
11/02/2015,UNICA,PROM,"125,6469","125,6469",59.540.925,59.579.400,17,8,E-MAIL
12/02/2015,UNICA,PROM,"125,6465","125,6465",59.540.735,59.579.400,17,8,E-MAIL
13/02/2015,UNICA,PROM,"125,6461","125,6461",59.540.546,59.579.400,17,8,E-MAIL
14/02/2015,UNICA,PROM,"125,6457","125,6457",59.540.356,59.579.400,17,8,E-MAIL
15/02/2015,UNICA,PROM,"125,6453","125,6453",59.540.167,59.579.400,17,8,E-MAIL
16/02/2015,UNICA,PROM,"125,6449","125,6449",59.539.977,59.579.400,17,8,E-MAIL
17/02/2015,UNICA,PROM,"125,6445","125,6445",59.539.787,59.579.400,17,8,E-MAIL
18/02/2015,UNICA,PROM,"125,6441","125,6441",59.539.598,59.579.400,17,8,E-MAIL
19/02/2015,UNICA,PROM,"125,6436","125,6436",59.539.361,59.579.400,17,8,E-MAIL
20/02/2015,UNICA,PROM,"125,6432","125,6432",59.539.171,59.579.400,17,8,E-MAIL
21/02/2015,UNICA,PROM,"125,6428","125,6428",59.538.982,59.579.400,17,8,E-MAIL
22/02/2015,UNICA,PROM,"125,6424","125,6424",59.538.792,59.579.400,17,8,E-MAIL
23/02/2015,UNICA,PROM,"125,6420","125,6420",59.538.603,59.579.400,17,8,E-MAIL
24/02/2015,UNICA,PROM,"125,6416","125,6416",59.538.413,59.579.400,17,8,E-MAIL
25/02/2015,UNICA,PROM,"125,6412","125,6412",59.538.224,59.579.400,17,8,E-MAIL
26/02/2015,UNICA,PROM,"125,6408","125,6408",59.538.034,59.579.400,17,8,E-MAIL
27/02/2015,UNICA,PROM,"125,6319","125,6319",59.533.817,59.579.400,17,8,E-MAIL
28/02/2015,UNICA,PROM,"125,6315","125,6315",59.533.627,59.579.400,17,8,E-MAIL
01/03/2015,UNICA,PROM,"125,6311","125,6311",59.533.438,59.579.400,17,8,E-MAIL
02/03/2015,UNICA,PROM,"125,6307","125,6307",59.533.248,59.579.400,17,8,E-MAIL
03/03/2015,UNICA,PROM,"125,6303","125,6303",59.533.058,59.579.400,17,8,E-MAIL
04/03/2015,UNICA,PROM,"125,6300","125,6300",59.532.916,59.579.400,17,8,E-MAIL
05/03/2015,UNICA,PROM,"125,6296","125,6296",59.532.727,59.579.400,17,8,E-MAIL
06/03/2015,UNICA,PROM,"125,6292","125,6292",59.532.537,59.573.982,17,8,E-MAIL
07/03/2015,UNICA,PROM,"125,6289","125,6289",59.532.395,59.573.982,17,8,E-MAIL
08/03/2015,UNICA,PROM,"125,6285","125,6285",59.532.205,59.573.982,17,8,E-MAIL
09/03/2015,UNICA,PROM,"125,6291","125,6291",59.532.490,59.558.811,17,8,E-MAIL
10/03/2015,UNICA,PROM,"125,6288","125,6288",59.532.348,59.558.811,17,8,E-MAIL
11/03/2015,UNICA,PROM,"125,6284","125,6284",59.532.158,59.558.811,17,8,E-MAIL
12/03/2015,UNICA,PROM,"125,6280","125,6280",59.531.969,59.558.811,17,8,E-MAIL
13/03/2015,UNICA,PROM,"125,6276","125,6276",59.531.779,59.558.811,17,8,E-MAIL
14/03/2015,UNICA,PROM,"125,6273","125,6273",59.531.637,59.558.811,17,8,E-MAIL
15/03/2015,UNICA,PROM,"125,6269","125,6269",59.531.447,59.558.811,17,8,E-MAIL
16/03/2015,UNICA,PROM,"125,6265","125,6265",59.531.258,59.558.811,17,8,E-MAIL
17/03/2015,UNICA,PROM,"125,6262","125,6262",59.531.116,59.558.811,17,8,E-MAIL
18/03/2015,UNICA,PROM,"125,6258","125,6258",59.530.926,59.558.811,17,8,E-MAIL
19/03/2015,UNICA,PROM,"125,6254","125,6254",59.530.736,59.558.811,17,8,E-MAIL
20/03/2015,UNICA,PROM,"125,6251","125,6251",59.530.594,59.558.811,17,8,E-MAIL
21/03/2015,UNICA,PROM,"125,6247","125,6247",59.530.405,59.558.811,17,8,E-MAIL
22/03/2015,UNICA,PROM,"125,6243","125,6243",59.530.215,59.558.811,17,8,E-MAIL
23/03/2015,UNICA,PROM,"125,6240","125,6240",59.530.073,59.558.811,17,8,E-MAIL
24/03/2015,UNICA,PROM,"125,6236","125,6236",59.529.883,59.558.811,17,8,E-MAIL
25/03/2015,UNICA,PROM,"125,6232","125,6232",59.529.694,59.558.811,17,8,E-MAIL
26/03/2015,UNICA,PROM,"125,6229","125,6229",59.529.552,59.558.811,17,8,E-MAIL
27/03/2015,UNICA,PROM,"125,6225","125,6225",59.529.362,59.558.811,17,8,E-MAIL
28/03/2015,UNICA,PROM,"125,6221","125,6221",59.529.173,59.558.811,17,8,E-MAIL
29/03/2015,UNICA,PROM,"125,6217","125,6217",59.528.983,59.558.811,17,8,E-MAIL
30/03/2015,UNICA,PROM,"125,6214","125,6214",59.528.841,59.558.811,17,8,E-MAIL
31/03/2015,UNICA,PROM,"125,6126","125,6126",59.524.671,59.558.811,17,8,E-MAIL
01/04/2015,UNICA,PROM,"125,6122","125,6122",59.524.481,59.558.811,17,8,E-MAIL
02/04/2015,UNICA,PROM,"125,6118","125,6118",59.524.292,59.558.811,17,8,E-MAIL
03/04/2015,UNICA,PROM,"125,6114","125,6114",59.524.102,59.558.811,17,8,E-MAIL
04/04/2015,UNICA,PROM,"125,6111","125,6111",59.523.960,59.558.811,17,8,E-MAIL
05/04/2015,UNICA,PROM,"125,6107","125,6107",59.523.770,59.558.811,17,8,E-MAIL
06/04/2015,UNICA,PROM,"125,6095","125,6095",59.523.202,59.552.999,17,8,E-MAIL
07/04/2015,UNICA,PROM,"125,6091","125,6091",59.523.012,59.552.999,17,8,E-MAIL
08/04/2015,UNICA,PROM,"125,6087","125,6087",59.522.823,59.552.999,17,8,E-MAIL
09/04/2015,UNICA,PROM,"125,6083","125,6083",59.522.633,59.552.999,17,8,E-MAIL
10/04/2015,UNICA,PROM,"125,6079","125,6079",59.522.444,59.552.999,17,8,E-MAIL
11/04/2015,UNICA,PROM,"125,6076","125,6076",59.522.301,59.552.999,17,8,E-MAIL
12/04/2015,UNICA,PROM,"125,6072","125,6072",59.522.112,59.552.999,17,8,E-MAIL
13/04/2015,UNICA,PROM,"125,6068","125,6068",59.521.922,59.552.999,17,8,E-MAIL
14/04/2015,UNICA,PROM,"125,6064","125,6064",59.521.733,59.552.999,17,8,E-MAIL
15/04/2015,UNICA,PROM,"125,6060","125,6060",59.521.543,59.552.999,17,8,E-MAIL
16/04/2015,UNICA,PROM,"125,6057","125,6057",59.521.401,59.552.999,17,8,E-MAIL
17/04/2015,UNICA,PROM,"125,6053","125,6053",59.521.212,59.552.999,17,8,E-MAIL
18/04/2015,UNICA,PROM,"125,6049","125,6049",59.521.022,59.552.999,17,8,E-MAIL
19/04/2015,UNICA,PROM,"125,6045","125,6045",59.520.832,59.552.999,17,8,E-MAIL
20/04/2015,UNICA,PROM,"125,6041","125,6041",59.520.643,59.552.999,17,8,E-MAIL
