Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,PROM,"1,2052","1,2052",54.933.585,54.975.495,13,10,EMAIL
01/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.976.011,13,10,EMAIL
02/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.976.490,13,10,EMAIL
03/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.977.006,13,10,EMAIL
04/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.977.523,13,10,EMAIL
05/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.978.034,13,10,EMAIL
06/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.978.551,13,10,EMAIL
07/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.979.069,13,10,EMAIL
08/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.979.587,13,10,EMAIL
09/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.980.102,13,10,EMAIL
10/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.980.618,13,10,EMAIL
11/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.981.134,13,10,EMAIL
12/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.981.648,13,10,EMAIL
13/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.963.123,13,10,EMAIL
14/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.963.629,13,10,EMAIL
15/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.964.148,13,10,EMAIL
16/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.964.660,13,10,EMAIL
17/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.965.176,13,10,EMAIL
18/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.965.692,13,10,EMAIL
19/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.966.204,13,10,EMAIL
20/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.966.736,13,10,EMAIL
21/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.964.887,13,10,EMAIL
22/01/2015,UNICA,PROM,"1,2052","1,2052",54.933.585,54.965.426,13,10,EMAIL
23/01/2015,UNICA,PROM,"1,2051","1,2051",54.929.027,54.961.156,13,10,E-MAIL
24/01/2015,UNICA,PROM,"1,2051","1,2051",54.929.027,54.961.672,13,10,E-MAIL
25/01/2015,UNICA,PROM,"1,2051","1,2051",54.929.027,54.962.188,13,10,E-MAIL
26/01/2015,UNICA,PROM,"1,2051","1,2051",54.929.027,54.962.679,13,10,E-MAIL
27/01/2015,UNICA,PROM,"1,2051","1,2051",54.929.027,54.963.198,13,10,E-MAIL
28/01/2015,UNICA,PROM,"1,2051","1,2051",54.929.027,54.963.717,13,10,E-MAIL
29/01/2015,UNICA,PROM,"1,2051","1,2051",54.929.027,54.964.234,13,10,E-MAIL
30/01/2015,UNICA,PROM,"1,2050","1,2050",54.924.469,54.964.749,13,10,EMAIL
31/01/2015,UNICA,PROM,"1,2050","1,2050",54.924.469,54.965.246,13,10,EMAIL
01/02/2015,UNICA,PROM,"1,2050","1,2050",54.924.469,54.965.817,13,10,EMAIL
02/02/2015,UNICA,PROM,"1,2050","1,2050",54.924.469,54.966.393,13,10,EMAIL
03/02/2015,UNICA,PROM,"1,2050","1,2050",54.924.469,54.966.974,13,10,EMAIL
04/02/2015,UNICA,PROM,"1,2050","1,2050",55.928.054,55.971.136,13,10,EMAIL
05/02/2015,UNICA,PROM,"1,2050","1,2050",55.928.054,55.971.423,13,10,EMAIL
06/02/2015,UNICA,PROM,"1,2050","1,2050",55.928.054,55.952.959,13,10,EMAIL
07/02/2015,UNICA,PROM,"1,2050","1,2050",55.928.054,55.953.530,13,10,EMAIL
08/02/2015,UNICA,PROM,"1,2050","1,2050",55.928.054,55.954.102,13,10,EMAIL
09/02/2015,UNICA,PROM,"1,2050","1,2050",55.928.054,55.954.620,13,10,EMAIL
10/02/2015,UNICA,PROM,"1,2050","1,2050",55.928.054,55.955.195,13,10,EMAIL
11/02/2015,UNICA,PROM,"1,2050","1,2050",55.928.054,55.955.768,13,10,EMAIL
12/02/2015,UNICA,PROM,"1,2050","1,2050",55.928.054,55.956.343,13,10,EMAIL
13/02/2015,UNICA,PROM,"1,2050","1,2050",55.928.054,55.956.922,13,10,EMAIL
14/02/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.957.493,13,10,EMAIL
15/02/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.958.065,13,10,EMAIL
16/02/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.958.645,13,10,EMAIL
17/02/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.959.220,13,10,EMAIL
18/02/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.959.794,13,10,EMAIL
19/02/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.960.368,13,10,EMAIL
20/02/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.960.945,13,10,EMAIL
21/02/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.961.516,13,10,EMAIL
22/02/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.962.088,13,10,EMAIL
23/02/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.962.643,13,10,EMAIL
24/02/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.962.273,13,10,EMAIL
25/02/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.962.853,13,10,EMAIL
26/02/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.963.396,13,10,EMAIL
27/02/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.963.966,13,10,EMAIL
28/02/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.964.540,13,10,EMAIL
01/03/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.923.413,13,10,EMAIL
02/03/2015,UNICA,PROM,"1,2049","1,2049",55.923.413,55.965.575,13,10,EMAIL
03/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.966.091,13,10,EMAIL
04/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.966.605,13,10,EMAIL
05/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.967.122,13,10,EMAIL
06/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.967.631,13,10,EMAIL
07/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.968.147,13,10,EMAIL
08/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.968.663,13,10,EMAIL
09/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.969.176,13,10,EMAIL
10/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.969.634,13,10,EMAIL
11/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.970.144,13,10,EMAIL
12/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.970.667,13,10,EMAIL
13/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.971.176,13,10,EMAIL
14/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.971.692,13,10,EMAIL
15/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.972.208,13,10,EMAIL
16/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.972.726,13,10,EMAIL
17/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.973.241,13,10,EMIAL
18/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.973.756,13,10,EMAIL
19/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.974.278,13,10,EMAIL
20/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.974.799,13,10,EMAIL
21/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.975.316,13,10,EMAIL
22/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.975.832,13,10,EMAIL
23/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.976.363,13,10,EMAIL
24/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.976.885,13,10,EMAIL
25/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.977.408,13,10,EMAIL
26/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.977.916,13,10,EMAIL
27/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.978.422,13,10,EMAIL
28/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.978.938,13,10,EMAIL
29/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.979.454,13,10,EMAIL
30/03/2015,UNICA,PROM,"1,2048","1,2048",55.918.772,55.979.950,13,10,EMAIL
31/03/2015,UNICA,PROM,"1,2596","1,2596",58.462.222,58.525.362,13,10,EMAIL
01/04/2015,UNICA,PROM,"1,2596","1,2596",58.462.222,58.525.941,13,10,EMAIL
02/04/2015,UNICA,PROM,"1,2596","1,2596",58.462.222,58.524.069,13,10,EMAIL
03/04/2015,UNICA,PROM,"1,2596","1,2596",58.462.222,58.524.603,13,10,EMAIL
04/04/2015,UNICA,PROM,"1,2596","1,2596",58.462.222,58.525.136,13,10,EMAIL
05/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.525.669,13,10,EMAIL
06/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.526.279,13,10,EMAIL
07/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.526.808,13,10,EMAIL
08/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.527.342,13,10,EMAIL
09/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.527.831,13,10,EMAIL
10/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.509.160,13,10,EMAIL
11/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.509.693,13,10,EMAIL
12/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.510.227,13,10,EMAIL
13/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.507.163,13,10,EMAIL
14/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.501.880,13,10,EMAIL
15/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.502.390,13,10,EMAIL
16/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.502.972,13,10,EMAIL
17/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.503.502,13,10,EMAIL
18/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.504.035,13,10,EMAIL
19/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.504.568,13,10,EMAIL
20/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.501.087,13,10,EMAIL
21/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.501.617,13,10,EMAIL
22/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.502.144,13,10,EMAIL
23/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.502.677,13,10,EMAIL
24/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.503.228,13,10,EMAIL
25/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.503.761,13,10,EMAIL
26/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.504.294,13,10,EMAIL
27/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.504.845,13,10,EMAIL
28/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.505.399,13,10,EMAIL
29/04/2015,UNICA,PROM,"1,2595","1,2595",58.457.580,58.505.774,13,10,EMAIL
30/04/2015,UNICA,PROM,"1,2594","1,2594",58.452.939,58.506.290,13,10,EMAIL
01/05/2015,UNICA,PROM,"1,2594","1,2594",58.452.939,58.506.807,13,10,EMAIL
02/05/2015,UNICA,PROM,"1,2594","1,2594",58.452.939,58.507.323,13,10,EMAIL
03/05/2015,UNICA,PROM,"1,2594","1,2594",58.452.939,58.507.839,13,10,EMAIL
04/05/2015,UNICA,PROM,"1,2594","1,2594",58.452.939,58.508.341,13,10,EMAIL
05/05/2015,UNICA,PROM,"1,2594","1,2594",58.452.939,58.508.872,13,10,EMAIL
06/05/2015,UNICA,PROM,"1,2594","1,2594",58.452.939,58.509.401,13,10,EMAIL
07/05/2015,UNICA,PROM,"1,2594","1,2594",58.452.939,58.509.911,13,10,EMAIL
08/05/2015,UNICA,PROM,"1,2594","1,2594",62.580.945,62.638.454,13,10,EMAIL
09/05/2015,UNICA,PROM,"1,2594","1,2594",62.580.945,62.638.970,13,10,EMIAL
10/05/2015,UNICA,PROM,"1,2594","1,2594",62.580.945,62.639.487,13,10,EMAIL
11/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.639.549,13,10,EMAIL
12/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.640.034,13,10,EMAIL
13/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.640.576,13,10,EMAIL
14/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.641.101,13,10,EMAIL
15/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.641.593,13,10,EMAIL
16/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.642.109,13,10,EMAIL
17/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.642.625,13,10,EMAIL
18/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.624.096,13,10,EMAIL
19/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.624.599,13,10,EMAIL
20/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.625.107,13,10,EMAIL
21/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.625.623,13,10,EMAIL
22/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.626.133,13,10,EMAIL
23/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.626.649,13,10,EMAIL
24/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.627.166,13,10,EMAIL
25/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.627.676,13,10,EMAIL
26/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.628.183,13,10,EMAIL
27/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.628.687,13,10,EMAIL
28/05/2015,UNICA,PROM,"1,2593","1,2593",62.575.976,62.629.194,13,10,EMAIL
29/05/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.950.861,13,10,EMAIL
30/05/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.951.378,13,10,EMAIL
31/05/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.951.895,13,10,EMAIL
01/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.929.789,13,10,EMAIL
02/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.930.323,13,10,EMAIL
03/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.930.850,13,10,EMAIL
04/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.931.381,13,10,EMAIL
05/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.931.903,13,10,EMAIL
06/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.932.436,13,10,EMAIL
07/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.932.970,13,10,EMAIL
08/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.933.508,13,10,EMAIL
09/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.934.054,13,10,EMAIL
10/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.934.592,13,10,EMAIL
11/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.935.114,13,10,EMAIL
12/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.935.619,13,10,EMAIL
13/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.936.153,13,10,EMAIL
14/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.936.686,13,10,EMAIL
15/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.937.217,13,10,EMAIL
16/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.937.752,13,10,EMAIL
17/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.919.207,13,10,EMAIL
18/06/2015,UNICA,PROM,"1,3261","1,3261",65.895.340,65.919.778,13,10,EMAIL
