Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,PROM,"113,0618","113,0618",15.392.686,15.427.457,19,10,E-MAIL
01/01/2015,UNICA,PROM,"113,0609","113,0609",15.392.563,15.427.475,19,10,E-MAIL
02/01/2015,UNICA,PROM,"113,0600","113,0600",15.392.441,15.427.475,19,10,E-MAIL
03/01/2015,UNICA,PROM,"113,0590","113,0590",15.392.304,15.427.475,19,10,E-MAIL
04/01/2015,UNICA,PROM,"113,0581","113,0581",15.392.182,15.427.475,19,10,E-MAIL
05/01/2015,UNICA,PROM,"113,0575","113,0575",15.392.100,15.427.530,19,10,E-MAIL
06/01/2015,UNICA,PROM,"113,0567","113,0567",15.391.991,15.423.527,19,10,E-MAIL
07/01/2015,UNICA,PROM,"113,0558","113,0558",15.391.869,15.423.527,19,10,E-MAIL
08/01/2015,UNICA,PROM,"113,0548","113,0548",15.391.733,15.423.527,19,10,E-MAIL
09/01/2015,UNICA,PROM,"113,0538","113,0538",15.391.597,15.423.527,19,10,E-MAIL
10/01/2015,UNICA,PROM,"113,0529","113,0529",15.391.474,15.423.527,19,10,E-MAIL
11/01/2015,UNICA,PROM,"113,0519","113,0519",15.391.338,15.423.527,19,10,E-MAIL
12/01/2015,UNICA,PROM,"113,0510","113,0510",15.391.215,15.423.527,19,10,E-MAIL
13/01/2015,UNICA,PROM,"113,0500","113,0500",15.391.079,15.423.527,19,10,E-MAIL
14/01/2015,UNICA,PROM,"113,0491","113,0491",15.390.957,15.423.525,19,10,E-MAIL
15/01/2015,UNICA,PROM,"113,0481","113,0481",15.390.821,15.421.418,19,10,E-MAIL
16/01/2015,UNICA,PROM,"113,0472","113,0472",15.390.698,15.421.418,19,10,E-MAIL
17/01/2015,UNICA,PROM,"113,0462","113,0462",15.390.562,15.421.418,19,10,E-MAIL
18/01/2015,UNICA,PROM,"113,0453","113,0453",15.390.439,15.421.418,19,10,E-MAIL
19/01/2015,UNICA,PROM,"113,0442","113,0442",15.390.290,15.421.398,19,10,E-MAIL
20/01/2015,UNICA,PROM,"113,0432","113,0432",15.390.153,15.421.398,19,10,E-MAIL
21/01/2015,UNICA,PROM,"113,0422","113,0422",15.390.017,15.421.398,19,10,E-MAIL
22/01/2015,UNICA,PROM,"113,0413","113,0413",15.389.895,15.421.398,19,10,E-MAIL
