Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,PROM,"0,9969","0,9969",11.215.126,11.228.365,8,8,NINGUNO
01/01/2015,UNICA,PROM,"0,9968","0,9968",11.214.001,11.228.365,8,8,NINGUNO
02/01/2015,UNICA,PROM,"0,9968","0,9968",11.214.001,11.228.301,8,8,NINGUNO
03/01/2015,UNICA,PROM,"0,9968","0,9968",11.214.001,11.228.301,8,8,NINGUNO
04/01/2015,UNICA,PROM,"0,9968","0,9968",11.214.001,11.228.301,8,8,NINGUNO
05/01/2015,UNICA,PROM,"0,9967","0,9967",11.212.876,11.228.202,8,8,NINGUNO
06/01/2015,UNICA,PROM,"0,9967","0,9967",11.212.876,11.227.829,8,8,NINGUNO
07/01/2015,UNICA,PROM,"0,9967","0,9967",11.212.876,11.227.843,8,8,NINGUNO
08/01/2015,UNICA,PROM,"0,9967","0,9967",11.212.876,11.227.860,8,8,NIGUNO
09/01/2015,UNICA,PROM,"0,9967","0,9967",11.212.876,11.227.850,8,8,NINGUNO
10/01/2015,UNICA,PROM,"0,9967","0,9967",11.212.876,11.227.850,8,8,NINGUNO
11/01/2015,UNICA,PROM,"0,9966","0,9966",11.211.751,11.227.850,8,8,NINGUNO
12/01/2015,UNICA,PROM,"0,9966","0,9966",11.211.751,11.227.813,8,8,NINGUNO
13/01/2015,UNICA,PROM,"0,9965","0,9965",11.210.626,11.218.304,8,8,NINGUNO
14/01/2015,UNICA,PROM,"0,9965","0,9965",11.210.626,11.212.986,8,8,NINGUNO
15/01/2015,UNICA,PROM,"0,9965","0,9965",11.210.626,11.213.005,8,8,NINGUNO
16/01/2015,UNICA,PROM,"0,9964","0,9964",11.209.501,11.212.969,8,8,NINGUNO
17/01/2015,UNICA,PROM,"0,9964","0,9964",11.209.501,11.212.969,8,8,NINGUNO
18/01/2015,UNICA,PROM,"0,9964","0,9964",11.209.501,11.212.969,8,8,NINGUNO
19/01/2015,UNICA,PROM,"0,9964","0,9964",11.209.501,11.212.947,8,8,NINGUNO
20/01/2015,UNICA,PROM,"0,9963","0,9963",11.208.376,11.211.680,8,8,NINGUNO
21/01/2015,UNICA,PROM,"0,9962","0,9962",11.207.251,11.211.669,8,8,NINGUNO
22/01/2015,UNICA,PROM,"0,9962","0,9962",11.207.251,11.211.691,8,8,NINGUNO
23/01/2015,UNICA,PROM,"0,9962","0,9962",11.207.251,11.211.687,8,8,NINGUNO
24/01/2015,UNICA,PROM,"0,9962","0,9962",11.207.251,11.211.687,8,8,NINGUNO
25/01/2015,UNICA,PROM,"0,9962","0,9962",11.207.251,11.211.687,8,8,NINGUNO
26/01/2015,UNICA,PROM,"0,9962","0,9962",11.207.251,11.211.693,8,8,NINGUNO
27/01/2015,UNICA,PROM,"0,9961","0,9961",11.206.126,11.211.713,8,8,NINGUNO
28/01/2015,UNICA,PROM,"0,9960","0,9960",11.205.001,11.210.424,8,8,NINGUNO
29/01/2015,UNICA,PROM,"0,9959","0,9959",11.203.876,11.209.222,8,8,NINGUNO
30/01/2015,UNICA,PROM,"0,9959","0,9959",11.203.876,11.209.197,8,8,NINGUNO
31/01/2015,UNICA,PROM,"0,9958","0,9958",11.202.751,11.209.197,8,8,NINGUNO
01/02/2015,UNICA,PROM,"0,9958","0,9958",11.202.751,11.209.197,8,8,NINGUNO
02/02/2015,UNICA,PROM,"0,9958","0,9958",11.202.751,11.209.196,8,8,NINGUNO
03/02/2015,UNICA,PROM,"0,9958","0,9958",11.202.751,11.209.220,8,8,NINGUNO
04/02/2015,UNICA,PROM,"0,9958","0,9958",11.202.751,11.209.220,8,8,NINGUNO
05/02/2015,UNICA,PROM,"0,9958","0,9958",11.202.751,11.209.180,8,8,NINGUNO
06/02/2015,UNICA,PROM,"0,9957","0,9957",11.201.626,11.209.187,8,8,NINGUNA
07/02/2015,UNICA,PROM,"0,9957","0,9957",11.201.626,11.209.187,8,8,NINGUNO
08/02/2015,UNICA,PROM,"0,9957","0,9957",11.201.626,11.209.187,8,8,NINGUNO
09/02/2015,UNICA,PROM,"0,9957","0,9957",11.201.626,11.209.174,8,8,NINGUNO
10/02/2015,UNICA,PROM,"0,9956","0,9956",11.200.501,11.208.780,8,8,NINGUNO
11/02/2015,UNICA,PROM,"0,9955","0,9955",11.199.376,11.202.471,8,8,NINGUNO
12/02/2015,UNICA,PROM,"0,9955","0,9955",11.199.376,11.202.474,8,8,NINGUNO
13/02/2015,UNICA,PROM,"0,9955","0,9955",11.199.376,11.202.489,8,8,NINGUNO
14/02/2015,UNICA,PROM,"0,9955","0,9955",11.199.376,11.202.489,8,8,NINGUNO
15/02/2015,UNICA,PROM,"0,9954","0,9954",11.198.251,11.202.489,8,8,NINGUNO
16/02/2015,UNICA,PROM,"0,9954","0,9954",11.198.251,11.202.490,8,8,NINGUNO
17/02/2015,UNICA,PROM,"0,9954","0,9954",11.198.251,11.202.490,8,8,NINGUNO
18/02/2015,UNICA,PROM,"0,9954","0,9954",11.198.251,11.202.489,8,8,NINGUNO
19/02/2015,UNICA,PROM,"0,9955","0,9955",11.590.860,11.595.743,8,8,NINGUNO
20/02/2015,UNICA,PROM,"0,9958","0,9958",12.497.291,12.497.291,8,8,NINGUNO
21/02/2015,UNICA,PROM,"0,9958","0,9958",12.497.291,12.502.497,8,8,NINGUNO
22/02/2015,UNICA,PROM,"0,9958","0,9958",12.497.291,12.502.497,8,8,NINGUNO
23/02/2015,UNICA,PROM,"0,9958","0,9958",12.497.291,12.502.487,8,8,NINGUNO
24/02/2015,UNICA,PROM,"0,9958","0,9958",12.497.291,12.502.459,8,8,NINGUNO
25/02/2015,UNICA,PROM,"0,9957","0,9957",12.496.036,12.502.467,8,8,NINGUNO
26/02/2015,UNICA,PROM,"0,9957","0,9957",12.496.036,12.502.471,8,8,NINGUNO
27/02/2015,UNICA,PROM,"0,9957","0,9957",12.496.036,12.502.469,8,8,NINGUNO
28/02/2015,UNICA,PROM,"0,9957","0,9957",12.496.036,12.502.469,8,8,NINGUNO
01/03/2015,UNICA,PROM,"0,9957","0,9957",12.496.036,12.502.469,8,8,NINGUNO
02/03/2015,UNICA,PROM,"0,9957","0,9957",12.496.036,12.502.421,8,8,NINGUNO
03/03/2015,UNICA,PROM,"0,9956","0,9956",12.494.781,12.502.410,8,8,NINGUNO
04/03/2015,UNICA,PROM,"0,9952","0,9952",12.489.761,12.497.618,8,8,NINGUNO
05/03/2015,UNICA,PROM,"0,9952","0,9952",12.489.761,12.492.388,8,8,NINGUNO
06/03/2015,UNICA,PROM,"0,9952","0,9952",12.489.761,12.491.961,8,8,NINGUNO
07/03/2015,UNICA,PROM,"0,9952","0,9952",12.489.761,12.491.961,8,8,NINGUNO
08/03/2015,UNICA,PROM,"0,9951","0,9951",12.488.506,12.491.961,8,8,NINGUNO
09/03/2015,UNICA,PROM,"0,9951","0,9951",12.488.506,12.491.924,8,8,NINGUNO
10/03/2015,UNICA,PROM,"0,9951","0,9951",12.488.506,12.491.880,8,8,NINGUNO
11/03/2015,UNICA,PROM,"0,9950","0,9950",12.487.251,12.491.836,8,8,NINGUNO
12/03/2015,UNICA,PROM,"0,9950","0,9950",13.462.250,13.466.876,8,8,NINGUNO
13/03/2015,UNICA,PROM,"0,9950","0,9950",13.462.250,13.466.138,8,8,NINGUNO
14/03/2015,UNICA,PROM,"0,9950","0,9950",13.462.250,13.466.138,8,8,NINGUNO
15/03/2015,UNICA,PROM,"0,9949","0,9949",13.460.897,13.466.138,8,8,NINGUNO
16/03/2015,UNICA,PROM,"0,9949","0,9949",13.460.897,13.466.135,8,8,NINGUNO
17/03/2015,UNICA,PROM,"0,9949","0,9949",13.460.897,13.465.524,8,8,NINGUNO
18/03/2015,UNICA,PROM,"0,9940","0,9940",13.448.720,13.454.019,8,8,NINGUNO
19/03/2015,UNICA,PROM,"0,9940","0,9940",13.448.720,13.454.036,8,8,NINGUNO
20/03/2015,UNICA,PROM,"0,9939","0,9939",13.447.367,13.453.471,8,8,NINGUNO
21/03/2015,UNICA,PROM,"0,9939","0,9939",13.447.367,13.453.471,8,8,NINGUNO
22/03/2015,UNICA,PROM,"0,9939","0,9939",13.447.367,13.453.471,8,8,NINGUNO
23/03/2015,UNICA,PROM,"0,9939","0,9939",13.447.367,13.453.507,8,8,NINGUNO
24/03/2015,UNICA,PROM,"0,9938","0,9938",13.446.014,13.453.522,8,8,NINGUNO
25/03/2015,UNICA,PROM,"0,9938","0,9938",13.446.014,13.453.539,8,8,NINGUNO
26/03/2015,UNICA,PROM,"0,9938","0,9938",13.446.014,13.453.535,8,8,NINGUNO
27/03/2015,UNICA,PROM,"0,9938","0,9938",13.446.014,13.453.526,8,8,NINGUNO
28/03/2015,UNICA,PROM,"0,9938","0,9938",13.446.014,13.453.526,8,8,NINGUNO
29/03/2015,UNICA,PROM,"0,9937","0,9937",13.444.661,13.453.526,8,8,NINGUNO
30/03/2015,UNICA,PROM,"0,9937","0,9937",13.444.661,13.453.508,8,8,NINGUNO
31/03/2015,UNICA,PROM,"0,9937","0,9937",13.444.661,13.453.509,8,8,NINGUNO
01/04/2015,UNICA,PROM,"0,9937","0,9937",13.444.661,13.453.546,8,8,NINGUNO
02/04/2015,UNICA,PROM,"0,9937","0,9937",13.444.661,13.453.461,8,8,NINGUNO
03/04/2015,UNICA,PROM,"0,9936","0,9936",13.443.308,13.453.561,8,8,NINGUNO
04/04/2015,UNICA,PROM,"0,9936","0,9936",13.443.308,13.453.561,8,8,NINGUNO
05/04/2015,UNICA,PROM,"0,9936","0,9936",13.443.308,13.453.561,8,8,NINGUNO
06/04/2015,UNICA,PROM,"0,9936","0,9936",13.443.308,13.453.579,8,8,NINGUNO
07/04/2015,UNICA,PROM,"0,9934","0,9934",13.440.602,13.451.629,8,8,NINGUNO
08/04/2015,UNICA,PROM,"0,9934","0,9934",13.440.602,13.451.629,8,8,NINGUNO
09/04/2015,UNICA,PROM,"0,9934","0,9934",13.440.602,13.451.625,8,8,NINGUNO
10/04/2015,UNICA,PROM,"0,9934","0,9934",13.440.602,13.451.618,8,8,NINGUNO
11/04/2015,UNICA,PROM,"0,9934","0,9934",13.440.602,13.451.618,8,8,NINGUNO
12/04/2015,UNICA,PROM,"0,9933","0,9933",13.439.249,13.451.618,8,8,NINGUNO
13/04/2015,UNICA,PROM,"0,9933","0,9933",16.039.250,16.051.567,8,8,NINGUNO
14/04/2015,UNICA,PROM,"0,9933","0,9933",16.039.250,16.051.575,8,8,NINGUNO
15/04/2015,UNICA,PROM,"0,9932","0,9932",16.037.635,16.051.548,8,8,NINGUNO
16/04/2015,UNICA,PROM,"0,9932","0,9932",16.037.635,16.051.553,8,8,NINGUNO
17/04/2015,UNICA,PROM,"0,9932","0,9932",16.037.635,16.051.553,8,8,NINGUNO
18/04/2015,UNICA,PROM,"0,9932","0,9932",16.037.635,16.051.553,8,8,NINGUNO
19/04/2015,UNICA,PROM,"0,9932","0,9932",16.037.635,16.051.553,8,8,NINGUNO
20/04/2015,UNICA,PROM,"0,9932","0,9932",16.037.635,16.051.550,8,8,NINGUNO
21/04/2015,UNICA,PROM,"0,9931","0,9931",16.036.021,16.051.073,8,8,NINGUNO
22/04/2015,UNICA,PROM,"0,9931","0,9931",16.036.021,16.051.073,8,8,NINGUNO
23/04/2015,UNICA,PROM,"0,9931","0,9931",16.036.021,16.051.072,8,8,NINGUNO
24/04/2015,UNICA,PROM,"0,9931","0,9931",16.036.021,16.045.842,8,8,NINGUNO
25/04/2015,UNICA,PROM,"0,9930","0,9930",16.034.406,16.045.842,8,8,NINGUNO
26/04/2015,UNICA,PROM,"0,9930","0,9930",16.034.406,16.045.842,8,8,NINGUNO
27/04/2015,UNICA,PROM,"0,9930","0,9930",16.034.406,16.045.791,8,8,NINGUNO
28/04/2015,UNICA,PROM,"0,9930","0,9930",16.034.406,16.045.793,8,8,NINGUNO
29/04/2015,UNICA,PROM,"0,9930","0,9930",16.034.406,16.045.793,8,8,NINGUNO
30/04/2015,UNICA,PROM,"0,9930","0,9930",16.034.406,16.045.791,8,8,NINGUNO
01/05/2015,UNICA,PROM,"0,9929","0,9929",16.032.791,16.045.791,8,8,NINGUNO
02/05/2015,UNICA,PROM,"0,9929","0,9929",16.032.791,16.045.791,8,8,NINGUNO
03/05/2015,UNICA,PROM,"0,9929","0,9929",16.032.791,16.045.791,8,8,NINGUNO
04/05/2015,UNICA,PROM,"0,9929","0,9929",16.032.791,16.045.790,8,8,NINGUNO
05/05/2015,UNICA,PROM,"0,9929","0,9929",16.032.791,16.045.791,8,8,NINGUNO
06/05/2015,UNICA,PROM,"0,9929","0,9929",16.032.791,16.045.795,8,8,NINNGUNO
07/05/2015,UNICA,PROM,"0,9928","0,9928",16.031.176,16.045.791,8,8,NINGUNO
08/05/2015,UNICA,PROM,"0,9928","0,9928",16.031.176,16.045.783,8,8,NINGUNO
09/05/2015,UNICA,PROM,"0,9928","0,9928",16.031.176,16.045.783,8,8,NINGUNO
10/05/2015,UNICA,PROM,"0,9928","0,9928",16.031.176,16.045.783,8,8,NINGUNO
11/05/2015,UNICA,PROM,"0,9927","0,9927",16.029.562,16.045.167,8,8,NINGUNO
12/05/2015,UNICA,PROM,"0,9927","0,9927",16.029.562,16.045.164,8,8,NINGUNO
13/05/2015,UNICA,PROM,"0,9926","0,9926",16.027.947,16.038.331,8,8,NINGUNO
14/05/2015,UNICA,PROM,"0,9924","0,9924",16.024.717,16.035.659,8,8,NINGUNO
15/05/2015,UNICA,PROM,"0,9924","0,9924",16.024.717,16.035.659,8,8,NINGUNO
16/05/2015,UNICA,PROM,"0,9924","0,9924",16.024.717,16.035.659,8,8,NINGUNO
17/05/2015,UNICA,PROM,"0,9924","0,9924",16.024.717,16.035.659,8,8,NINGUNO
18/05/2015,UNICA,PROM,"0,9924","0,9924",16.024.717,16.035.658,8,8,NINGUNO
19/05/2015,UNICA,PROM,"0,9923","0,9923",16.023.103,16.035.656,8,8,NINGUNO
20/05/2015,UNICA,PROM,"0,9923","0,9923",16.023.103,16.035.655,8,8,NINGUNO
21/05/2015,UNICA,PROM,"0,9923","0,9923",16.023.103,16.035.655,8,8,NINGUNO
22/05/2015,UNICA,PROM,"0,9923","0,9923",16.023.103,16.035.653,8,8,NINGUNO
23/05/2015,UNICA,PROM,"0,9923","0,9923",16.023.103,16.035.653,8,8,NINGUNO
24/05/2015,UNICA,PROM,"0,9923","0,9923",16.023.103,16.035.653,8,8,NINGUNO
25/05/2015,UNICA,PROM,"0,9922","0,9922",16.021.488,16.035.626,8,8,NINGUNO
26/05/2015,UNICA,PROM,"0,9923","0,9923",16.023.103,16.036.201,8,8,NINGUNO
27/05/2015,UNICA,PROM,"0,9922","0,9922",16.021.488,16.035.056,8,8,NINGUNO
