Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,PROM,"170,8569","170,8569",33.820.440,33.865.463,15,15,N/A
01/01/2015,UNICA,PROM,"113,0774","113,0774",54.018.770,54.058.681,21,10,N/A
02/01/2015,UNICA,PROM,"113,0770","113,0770",54.018.579,54.058.681,21,10,N/A
03/01/2015,UNICA,PROM,"113,0766","113,0766",54.018.388,54.058.681,21,10,N/A
04/01/2015,UNICA,PROM,"113,0762","113,0762",54.018.197,54.058.681,21,10,N/A
05/01/2015,UNICA,PROM,"113,0759","113,0759",54.018.054,54.058.681,21,10,N/A
06/01/2015,UNICA,PROM,"113,0755","113,0755",54.017.862,54.058.681,21,10,N/A
07/01/2015,UNICA,PROM,"113,0751","113,0751",54.017.671,54.058.681,21,10,N/A
08/01/2015,UNICA,PROM,"113,0747","113,0747",54.017.480,54.058.681,21,10,N/A
09/01/2015,UNICA,PROM,"113,0743","113,0743",54.017.289,54.058.681,21,10,N/A
10/01/2015,UNICA,PROM,"113,0739","113,0739",54.017.098,54.058.681,21,10,N/A
11/01/2015,UNICA,PROM,"113,0735","113,0735",54.016.907,54.058.681,21,10,N/A
12/01/2015,UNICA,PROM,"113,0731","113,0731",54.016.716,54.058.681,21,10,N/A
13/01/2015,UNICA,PROM,"113,0719","113,0719",54.016.143,54.058.681,21,10,N/A
14/01/2015,UNICA,PROM,"113,0715","113,0715",54.015.952,54.058.681,21,10,N/A
15/01/2015,UNICA,PROM,"113,0711","113,0711",54.015.761,54.052.880,21,10,N/A
16/01/2015,UNICA,PROM,"113,0707","113,0707",54.015.569,54.052.880,21,10,N/A
17/01/2015,UNICA,PROM,"113,0703","113,0703",54.015.378,54.052.880,21,10,N/A
18/01/2015,UNICA,PROM,"113,0700","113,0700",54.015.235,54.052.880,21,10,N/A
19/01/2015,UNICA,PROM,"113,0696","113,0696",54.015.044,54.052.880,21,10,N/A
20/01/2015,UNICA,PROM,"113,0692","113,0692",54.014.853,54.052.880,21,10,N/A
21/01/2015,UNICA,PROM,"113,0688","113,0688",54.014.662,54.052.880,21,10,N/A
22/01/2015,UNICA,PROM,"111,5029","111,5029",67.257.434,67.297.180,21,10,N/A
23/01/2015,UNICA,PROM,"111,5023","111,5023",67.257.072,67.297.180,21,10,N/A
24/01/2015,UNICA,PROM,"111,5020","111,5020",67.256.891,67.297.180,21,10,N/A
25/01/2015,UNICA,PROM,"111,5017","111,5017",67.256.710,67.297.180,21,10,N/A
26/01/2015,UNICA,PROM,"111,5014","111,5014",67.256.529,67.297.180,21,10,N/A
27/01/2015,UNICA,PROM,"111,5011","111,5011",67.256.349,67.297.180,21,10,N/A
28/01/2015,UNICA,PROM,"111,5007","111,5007",67.256.107,67.297.180,21,10,N/A
