Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,PROM,"0,7717","0,7717",9.838.529,9.881.223,14,9,EMAIL
01/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.881.837,14,9,EMAIL
02/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.882.441,14,9,EMAIL
03/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.883.055,14,9,EMAIL
04/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.883.669,14,9,EMAIL
05/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.884.246,14,9,EMAIL
06/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.884.832,14,9,EMAIL
07/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.885.448,14,9,EMAIL
08/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.886.066,14,9,EMAIL
09/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.886.679,14,9,EMAIL
10/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.887.293,14,9,EMAIL
11/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.887.907,14,9,EMAIL
12/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.888.517,14,9,EMAIL
13/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.870.090,14,9,EMAIL
14/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.870.691,14,9,EMAIL
15/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.871.308,14,9,EMAIL
16/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.871.917,14,9,EMAIL
17/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.872.531,14,9,EMAIL
18/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.873.145,14,9,EMAIL
19/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.873.756,14,9,EMAIL
20/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.874.381,14,9,EMAIL
21/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.872.635,14,9,EMAIL
22/01/2015,UNICA,PROM,"0,7717","0,7717",9.838.529,9.873.260,14,9,EMAIL
23/01/2015,UNICA,PROM,"0,7716","0,7716",9.837.254,9.872.582,14,9,E-MAIL
24/01/2015,UNICA,PROM,"0,7716","0,7716",9.837.254,9.873.196,14,9,E-MAIL
25/01/2015,UNICA,PROM,"0,7716","0,7716",9.837.254,9.873.810,14,9,E-MAIL
26/01/2015,UNICA,PROM,"0,7716","0,7716",9.837.254,9.874.427,14,9,E-MAIL
27/01/2015,UNICA,PROM,"0,7716","0,7716",12.138.971,12.176.763,14,9,E-MAIL
28/01/2015,UNICA,PROM,"0,7716","0,7716",12.138.971,12.177.380,14,9,E-MAIL
29/01/2015,UNICA,PROM,"0,7716","0,7716",12.138.971,12.177.985,14,9,E-MAIL
30/01/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.178.231,14,9,EMAIL
31/01/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.178.785,14,9,EMAIL
01/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.179.465,14,9,EMAIL
02/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.180.145,14,9,EMAIL
03/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.180.835,14,9,EMAIL
04/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.181.515,14,9,EMAIL
05/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.182.139,14,9,EMAIL
06/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.163.782,14,9,EMAIL
07/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.164.462,14,9,EMAIL
08/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.165.142,14,9,EMAIL
09/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.165.818,14,9,EMAIL
10/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.166.497,14,9,EMAIL
11/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.167.174,14,9,EMAIL
12/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.167.857,14,9,EMAIL
13/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.168.549,14,9,EMAIL
14/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.169.229,14,9,EMAIL
15/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.169.909,14,9,EMAIL
16/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.170.590,14,9,EMAIL
17/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.171.270,14,9,EMAIL
18/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.171.920,14,9,EMAIL
19/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.172.600,14,9,EMAIL
20/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.173.286,14,9,EMAIL
21/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.173.966,14,9,EMAIL
22/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.174.646,14,9,EMAIL
23/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.175.319,14,9,EMAIL
24/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.175.526,14,9,EMAIL
25/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.176.210,14,9,EMAIL
26/02/2015,UNICA,PROM,"0,7714","0,7714",12.135.824,12.176.892,14,9,EMAIL
27/02/2015,UNICA,PROM,"0,7712","0,7712",12.132.678,12.177.571,14,9,EMAIL
28/02/2015,UNICA,PROM,"0,7712","0,7712",12.132.678,12.178.221,14,9,EMAIL
01/03/2015,UNICA,PROM,"0,7712","0,7712",12.132.678,12.178.835,14,9,EMAIL
02/03/2015,UNICA,PROM,"0,7712","0,7712",12.132.678,12.179.451,14,9,EMAIL
03/03/2015,UNICA,PROM,"0,7712","0,7712",12.132.678,12.180.065,14,9,EMAIL
04/03/2015,UNICA,PROM,"0,7712","0,7712",12.132.678,12.180.678,14,9,EMAIL
05/03/2015,UNICA,PROM,"0,7712","0,7712",12.132.678,12.181.292,14,9,EMAIL
06/03/2015,UNICA,PROM,"0,7712","0,7712",12.132.678,12.181.902,14,9,EMAIL
07/03/2015,UNICA,PROM,"0,7712","0,7712",12.132.678,12.182.516,14,9,EMAIL
08/03/2015,UNICA,PROM,"0,7712","0,7712",12.132.678,12.183.131,14,9,EMAIL
09/03/2015,UNICA,PROM,"0,7712","0,7712",12.132.678,12.183.742,14,9,EMAIL
10/03/2015,UNICA,PROM,"0,7712","0,7712",13.023.804,13.075.456,14,9,EMAIL
11/03/2015,UNICA,PROM,"0,7712","0,7712",13.023.804,13.075.830,14,9,EMAIL
12/03/2015,UNICA,PROM,"0,7712","0,7712",13.023.804,13.076.296,14,9,EMAIL
13/03/2015,UNICA,PROM,"0,7712","0,7712",13.023.804,13.076.910,14,9,EMAIL
14/03/2015,UNICA,PROM,"0,7712","0,7712",13.023.804,13.077.524,14,9,EMAIL
15/03/2015,UNICA,PROM,"0,7712","0,7712",13.023.804,13.078.138,14,9,EMAIL
16/03/2015,UNICA,PROM,"0,7712","0,7712",13.023.804,13.078.723,14,9,EMAIL
17/03/2015,UNICA,PROM,"0,7712","0,7712",13.023.804,13.079.337,14,9,EMAIL
18/03/2015,UNICA,PROM,"0,7712","0,7712",13.023.804,13.079.951,14,9,EMAIL
19/03/2015,UNICA,PROM,"0,7712","0,7712",13.023.804,13.080.554,14,9,EMAIL
20/03/2015,UNICA,PROM,"0,7712","0,7712",14.639.710,14.697.080,14,9,EMAIL
21/03/2015,UNICA,PROM,"0,7712","0,7712",14.639.710,14.697.695,14,9,EMAIL
22/03/2015,UNICA,PROM,"0,7712","0,7712",14.639.710,14.698.309,14,9,EMAIL
23/03/2015,UNICA,PROM,"0,7712","0,7712",14.639.710,14.698.878,14,9,EMAIL
24/03/2015,UNICA,PROM,"0,7712","0,7712",14.639.710,14.699.498,14,9,EMAIL
