Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,EUR,"0,4298","0,0000",5.872.379,5.910.216,11,8,WWW.NEVASAHMCAGF.CL
01/01/2015,UNICA,EUR,"0,4297","0,0000",5.871.299,5.910.216,11,8,WWW.NEVASAHMCAGF.CL
02/01/2015,UNICA,EUR,"0,4297","0,0000",5.871.299,5.910.106,11,8,WWW.NEVASAHMCAGF.CL
03/01/2015,UNICA,EUR,"0,4297","0,0000",5.870.941,5.910.106,11,8,WWW.NEVASAHMCAGF.CL
04/01/2015,UNICA,EUR,"0,4297","0,0000",5.870.462,5.910.106,11,8,WWW.NEVASAHMCAGF.CL
05/01/2015,UNICA,EUR,"0,4296","0,0000",5.869.983,5.876.626,11,8,WWW.NEVASAHMCAGF.CL
06/01/2015,UNICA,EUR,"0,4296","0,0000",5.869.503,5.869.503,11,8,WWW.NEVASAHMCAGF.CL
07/01/2015,UNICA,EUR,"0,4296","0,0000",5.869.024,5.872.476,11,8,WWW.NEVASAHMCAGF.CL
08/01/2015,UNICA,EUR,"0,4295","0,0000",5.868.545,5.872.476,11,8,WWW.NEVASAHMCAGF.CL
09/01/2015,UNICA,EUR,"0,4295","0,0000",5.868.066,5.872.476,11,8,WWW.NEVASAHMCAGF.CL
10/01/2015,UNICA,EUR,"0,4295","0,0000",5.867.586,5.872.476,11,8,WWW.NEVASAHMCAGF.CL
11/01/2015,UNICA,EUR,"0,4294","0,0000",5.867.107,5.872.476,11,8,WWW.NEVASAHMCAGF.CL
12/01/2015,UNICA,EUR,"0,4294","0,0000",5.866.628,5.872.476,11,8,WWW.NEVASAHMCAGF.CL
13/01/2015,UNICA,EUR,"0,4294","0,0000",5.866.149,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
14/01/2015,UNICA,EUR,"0,4293","0,0000",5.865.669,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
15/01/2015,UNICA,EUR,"0,4293","0,0000",5.865.190,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
16/01/2015,UNICA,EUR,"0,4293","0,0000",5.864.711,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
17/01/2015,UNICA,EUR,"0,4292","0,0000",5.864.231,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
18/01/2015,UNICA,EUR,"0,4292","0,0000",5.863.752,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
19/01/2015,UNICA,EUR,"0,4292","0,0000",5.863.273,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
20/01/2015,UNICA,EUR,"0,4291","0,0000",5.862.794,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
21/01/2015,UNICA,EUR,"0,4291","0,0000",5.862.314,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
22/01/2015,UNICA,EUR,"0,4290","0,0000",5.861.835,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
23/01/2015,UNICA,EUR,"0,4290","0,0000",5.861.356,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
24/01/2015,UNICA,EUR,"0,4290","0,0000",5.860.876,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
25/01/2015,UNICA,EUR,"0,4289","0,0000",5.860.397,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
26/01/2015,UNICA,EUR,"0,4289","0,0000",5.859.918,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
27/01/2015,UNICA,EUR,"0,4289","0,0000",5.859.439,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
28/01/2015,UNICA,EUR,"0,4288","0,0000",5.858.959,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
29/01/2015,UNICA,EUR,"0,4288","0,0000",5.858.480,5.872.379,11,8,WWW.NEVASAHMCAGF.CL
