Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
06/01/2015,UNICA,PROM,"1,0000","1,0000",10.988.220,10.988.220,31,11,E-MAIL
07/01/2015,UNICA,PROM,"1,0000","1,0000",11.929.980,11.929.980,36,11,E-MAIL
08/01/2015,UNICA,PROM,"0,9999","0,9999",11.928.787,11.929.980,36,11,E-MAIL
09/01/2015,UNICA,PROM,"0,9999","0,9999",11.928.787,11.929.980,36,11,E-MAIL
10/01/2015,UNICA,PROM,"0,9999","0,9999",11.928.787,11.929.980,36,11,E-MAIL
11/01/2015,UNICA,PROM,"0,9999","0,9999",11.928.787,11.929.980,36,11,E-MAIL
12/01/2015,UNICA,PROM,"0,9998","0,9998",11.927.594,11.929.980,36,11,E-MAIL
13/01/2015,UNICA,PROM,"0,9998","0,9998",11.927.594,11.929.980,36,11,E-MAIL
14/01/2015,UNICA,PROM,"0,9998","0,9998",11.927.594,11.929.980,36,11,E-MAIL
15/01/2015,UNICA,PROM,"0,9998","0,9998",11.927.594,11.929.980,36,11,E-MAIL
16/01/2015,UNICA,PROM,"0,9998","0,9998",11.927.594,11.929.980,36,11,E-MAIL
17/01/2015,UNICA,PROM,"0,9997","0,9997",11.926.401,11.929.980,36,11,E-MAIL
18/01/2015,UNICA,PROM,"0,9997","0,9997",11.926.401,11.929.980,36,11,E-MAIL
19/01/2015,UNICA,PROM,"1,2184","1,2184",14.535.488,14.539.503,36,11,E-MAIL
20/01/2015,UNICA,PROM,"1,2184","1,2184",14.535.488,14.539.503,36,11,E-MAIL
21/01/2015,UNICA,PROM,"1,2184","1,2184",14.535.488,14.539.503,36,11,E-MAIL
22/01/2015,UNICA,PROM,"1,2184","1,2184",14.535.488,14.539.503,36,11,E-MAIL
23/01/2015,UNICA,PROM,"1,2183","1,2183",14.534.295,14.539.503,36,11,E-MAIL
24/01/2015,UNICA,PROM,"1,2183","1,2183",14.534.295,14.539.503,36,11,E-MAIL
25/01/2015,UNICA,PROM,"1,2183","1,2183",14.534.295,14.539.503,36,11,E-MAIL
26/01/2015,UNICA,PROM,"1,2183","1,2183",14.534.295,14.539.503,36,11,E-MAIL
27/01/2015,UNICA,PROM,"1,2182","1,2182",14.533.102,14.539.503,36,11,E-MAIL
28/01/2015,UNICA,PROM,"1,2182","1,2182",14.533.102,14.539.503,36,11,E-MAIL
29/01/2015,UNICA,PROM,"1,2182","1,2182",14.533.102,14.539.473,36,11,E-MAIL
30/01/2015,UNICA,PROM,"1,2182","1,2182",14.533.102,14.539.473,36,11,E-MAIL
31/01/2015,UNICA,PROM,"1,2181","1,2181",14.531.909,14.539.473,36,11,E-MAIL
01/02/2015,UNICA,PROM,"1,2181","1,2181",14.531.909,14.539.473,36,11,E-MAIL
02/02/2015,UNICA,PROM,"1,2181","1,2181",14.531.909,14.539.473,36,11,E-MAIL
03/02/2015,UNICA,PROM,"1,2181","1,2181",14.531.909,14.539.473,36,11,E-MAIL
04/02/2015,UNICA,PROM,"1,2180","1,2180",14.530.716,14.539.473,36,11,E-MAIL
05/02/2015,UNICA,PROM,"1,2180","1,2180",14.530.716,14.539.473,36,11,E-MAIL
06/02/2015,UNICA,PROM,"1,2180","1,2180",14.530.716,14.539.473,36,11,E-MAIL
07/02/2015,UNICA,PROM,"1,2180","1,2180",14.530.716,14.539.473,36,11,E-MAIL
08/02/2015,UNICA,PROM,"1,2179","1,2179",14.529.523,14.539.473,36,11,E-MAIL
09/02/2015,UNICA,PROM,"1,2179","1,2179",14.529.523,14.532.420,36,11,E-MAIL
10/02/2015,UNICA,PROM,"1,2179","1,2179",14.529.523,14.532.420,36,11,E-MAIL
11/02/2015,UNICA,PROM,"1,2179","1,2179",14.529.523,14.532.420,36,11,E-MAIL
12/02/2015,UNICA,PROM,"1,2178","1,2178",14.528.330,14.532.420,36,11,E-MAIL
13/02/2015,UNICA,PROM,"1,2178","1,2178",14.528.330,14.532.420,36,11,E-MAIL
14/02/2015,UNICA,PROM,"1,2178","1,2178",14.528.330,14.532.420,36,11,E-MAIL
15/02/2015,UNICA,PROM,"1,2178","1,2178",14.528.330,14.532.420,36,11,E-MAIL
16/02/2015,UNICA,PROM,"1,2177","1,2177",14.527.137,14.532.420,36,11,E-MAIL
17/02/2015,UNICA,PROM,"1,2177","1,2177",14.527.137,14.532.420,36,11,E-MAIL
18/02/2015,UNICA,PROM,"1,2177","1,2177",14.527.137,14.532.420,36,11,E-MAIL
19/02/2015,UNICA,PROM,"1,2175","1,2175",14.524.751,14.530.778,36,11,E-MAIL
20/02/2015,UNICA,PROM,"1,2175","1,2175",14.524.751,14.530.738,36,11,E-MAIL
21/02/2015,UNICA,PROM,"1,2175","1,2175",14.524.751,14.530.738,36,11,E-MAIL
22/02/2015,UNICA,PROM,"1,2174","1,2174",14.523.558,14.530.738,36,11,E-MAIL
