Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,PROM,"0,9990","0,9990",40.487.824,40.526.137,19,9,EMAIL
01/01/2015,UNICA,PROM,"0,9990","0,9990",40.487.824,40.526.751,19,9,EMAIL
02/01/2015,UNICA,PROM,"0,9990","0,9990",40.487.824,40.527.353,19,9,EMAIL
03/01/2015,UNICA,PROM,"0,9990","0,9990",40.487.824,40.527.967,19,9,EMAIL
04/01/2015,UNICA,PROM,"0,9990","0,9990",40.487.824,40.528.582,19,9,EMAIL
05/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.423.446,19,9,EMAIL
06/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.424.062,19,9,EMAIL
07/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.424.528,19,9,EMAIL
08/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.425.114,19,9,EMAIL
09/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.425.728,19,9,EMAIL
10/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.426.342,19,9,EMAIL
11/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.426.956,19,9,EMAIL
12/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.427.568,19,9,EMAIL
13/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.428.181,19,9,EMAIL
14/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.428.785,19,9,EMAIL
15/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.429.402,19,9,EMAIL
16/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.429.982,19,9,EMAIL
17/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.430.596,19,9,EMAIL
18/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.431.211,19,9,EMAIL
19/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.412.780,19,9,EMAIL
20/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.413.407,19,9,EMAIL
21/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.411.661,19,9,EMAIL
22/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.412.285,19,9,EMAIL
23/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.412.007,19,9,E-MAIL
24/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.412.621,19,9,E-MAIL
25/01/2015,UNICA,PROM,"0,9990","0,9990",42.382.410,42.413.235,19,9,E-MAIL
