Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
29/05/2015,UNICA,PROM,"1,0000","1,0000",5.979.984,5.979.984,28,13,E-MAIL
30/05/2015,UNICA,PROM,"0,9999","0,9999",5.979.386,5.979.984,28,13,E-MAIL
31/05/2015,UNICA,PROM,"0,9999","0,9999",5.979.386,5.979.984,28,13,E-MAIL
01/06/2015,UNICA,PROM,"0,9999","0,9999",5.979.386,5.979.984,28,13,E-MAIL
02/06/2015,UNICA,PROM,"0,9998","0,9998",5.978.788,5.980.546,28,13,E-MAIL
03/06/2015,UNICA,PROM,"0,9998","0,9998",5.978.788,5.980.546,28,13,E-MAIL
04/06/2015,UNICA,PROM,"0,9998","0,9998",5.978.788,5.980.546,28,13,E-MAIL
05/06/2015,UNICA,PROM,"0,9997","0,9997",5.978.190,5.980.546,28,13,E-MAIL
06/06/2015,UNICA,PROM,"0,9997","0,9997",5.978.190,5.979.392,28,13,E-MAIL
07/06/2015,UNICA,PROM,"0,9997","0,9997",5.978.190,5.979.392,28,13,E-MAIL
08/06/2015,UNICA,PROM,"0,9996","0,9996",5.977.592,5.979.392,28,13,E-MAIL
09/06/2015,UNICA,PROM,"0,9996","0,9996",5.977.592,5.979.392,28,13,E-MAIL
10/06/2015,UNICA,PROM,"0,9996","0,9996",5.977.592,5.979.392,28,13,E-MAIL
11/06/2015,UNICA,PROM,"0,9995","0,9995",5.976.994,5.979.392,28,13,E-MAIL
12/06/2015,UNICA,PROM,"0,9995","0,9995",5.976.994,5.979.392,28,13,E-MAIL
13/06/2015,UNICA,PROM,"0,9995","0,9995",5.976.994,5.979.392,28,13,E-MAIL
14/06/2015,UNICA,PROM,"0,9994","0,9994",5.976.396,5.979.392,28,13,E-MAIL
15/06/2015,UNICA,PROM,"0,9993","0,9993",5.975.798,5.978.477,28,13,E-MAIL
16/06/2015,UNICA,PROM,"0,9996","0,9996",5.977.592,5.980.679,28,13,E-MAIL
17/06/2015,UNICA,PROM,"0,9992","0,9992",5.975.200,5.978.454,28,13,E-MAIL
18/06/2015,UNICA,PROM,"0,9992","0,9992",5.975.200,5.978.454,28,13,E-MAIL
19/06/2015,UNICA,PROM,"0,9991","0,9991",5.974.602,5.978.454,28,13,E-MAIL
20/06/2015,UNICA,PROM,"0,9991","0,9991",5.974.602,5.978.454,28,13,E-MAIL
21/06/2015,UNICA,PROM,"0,9991","0,9991",5.974.602,5.978.454,28,13,E-MAIL
22/06/2015,UNICA,PROM,"0,9990","0,9990",5.974.004,5.978.454,28,13,E-MAIL
23/06/2015,UNICA,PROM,"0,9990","0,9990",5.974.004,5.978.454,28,13,E-MAIL
24/06/2015,UNICA,PROM,"0,9990","0,9990",5.974.004,5.978.454,28,13,E-MAIL
25/06/2015,UNICA,PROM,"0,9904","0,9904",8.394.102,8.399.183,28,13,E-MAIL
26/06/2015,UNICA,PROM,"0,9904","0,9904",8.394.102,8.399.183,28,13,E-MAIL
27/06/2015,UNICA,PROM,"0,9904","0,9904",8.394.102,8.399.183,28,13,E-MAIL
28/06/2015,UNICA,PROM,"0,9904","0,9904",8.394.102,8.399.183,28,13,E-MAIL
29/06/2015,UNICA,PROM,"0,9903","0,9903",8.393.254,8.399.183,28,13,E-MAIL
30/06/2015,UNICA,PROM,"0,9896","0,9896",8.387.321,8.399.183,28,13,E-MAIL
01/07/2015,UNICA,PROM,"0,9896","0,9896",8.387.321,8.399.183,28,13,E-MAIL
02/07/2015,UNICA,PROM,"0,9896","0,9896",8.387.321,8.399.183,28,13,E-MAIL
03/07/2015,UNICA,PROM,"0,9896","0,9896",8.387.321,8.399.190,28,13,E-MAIL
04/07/2015,UNICA,PROM,"0,9896","0,9896",8.387.321,8.399.190,28,13,E-MAIL
