Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
20/03/2015,C,PROM,"10,0000","0,0000",250.640,13.570.262,3,0,WWW.NEVASAHMCAGF.CL
20/03/2015,I,PROM,"1,0000","0,0000",13.319.622,13.570.262,13,8,WWW.NEVASAHMCAGF.CL
21/03/2015,C,PROM,"10,0000","0,0000",250.640,13.570.262,3,0,WWW.NEVASAHMCAGF.CL
21/03/2015,I,PROM,"1,0000","0,0000",13.319.622,13.570.262,13,8,WWW.NEVASAHMCAGF.CL
22/03/2015,C,PROM,"10,0000","0,0000",250.640,13.570.262,3,0,WWW.NEVASAHMCAGF.CL
22/03/2015,I,PROM,"1,0000","0,0000",13.319.622,13.570.262,13,8,WWW.NEVASAHMCAGF.CL
23/03/2015,C,PROM,"10,0000","0,0000",250.640,13.570.262,3,0,WWW.NEVASAHMCAGF.CL
23/03/2015,I,PROM,"1,0000","0,0000",13.319.622,13.570.262,13,8,WWW.NEVASAHMCAGF.CL
24/03/2015,C,PROM,"10,0000","0,0000",250.640,13.570.262,3,0,WWW.NEVASAHMCAGF.CL
24/03/2015,I,PROM,"1,0000","0,0000",13.319.622,13.570.262,13,8,WWW.NEVASAHMCAGF.CL
25/03/2015,C,PROM,"10,0000","0,0000",250.640,13.570.262,3,0,WWW.NEVASAHMCAGF.CL
25/03/2015,I,PROM,"1,0000","0,0000",13.319.622,13.570.262,13,8,WWW.NEVASAHMCAGF.CL
26/03/2015,C,PROM,"10,0000","0,0000",250.640,13.570.262,4,0,WWW.NEVASAHMCAGF.CL
26/03/2015,I,PROM,"1,0000","0,0000",13.319.622,13.570.262,13,8,WWW.NEVASAHMCAGF.CL
27/03/2015,C,PROM,"10,0000","0,0000",250.640,13.570.262,4,0,WWW.NEVASAHMCAGF.CL
27/03/2015,I,PROM,"1,0000","0,0000",13.319.622,13.570.262,13,8,WWW.NEVASAHMCAGF.CL
