Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
15/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
16/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
17/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
18/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
19/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
20/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
21/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
22/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
23/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
24/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
25/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
26/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
27/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
28/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
29/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
30/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
31/05/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
01/06/2015,UNICA,EUR,"99,9999","99,9999",20.815.779,20.815.779,21,16,EMAIL
02/06/2015,UNICA,EUR,"99,9999","99,9999",20.815.779,20.815.779,21,16,EMAIL
03/06/2015,UNICA,EUR,"100,0000","100,0000",20.815.800,20.815.800,21,16,EMAIL
04/06/2015,UNICA,EUR,"97,9225","97,9225",20.383.352,20.383.352,21,16,EMAIL
05/06/2015,UNICA,EUR,"97,9225","97,9225",20.383.352,20.383.352,21,16,EMAIL
06/06/2015,UNICA,EUR,"97,9225","97,9225",20.383.352,20.383.352,21,16,EMAIL
07/06/2015,UNICA,EUR,"97,9225","97,9225",20.383.352,20.383.352,21,16,EMAIL
08/06/2015,UNICA,EUR,"97,9225","97,9225",20.383.352,20.383.352,21,16,EMAIL
09/06/2015,UNICA,EUR,"97,9225","97,9225",20.383.352,20.383.352,21,16,EMAIL
10/06/2015,UNICA,EUR,"97,9213","97,9213",20.383.102,20.383.098,21,16,EMAIL
11/06/2015,UNICA,EUR,"97,9213","97,9213",20.383.102,20.383.102,21,16,EMAIL
12/06/2015,UNICA,EUR,"97,9213","97,9213",20.383.102,20.383.102,21,16,EMAIL
13/06/2015,UNICA,EUR,"97,9213","97,9213",20.383.102,20.383.102,21,16,EMAIL
14/06/2015,UNICA,EUR,"97,9213","97,9213",20.383.102,20.383.102,21,16,EMAIL
15/06/2015,UNICA,EUR,"97,9213","97,9213",20.383.102,20.383.102,21,16,EMAIL
16/06/2015,UNICA,EUR,"97,9213","97,9213",20.383.102,20.383.102,21,16,EMAIL
17/06/2015,UNICA,EUR,"97,9213","97,9213",20.383.102,20.383.102,21,16,EMAIL
18/06/2015,UNICA,EUR,"97,9213","97,9213",20.383.102,20.383.102,21,16,EMAIL
19/06/2015,UNICA,EUR,"97,9157","97,9157",20.381.936,20.381.936,21,16,EMAIL
20/06/2015,UNICA,EUR,"97,9157","97,9157",20.381.936,20.381.936,21,16,EMAIL
21/06/2015,UNICA,EUR,"97,9157","97,9157",20.381.936,20.381.936,21,16,EMAIL
22/06/2015,UNICA,EUR,"97,9157","97,9157",20.381.936,20.381.936,21,16,EMAIL
23/06/2015,UNICA,EUR,"97,9158","97,9158",20.381.957,20.381.957,21,16,EMAIL
24/06/2015,UNICA,EUR,"97,9158","97,9158",20.381.957,20.381.957,21,16,EMAIL
25/06/2015,UNICA,EUR,"97,9158","97,9158",20.381.957,20.381.957,21,16,EMAIL
26/06/2015,UNICA,EUR,"97,9158","97,9158",21.256.149,21.256.149,21,16,EMAIL
27/06/2015,UNICA,EUR,"97,9158","97,9158",21.256.149,21.256.149,21,16,EMAIL
28/06/2015,UNICA,EUR,"97,9158","97,9158",21.256.149,21.256.149,21,16,EMAIL
29/06/2015,UNICA,EUR,"97,9157","97,9157",21.256.128,21.256.128,21,16,EMAIL
30/06/2015,UNICA,EUR,"97,8425","97,8425",21.240.237,21.240.237,18,16,EMAIL
01/07/2015,UNICA,EUR,"97,8424","97,8424",21.240.215,21.240.215,18,16,EMAIL
02/07/2015,UNICA,EUR,"97,8424","97,8424",21.240.215,21.240.215,18,16,EMAIL
03/07/2015,UNICA,EUR,"97,8424","97,8424",21.240.215,21.240.215,18,16,EMAIL
04/07/2015,UNICA,EUR,"97,8424","97,8424",21.240.215,21.240.215,18,16,EMAIL
05/07/2015,UNICA,EUR,"97,8424","97,8424",21.240.215,21.240.215,18,16,EMAIL
06/07/2015,UNICA,EUR,"97,8425","97,8425",21.240.237,21.240.237,18,16,EMAIL
07/07/2015,UNICA,EUR,"97,8425","97,8425",21.240.237,21.240.237,18,16,EMAIL
08/07/2015,UNICA,EUR,"97,8425","97,8425",21.240.237,21.240.237,18,16,EMAIL
09/07/2015,UNICA,EUR,"97,8425","97,8425",21.240.237,21.240.237,18,16,EMAIL
10/07/2015,UNICA,EUR,"97,8425","97,8425",21.240.237,21.240.237,18,16,EMAIL
11/07/2015,UNICA,EUR,"97,8425","97,8425",21.240.237,21.240.237,18,16,EMAIL
12/07/2015,UNICA,EUR,"97,8425","97,8425",21.240.237,21.240.237,18,16,EMAIL
13/07/2015,UNICA,EUR,"97,8424","97,8424",21.240.215,21.240.215,18,16,EMAIL
14/07/2015,UNICA,EUR,"97,8424","97,8424",21.240.215,21.240.215,18,16,EMAIL
15/07/2015,UNICA,EUR,"95,5431","95,5431",20.741.069,20.741.069,18,16,EMAIL
16/07/2015,UNICA,EUR,"95,5430","95,5430",20.741.048,20.741.048,18,16,EMAIL
17/07/2015,UNICA,EUR,"95,5430","95,5430",20.741.048,20.741.048,18,16,EMAIL
18/07/2015,UNICA,EUR,"95,5430","95,5430",20.741.048,20.741.048,18,16,EMAIL
19/07/2015,UNICA,EUR,"95,5430","95,5430",20.741.048,20.741.048,18,16,EMAIL
20/07/2015,UNICA,EUR,"95,5431","95,5431",20.741.069,20.741.069,18,16,EMAIL
21/07/2015,UNICA,EUR,"95,5431","95,5431",20.741.069,20.741.069,18,16,EMAIL
22/07/2015,UNICA,EUR,"95,5431","95,5431",20.741.069,20.741.069,18,16,EMAIL
23/07/2015,UNICA,EUR,"95,5432","95,5432",20.741.091,20.741.091,18,16,EMAIL
24/07/2015,UNICA,EUR,"95,5433","95,5433",20.741.113,20.741.113,18,16,EMAIL
25/07/2015,UNICA,EUR,"95,5433","95,5433",20.741.113,20.741.113,18,16,EMAIL
26/07/2015,UNICA,EUR,"95,5433","95,5433",20.741.113,20.741.113,18,16,EMAIL
27/07/2015,UNICA,EUR,"95,5434","95,5434",20.741.135,20.741.135,18,16,EMAIL
28/07/2015,UNICA,EUR,"95,5433","95,5433",20.741.113,20.741.113,18,16,EMAIL
29/07/2015,UNICA,EUR,"95,5433","95,5433",20.741.113,20.741.113,18,16,EMAIL
30/07/2015,UNICA,EUR,"95,5433","95,5433",20.741.113,20.741.113,18,16,EMAIL
31/07/2015,UNICA,EUR,"95,6039","95,6039",20.754.268,20.754.268,18,16,EMAIL
01/08/2015,UNICA,EUR,"95,6039","95,6039",20.754.268,20.754.268,18,16,EMAIL
02/08/2015,UNICA,EUR,"95,6039","95,6039",20.754.268,20.754.268,18,16,EMAIL
03/08/2015,UNICA,EUR,"95,6040","95,6040",20.754.290,20.754.290,18,16,EMAIL
04/08/2015,UNICA,EUR,"95,6039","95,6039",20.754.268,20.754.268,18,16,EMAIL
05/08/2015,UNICA,EUR,"95,6040","95,6040",20.754.290,20.754.290,18,16,EMAIL
06/08/2015,UNICA,EUR,"95,6040","95,6040",20.754.290,20.754.290,18,16,EMAIL
07/08/2015,UNICA,EUR,"95,6040","95,6040",20.754.290,20.754.290,18,16,EMAIL
08/08/2015,UNICA,EUR,"95,6040","95,6040",20.754.290,20.754.290,18,16,EMAIL
09/08/2015,UNICA,EUR,"95,6040","95,6040",20.754.290,20.754.290,18,16,EMAIL
10/08/2015,UNICA,EUR,"95,6040","95,6040",20.754.290,20.754.290,18,16,EMAIL
11/08/2015,UNICA,EUR,"95,6040","95,6040",20.754.290,20.754.312,18,16,EMAIL
12/08/2015,UNICA,EUR,"95,6041","95,6041",20.754.312,20.754.312,18,16,EMAIL
13/08/2015,UNICA,EUR,"95,6041","95,6041",20.754.312,20.754.312,18,16,EMAIL
14/08/2015,UNICA,EUR,"95,6041","95,6041",20.754.312,20.754.319,18,16,EMAIL
15/08/2015,UNICA,EUR,"95,6041","95,6041",20.754.312,20.754.312,18,16,EMAIL
16/08/2015,UNICA,EUR,"95,6041","95,6041",20.754.312,20.754.312,18,16,EMAIL
17/08/2015,UNICA,EUR,"95,6042","95,6042",20.754.333,20.754.333,18,16,EMAIL
