Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
02/03/2015,UNICA,PROM,"1,0000","1,0000",6.049.994,6.049.994,15,11,E-MAIL
03/03/2015,UNICA,PROM,"0,9999","0,9999",6.049.389,6.049.994,15,11,E-MAIL
04/03/2015,UNICA,PROM,"0,9999","0,9999",6.049.389,6.049.994,15,11,E-MAIL
05/03/2015,UNICA,PROM,"0,9999","0,9999",6.049.389,6.049.994,15,11,E-MAIL
06/03/2015,UNICA,PROM,"0,9998","0,9998",6.048.784,6.049.994,15,11,E-MAIL
07/03/2015,UNICA,PROM,"0,9998","0,9998",6.048.784,6.049.994,15,11,E-MAIL
08/03/2015,UNICA,PROM,"0,9998","0,9998",6.048.784,6.049.994,15,11,E-MAIL
09/03/2015,UNICA,PROM,"0,9997","0,9997",6.048.179,6.049.994,15,11,E-MAIL
10/03/2015,UNICA,PROM,"0,9997","0,9997",6.048.179,6.049.994,15,11,E-MAIL
11/03/2015,UNICA,PROM,"0,9997","0,9997",6.048.179,6.049.994,15,11,E-MAIL
12/03/2015,UNICA,PROM,"0,9997","0,9997",6.048.179,6.049.994,15,11,E-MAIL
13/03/2015,UNICA,PROM,"0,9996","0,9996",6.047.574,6.049.994,15,11,E-MAIL
14/03/2015,UNICA,PROM,"0,9996","0,9996",6.047.574,6.049.994,15,11,E-MAIL
15/03/2015,UNICA,PROM,"0,9996","0,9996",6.047.574,6.049.994,15,11,E-MAIL
16/03/2015,UNICA,PROM,"0,9995","0,9995",6.046.969,6.049.994,15,11,E-MAIL
17/03/2015,UNICA,PROM,"0,9995","0,9995",6.046.969,6.049.994,15,11,E-MAIL
18/03/2015,UNICA,PROM,"0,9995","0,9995",6.046.969,6.049.994,15,11,E-MAIL
19/03/2015,UNICA,PROM,"0,9994","0,9994",6.046.364,6.049.994,15,11,E-MAIL
20/03/2015,UNICA,PROM,"0,9994","0,9994",6.046.364,6.049.994,15,11,E-MAIL
21/03/2015,UNICA,PROM,"0,9994","0,9994",6.046.364,6.049.994,15,11,E-MAIL
22/03/2015,UNICA,PROM,"0,9993","0,9993",6.045.759,6.049.994,15,11,E-MAIL
23/03/2015,UNICA,PROM,"0,9993","0,9993",6.045.759,6.049.994,15,11,E-MAIL
24/03/2015,UNICA,PROM,"0,9993","0,9993",6.045.759,6.049.994,15,11,E-MAIL
25/03/2015,UNICA,PROM,"0,9992","0,9992",6.045.154,6.049.994,15,11,E-MAIL
26/03/2015,UNICA,PROM,"0,9992","0,9992",6.045.154,6.049.994,15,11,E-MAIL
27/03/2015,UNICA,PROM,"0,9992","0,9992",6.045.154,6.049.970,15,11,E-MAIL
28/03/2015,UNICA,PROM,"0,9991","0,9991",6.044.549,6.049.970,15,11,E-MAIL
29/03/2015,UNICA,PROM,"0,9991","0,9991",6.044.549,6.049.970,15,11,E-MAIL
30/03/2015,UNICA,PROM,"0,9991","0,9991",6.044.549,6.049.970,15,11,E-MAIL
31/03/2015,UNICA,PROM,"0,9990","0,9990",6.043.944,6.049.970,15,11,E-MAIL
01/04/2015,UNICA,PROM,"0,9990","0,9990",6.043.944,6.049.970,15,11,E-MAIL
02/04/2015,UNICA,PROM,"0,9990","0,9990",6.043.944,6.049.970,15,11,E-MAIL
03/04/2015,UNICA,PROM,"0,9989","0,9989",6.043.339,6.049.970,15,11,E-MAIL
04/04/2015,UNICA,PROM,"0,9989","0,9989",6.043.339,6.049.970,15,11,E-MAIL
05/04/2015,UNICA,PROM,"0,9989","0,9989",6.043.339,6.049.970,15,11,E-MAIL
06/04/2015,UNICA,PROM,"0,9988","0,9988",6.042.734,6.044.212,15,11,E-MAIL
07/04/2015,UNICA,PROM,"0,9988","0,9988",6.042.734,6.044.212,15,11,E-MAIL
08/04/2015,UNICA,PROM,"0,9988","0,9988",6.042.734,6.044.212,15,11,E-MAIL
09/04/2015,UNICA,PROM,"0,9987","0,9987",6.042.129,6.044.212,15,11,E-MAIL
10/04/2015,UNICA,PROM,"0,9987","0,9987",6.042.129,6.044.212,15,11,E-MAIL
11/04/2015,UNICA,PROM,"0,9987","0,9987",6.042.129,6.044.212,15,11,E-MAIL
12/04/2015,UNICA,PROM,"0,9987","0,9987",6.042.129,6.044.212,15,11,E-MAIL
13/04/2015,UNICA,PROM,"0,9986","0,9986",6.041.524,6.044.212,15,11,E-MAIL
14/04/2015,UNICA,PROM,"0,9986","0,9986",6.041.524,6.044.212,15,11,E-MAIL
15/04/2015,UNICA,PROM,"0,9986","0,9986",6.041.524,6.044.212,15,11,E-MAIL
16/04/2015,UNICA,PROM,"0,9985","0,9985",6.040.919,6.044.212,15,11,E-MAIL
17/04/2015,UNICA,PROM,"0,9985","0,9985",6.040.919,6.044.212,15,11,E-MAIL
18/04/2015,UNICA,PROM,"0,9985","0,9985",6.040.919,6.044.212,15,11,E-MAIL
