Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
13/07/2015,UNICA,PROM,"1,0000","1,0000",4.762.500,4.762.500,11,11,SA
14/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
15/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
16/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
17/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
18/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
19/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
20/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
21/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
22/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
23/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
24/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
25/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
26/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
27/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
28/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
29/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
30/07/2015,UNICA,PROM,"1,0000","1,0000",7.162.500,7.162.500,14,14,SA
31/07/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
01/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
02/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
03/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
04/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
05/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
06/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
07/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
08/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
09/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
10/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
11/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
12/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
13/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
14/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
15/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
16/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
17/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
18/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
19/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
20/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
21/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
22/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
23/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
24/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
25/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
26/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
27/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
28/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
29/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
30/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
31/08/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
01/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
02/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
03/09/2015,UNICA,PROM,"0,9999","0,9999",7.161.784,7.162.500,14,14,SA
04/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
05/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
06/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
07/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
08/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
09/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
10/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
11/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
12/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
13/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
14/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
15/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
16/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
17/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
18/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
19/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
20/09/2015,UNICA,PROM,"0,9997","0,9997",7.160.351,7.162.500,14,14,SA
21/09/2015,UNICA,PROM,"0,9996","0,9996",7.159.635,7.162.500,14,14,SA
22/09/2015,UNICA,PROM,"0,9996","0,9996",7.159.635,7.162.500,14,14,SA
23/09/2015,UNICA,PROM,"0,9996","0,9996",7.159.635,7.162.500,14,14,SA
24/09/2015,UNICA,PROM,"0,9996","0,9996",7.159.635,7.162.500,14,14,SA
25/09/2015,UNICA,PROM,"0,9996","0,9996",7.159.635,7.162.500,14,14,SA
26/09/2015,UNICA,PROM,"0,9996","0,9996",7.159.635,7.162.500,14,14,SA
27/09/2015,UNICA,PROM,"0,9996","0,9996",7.159.635,7.162.500,14,14,SA
28/09/2015,UNICA,PROM,"0,9996","0,9996",7.159.635,7.162.500,14,14,SA
29/09/2015,UNICA,PROM,"0,9996","0,9996",7.159.635,7.162.500,14,14,SA
30/09/2015,UNICA,PROM,"0,9996","0,9996",7.159.635,7.162.500,14,14,SA
01/10/2015,UNICA,PROM,"0,9996","0,9996",7.159.635,7.162.500,14,14,SA
02/10/2015,UNICA,PROM,"0,9996","0,9996",7.159.635,7.162.500,14,14,SA
03/10/2015,UNICA,PROM,"0,9996","0,9996",7.159.635,7.162.500,14,14,SA
04/10/2015,UNICA,PROM,"0,9996","0,9996",7.159.635,7.162.500,14,14,SA
05/10/2015,UNICA,PROM,"0,9996","0,9996",7.159.635,7.162.500,14,14,SA
06/10/2015,UNICA,PROM,"0,9996","0,9996",7.159.635,7.162.500,14,14,SA
07/10/2015,UNICA,PROM,"0,9995","0,9995",7.158.919,7.162.500,14,14,SA
08/10/2015,UNICA,PROM,"0,9995","0,9995",7.158.919,7.162.500,14,14,SA
09/10/2015,UNICA,PROM,"0,9995","0,9995",7.158.919,7.162.500,14,14,SA
10/10/2015,UNICA,PROM,"0,9995","0,9995",7.158.919,7.162.500,14,14,SA
11/10/2015,UNICA,PROM,"0,9995","0,9995",7.158.919,7.162.500,14,14,SA
12/10/2015,UNICA,PROM,"0,9995","0,9995",7.158.919,7.162.500,14,14,SA
13/10/2015,UNICA,PROM,"0,9995","0,9995",7.158.919,7.162.500,14,14,SA
14/10/2015,UNICA,PROM,"0,9995","0,9995",7.158.919,7.162.500,14,14,SA
15/10/2015,UNICA,PROM,"0,9995","0,9995",14.321.604,14.325.177,14,14,SA
16/10/2015,UNICA,PROM,"0,9995","0,9995",14.321.530,14.325.147,14,14,SA
17/10/2015,UNICA,PROM,"0,9995","0,9995",14.321.485,14.325.147,14,14,SA
18/10/2015,UNICA,PROM,"0,9995","0,9995",14.321.441,14.325.147,14,14,SA
19/10/2015,UNICA,PROM,"0,9995","0,9995",14.321.397,14.325.147,14,14,SA
20/10/2015,UNICA,PROM,"0,9995","0,9995",14.321.353,14.325.147,14,14,SA
21/10/2015,UNICA,PROM,"0,9995","0,9995",14.321.596,14.325.000,14,14,SA
22/10/2015,UNICA,PROM,"0,9995","0,9995",14.321.596,14.325.147,14,14,SA
23/10/2015,UNICA,PROM,"0,9995","0,9995",14.321.596,14.325.147,14,14,SA
24/10/2015,UNICA,PROM,"0,9995","0,9995",14.321.596,14.325.147,14,14,SA
25/10/2015,UNICA,PROM,"0,9995","0,9995",14.321.596,14.325.147,14,14,SA
26/10/2015,UNICA,PROM,"0,9995","0,9995",14.321.596,14.325.147,14,14,SA
27/10/2015,UNICA,PROM,"0,9995","0,9995",14.321.596,14.325.147,14,14,SA
28/10/2015,UNICA,PROM,"0,9995","0,9995",14.321.596,14.325.147,14,14,SA
29/10/2015,UNICA,PROM,"0,9995","0,9995",14.321.596,14.325.117,14,14,SA
30/10/2015,UNICA,PROM,"0,9995","0,9995",14.321.596,14.325.117,14,14,SA
31/10/2015,UNICA,PROM,"0,9994","0,9994",14.320.163,14.325.117,14,14,SA
01/11/2015,UNICA,PROM,"0,9994","0,9994",14.320.163,14.325.117,14,14,SA
02/11/2015,UNICA,PROM,"0,9994","0,9994",14.320.163,14.325.117,14,14,SA
03/11/2015,UNICA,PROM,"0,9994","0,9994",14.320.163,14.325.117,14,14,SA
04/11/2015,UNICA,PROM,"0,9994","0,9994",14.320.163,14.325.117,14,14,SA
05/11/2015,UNICA,PROM,"0,9994","0,9994",14.320.163,14.325.117,14,14,SA
06/11/2015,UNICA,PROM,"0,9994","0,9994",14.320.163,14.325.117,14,14,SA
07/11/2015,UNICA,PROM,"0,9994","0,9994",14.320.163,14.325.117,14,14,SA
08/11/2015,UNICA,PROM,"0,9994","0,9994",14.320.163,14.325.117,14,14,SA
09/11/2015,UNICA,PROM,"0,9994","0,9994",14.320.163,14.325.117,14,14,SA
10/11/2015,UNICA,PROM,"0,9994","0,9994",14.320.163,14.325.117,14,14,SA
11/11/2015,UNICA,PROM,"0,9994","0,9994",14.320.163,14.325.117,14,14,SA
12/11/2015,UNICA,PROM,"0,9723","0,9723",13.931.853,13.936.031,14,14,SA
13/11/2015,UNICA,PROM,"0,9723","0,9723",13.931.853,13.936.031,14,14,SA
14/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
15/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
16/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
17/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
18/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
19/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
20/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
21/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
22/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
23/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
24/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
25/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
26/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
27/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
28/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
29/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
30/11/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
01/12/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
02/12/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
03/12/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
04/12/2015,UNICA,PROM,"0,9722","0,9722",13.930.420,13.936.031,14,14,SA
