Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
12/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
13/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
14/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
15/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
16/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
17/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
18/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
19/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
20/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
21/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
22/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
23/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
24/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
25/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
26/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
27/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
28/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
29/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.700,16,3,WWW.LARRAINVIAL.COM
30/06/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.782,16,3,WWW.LARRAINVIAL.COM
01/07/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.782,16,3,WWW.LARRAINVIAL.COM
02/07/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.782,16,3,WWW.LARRAINVIAL.COM
03/07/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.782,16,3,WWW.LARRAINVIAL.COM
04/07/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.782,16,3,WWW.LARRAINVIAL.COM
05/07/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.782,16,3,WWW.LARRAINVIAL.COM
06/07/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.782,16,3,WWW.LARRAINVIAL.COM
07/07/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.782,16,3,WWW.LARRAINVIAL.COM
08/07/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.782,16,3,WWW.LARRAINVIAL.COM
09/07/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.782,16,3,WWW.LARRAINVIAL.COM
10/07/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.782,16,3,WWW.LARRAINVIAL.COM
11/07/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.782,16,3,WWW.LARRAINVIAL.COM
12/07/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.782,16,3,WWW.LARRAINVIAL.COM
13/07/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.782,16,3,WWW.LARRAINVIAL.COM
14/07/2015,UNICA,EUR,"1,0000","0,0000",3.059.700,3.059.782,16,3,WWW.LARRAINVIAL.COM
15/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.924,3.279.924,16,3,WWW.LARRAINVIAL.COM
16/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.924,3.279.924,16,3,WWW.LARRAINVIAL.COM
17/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.924,3.279.924,16,3,WWW.LARRAINVIAL.COM
18/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.924,3.279.924,16,3,WWW.LARRAINVIAL.COM
19/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.924,3.279.924,16,3,WWW.LARRAINVIAL.COM
20/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.924,3.279.924,16,3,WWW.LARRAINVIAL.COM
21/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.924,3.279.924,16,3,WWW.LARRAINVIAL.COM
22/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.920,3.279.920,16,3,WWW.LARRAINVIAL.COM
23/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.918,3.279.918,16,3,WWW.LARRAINVIAL.COM
24/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.916,3.279.916,16,3,WWW.LARRAINVIAL.COM
25/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.916,3.279.916,16,3,WWW.LARRAINVIAL.COM
26/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.916,3.279.916,16,3,WWW.LARRAINVIAL.COM
27/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.916,3.279.916,16,3,WWW.LARRAINVIAL.COM
28/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.912,3.279.912,16,3,WWW.LARRAINVIAL.COM
29/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.912,3.279.912,16,3,WWW.LARRAINVIAL.COM
30/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.913,3.279.913,16,3,WWW.LARRAINVIAL.COM
31/07/2015,UNICA,EUR,"1,0720","0,0000",3.279.913,3.279.913,16,3,WWW.LARRAINVIAL.COM
01/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.913,3.279.913,16,3,WWW.LARRAINVIAL.COM
02/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.913,3.279.913,16,3,WWW.LARRAINVIAL.COM
03/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.913,3.279.913,16,3,WWW.LARRAINVIAL.COM
04/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.859,3.279.909,16,3,WWW.LARRAINVIAL.COM
05/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.857,3.279.908,16,3,WWW.LARRAINVIAL.COM
06/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.857,3.279.908,16,3,WWW.LARRAINVIAL.COM
07/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.857,3.279.908,16,3,WWW.LARRAINVIAL.COM
08/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.857,3.279.908,16,3,WWW.LARRAINVIAL.COM
09/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.857,3.279.908,16,3,WWW.LARRAINVIAL.COM
10/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.856,3.279.907,16,3,WWW.LARRAINVIAL.COM
11/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.854,3.279.905,16,3,WWW.LARRAINVIAL.COM
12/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.850,3.279.901,16,3,WWW.LARRAINVIAL.COM
13/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.850,3.279.900,16,3,WWW.LARRAINVIAL.COM
14/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.850,3.279.901,16,3,WWW.LARRAINVIAL.COM
15/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.850,3.279.901,16,3,WWW.LARRAINVIAL.COM
16/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.850,3.279.901,16,3,WWW.LARRAINVIAL.COM
17/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.850,3.279.850,16,3,WWW.LARRAINVIAL.COM
18/08/2015,UNICA,EUR,"1,0720","0,0000",3.279.848,3.279.848,16,3,WWW.LARRAINVIAL.COM
