Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
12/05/2015,UNICA,PROM,"0,9999","0,9999",283.411.656,566.753.418,21,20,E-MAIL
13/05/2015,UNICA,PROM,"1,0002","1,0002",283.496.688,566.842.435,21,20,E-MAIL
14/05/2015,UNICA,PROM,"1,0108","1,0108",286.501.152,569.828.747,21,20,E-MAIL
15/05/2015,UNICA,PROM,"1,0118","1,0118",286.784.592,286.793.175,21,20,E-MAIL
16/05/2015,UNICA,PROM,"1,0118","1,0118",286.784.592,286.793.175,21,20,E-MAIL
17/05/2015,UNICA,PROM,"1,0118","1,0118",286.784.592,286.793.175,21,20,E-MAIL
18/05/2015,UNICA,PROM,"1,0149","1,0149",287.663.256,287.663.256,21,20,E-MAIL
19/05/2015,UNICA,PROM,"1,0145","1,0145",287.549.880,287.563.156,21,20,E-MAIL
20/05/2015,UNICA,PROM,"1,0145","1,0145",287.549.880,287.563.156,21,20,E-MAIL
21/05/2015,UNICA,PROM,"1,0145","1,0145",287.549.880,287.563.156,21,20,E-MAIL
22/05/2015,UNICA,PROM,"1,0145","1,0145",287.549.880,287.549.880,21,20,E-MAIL
23/05/2015,UNICA,PROM,"1,0145","1,0145",287.549.880,287.549.880,21,20,E-MAIL
24/05/2015,UNICA,PROM,"1,0145","1,0145",287.549.880,287.549.880,21,20,E-MAIL
25/05/2015,UNICA,PROM,"1,0145","1,0145",287.549.880,287.549.880,21,20,E-MAIL
26/05/2015,UNICA,PROM,"1,0035","1,0035",284.432.040,284.444.752,21,20,E-MAIL
27/05/2015,UNICA,PROM,"1,0130","1,0130",287.124.720,287.124.720,21,20,E-MAIL
28/05/2015,UNICA,PROM,"1,0119","1,0119",286.812.936,286.812.936,21,20,E-MAIL
29/05/2015,UNICA,PROM,"1,0055","1,0055",284.998.920,284.999.088,21,20,E-MAIL
30/05/2015,UNICA,PROM,"1,0055","1,0055",284.998.920,284.999.088,21,20,E-MAIL
31/05/2015,UNICA,PROM,"1,0055","1,0055",284.998.920,284.999.088,21,20,E-MAIL
01/06/2015,UNICA,PROM,"1,0075","1,0075",285.565.800,285.578.488,21,20,E-MAIL
02/06/2015,UNICA,PROM,"1,0066","1,0066",285.310.704,285.312.900,21,20,E-MAIL
03/06/2015,UNICA,PROM,"1,0094","1,0094",286.104.336,286.104.336,21,20,E-MAIL
04/06/2015,UNICA,PROM,"1,0011","1,0011",283.751.784,283.761.958,21,20,E-MAIL
05/06/2015,UNICA,PROM,"0,9991","0,9991",283.184.904,283.184.904,21,20,E-MAIL
06/06/2015,UNICA,PROM,"0,9991","0,9991",283.184.904,283.184.904,21,20,E-MAIL
07/06/2015,UNICA,PROM,"0,9991","0,9991",283.184.904,283.184.904,21,20,E-MAIL
08/06/2015,UNICA,PROM,"0,9929","0,9929",281.427.576,281.427.576,21,20,E-MAIL
09/06/2015,UNICA,PROM,"0,9927","0,9927",281.370.888,281.370.888,21,20,E-MAIL
10/06/2015,UNICA,PROM,"1,0046","1,0046",284.743.824,284.743.824,21,20,E-MAIL
11/06/2015,UNICA,PROM,"1,0079","1,0079",285.679.176,285.679.176,21,20,E-MAIL
12/06/2015,UNICA,PROM,"1,0001","1,0001",283.468.344,283.468.344,21,20,E-MAIL
13/06/2015,UNICA,PROM,"1,0001","1,0001",283.468.344,283.468.344,21,20,E-MAIL
14/06/2015,UNICA,PROM,"1,0001","1,0001",283.468.344,283.468.344,21,20,E-MAIL
15/06/2015,UNICA,PROM,"0,9958","0,9958",282.249.552,282.249.552,21,20,E-MAIL
16/06/2015,UNICA,PROM,"1,0014","1,0014",283.836.816,283.845.448,21,20,E-MAIL
17/06/2015,UNICA,PROM,"1,0030","1,0030",284.290.320,284.302.043,21,20,E-MAIL
18/06/2015,UNICA,PROM,"1,0131","1,0131",287.153.064,287.160.122,21,20,E-MAIL
19/06/2015,UNICA,PROM,"1,0061","1,0061",285.168.984,285.168.984,21,20,E-MAIL
20/06/2015,UNICA,PROM,"1,0061","1,0061",285.168.984,285.168.984,21,20,E-MAIL
21/06/2015,UNICA,PROM,"1,0061","1,0061",285.168.984,285.168.984,21,20,E-MAIL
22/06/2015,UNICA,PROM,"1,0112","1,0112",286.614.528,286.619.468,21,20,E-MAIL
