Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
29/10/2015,UNICA,PROM,"1,0000","1,0000",3.466.434,3.466.434,26,21,EMAIL
30/10/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.507,26,21,EMAIL
31/10/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.507,26,21,EMAIL
01/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.507,26,21,EMAIL
02/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.474,26,21,EMAIL
03/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.475,26,21,EMAIL
04/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.480,26,21,EMAIL
05/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.471,26,21,EMAIL
06/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.466,26,21,EMAIL
07/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.466,26,21,EMAIL
08/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.466,26,21,EMAIL
09/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.456,26,21,EMAIL
10/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.453,26,21,EMAIL
11/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.462,26,21,EMAIL
12/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.453,26,21,EMAIL
13/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.447,26,21,EMAIL
14/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.447,26,21,EMAIL
15/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.448,26,21,EMAIL
16/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.437,26,21,EMAIL
17/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.435,26,21,EMAIL
18/11/2015,UNICA,PROM,"0,9791","0,9791",3.393.986,3.465.426,26,21,EMAIL
