Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
25/06/2015,UNICA,PROM,"98,1466","98,1466",136.188.222,136.189.077,15,15,N/A
26/06/2015,UNICA,PROM,"98,2907","98,2907",136.388.175,136.389.302,15,15,N/A
27/06/2015,UNICA,PROM,"98,2904","98,2904",136.387.759,136.389.302,15,15,N/A
28/06/2015,UNICA,PROM,"98,2901","98,2901",136.387.343,136.389.302,15,15,N/A
29/06/2015,UNICA,PROM,"98,2898","98,2898",136.386.926,136.389.302,15,15,N/A
30/06/2015,UNICA,PROM,"96,7710","96,7710",134.279.440,134.282.188,15,15,N/A
01/07/2015,UNICA,PROM,"97,6259","97,6259",135.465.699,135.468.871,15,15,N/A
02/07/2015,UNICA,PROM,"97,6230","97,6230",135.461.675,135.465.159,15,15,N/A
03/07/2015,UNICA,PROM,"97,6213","97,6213",135.459.316,135.613.143,15,15,N/A
04/07/2015,UNICA,PROM,"97,6210","97,6210",135.458.900,135.613.143,15,15,N/A
05/07/2015,UNICA,PROM,"97,6207","97,6207",135.458.483,135.613.143,15,15,N/A
06/07/2015,UNICA,PROM,"97,3516","97,3516",135.085.080,135.404.042,15,15,N/A
07/07/2015,UNICA,PROM,"97,9375","97,9375",135.898.075,136.067.494,15,15,N/A
08/07/2015,UNICA,PROM,"96,3041","96,3041",133.631.569,133.801.242,15,15,N/A
09/07/2015,UNICA,PROM,"96,4381","96,4381",133.817.508,133.823.617,15,15,N/A
10/07/2015,UNICA,PROM,"97,6734","97,6734",135.531.610,135.538.200,15,15,N/A
11/07/2015,UNICA,PROM,"97,6731","97,6731",135.531.194,135.538.200,15,15,N/A
12/07/2015,UNICA,PROM,"97,6729","97,6729",135.530.916,135.538.200,15,15,N/A
13/07/2015,UNICA,PROM,"98,7655","98,7655",137.047.008,137.054.712,15,15,N/A
14/07/2015,UNICA,PROM,"99,2109","99,2109",137.665.045,137.673.218,15,15,N/A
15/07/2015,UNICA,PROM,"99,1427","99,1427",137.570.411,137.578.948,15,15,N/A
16/07/2015,UNICA,PROM,"99,1425","99,1425",137.570.133,137.578.948,15,15,N/A
17/07/2015,UNICA,PROM,"99,9382","99,9382",138.674.246,138.683.549,15,15,N/A
18/07/2015,UNICA,PROM,"99,9379","99,9379",138.673.830,138.683.549,15,15,N/A
19/07/2015,UNICA,PROM,"99,9376","99,9376",138.673.414,138.683.549,15,15,N/A
20/07/2015,UNICA,PROM,"99,9640","99,9640",138.710.046,138.720.459,15,15,N/A
21/07/2015,UNICA,PROM,"99,5609","99,5609",138.150.705,138.161.511,15,15,N/A
22/07/2015,UNICA,PROM,"99,3744","99,3744",137.891.917,137.903.146,15,15,N/A
23/07/2015,UNICA,PROM,"98,8260","98,8260",137.130.958,137.142.607,15,15,N/A
24/07/2015,UNICA,PROM,"97,7900","97,7900",135.693.404,135.705.383,15,15,N/A
25/07/2015,UNICA,PROM,"97,7898","97,7898",135.693.126,135.705.383,15,15,N/A
26/07/2015,UNICA,PROM,"97,7895","97,7895",135.692.710,135.705.383,15,15,N/A
27/07/2015,UNICA,PROM,"97,1854","97,1854",134.854.461,134.867.549,15,15,N/A
28/07/2015,UNICA,PROM,"98,3723","98,3723",136.501.403,136.514.797,15,15,N/A
29/07/2015,UNICA,PROM,"99,0344","99,0344",137.420.133,137.434.003,15,15,N/A
30/07/2015,UNICA,PROM,"99,0938","99,0938",137.502.557,137.516.646,15,15,N/A
31/07/2015,UNICA,PROM,"98,9535","98,9535",137.307.877,137.322.518,15,15,N/A
01/08/2015,UNICA,PROM,"98,9533","98,9533",137.307.599,137.322.518,15,15,N/A
02/08/2015,UNICA,PROM,"98,9530","98,9530",137.307.183,137.322.518,15,15,N/A
03/08/2015,UNICA,PROM,"98,6142","98,6142",136.837.064,136.852.715,15,15,N/A
04/08/2015,UNICA,PROM,"98,4317","98,4317",136.583.827,136.599.965,15,15,N/A
05/08/2015,UNICA,PROM,"98,7854","98,7854",137.074.621,137.090.960,15,15,N/A
06/08/2015,UNICA,PROM,"97,9606","97,9606",135.930.129,135.946.944,15,15,N/A
07/08/2015,UNICA,PROM,"97,7265","97,7265",135.605.291,135.622.467,15,15,N/A
08/08/2015,UNICA,PROM,"97,7262","97,7262",135.604.875,135.622.467,15,15,N/A
09/08/2015,UNICA,PROM,"97,7259","97,7259",135.604.459,135.622.467,15,15,N/A
10/08/2015,UNICA,PROM,"98,9663","98,9663",137.325.638,137.344.071,15,15,N/A
11/08/2015,UNICA,PROM,"98,0643","98,0643",136.074.023,136.092.795,15,15,N/A
12/08/2015,UNICA,PROM,"98,1457","98,1457",136.186.973,136.206.074,15,15,N/A
13/08/2015,UNICA,PROM,"98,0559","98,0559",136.062.367,136.081.777,15,15,N/A
14/08/2015,UNICA,PROM,"98,3931","98,3931",136.530.266,136.549.859,15,15,N/A
15/08/2015,UNICA,PROM,"98,3928","98,3928",136.529.849,136.549.859,15,15,N/A
