Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
22/10/2015,UNICA,EUR,"1,0000","1,0000",150.000.000,150.000.000,12,12,EMAIL
23/10/2015,UNICA,EUR,"1,0000","1,0000",150.000.000,150.000.000,12,12,EMAIL
24/10/2015,UNICA,EUR,"1,0000","1,0000",150.000.000,150.000.000,12,12,EMAIL
25/10/2015,UNICA,EUR,"1,0000","1,0000",150.000.000,150.000.000,12,12,EMAIL
26/10/2015,UNICA,EUR,"0,9991","0,9991",149.865.000,448.861.904,12,12,EMAIL
27/10/2015,UNICA,EUR,"0,9980","0,9980",149.700.000,449.464.389,12,12,EMAIL
28/10/2015,UNICA,EUR,"1,0058","1,0058",150.870.000,300.256.929,12,12,EMAIL
29/10/2015,UNICA,EUR,"1,0166","1,0166",152.490.000,153.156.171,12,12,EMAIL
30/10/2015,UNICA,EUR,"1,0062","1,0062",150.930.000,150.942.376,12,12,EMAIL
31/10/2015,UNICA,EUR,"1,0062","1,0062",150.930.000,150.942.376,12,12,EMAIL
01/11/2015,UNICA,EUR,"1,0062","1,0062",150.930.000,150.942.376,12,12,EMAIL
02/11/2015,UNICA,EUR,"1,0181","1,0181",152.715.000,152.726.405,12,12,EMAIL
03/11/2015,UNICA,EUR,"1,0270","1,0270",154.050.000,154.062.706,12,12,EMAIL
04/11/2015,UNICA,EUR,"1,0333","1,0333",154.995.000,155.008.340,12,12,EMAIL
05/11/2015,UNICA,EUR,"1,0316","1,0316",154.740.000,154.752.943,12,12,EMAIL
06/11/2015,UNICA,EUR,"1,0437","1,0437",156.555.000,156.569.236,12,12,EMAIL
07/11/2015,UNICA,EUR,"1,0437","1,0437",156.555.000,156.569.236,12,12,EMAIL
08/11/2015,UNICA,EUR,"1,0437","1,0437",156.555.000,156.569.236,12,12,EMAIL
09/11/2015,UNICA,EUR,"1,0309","1,0309",154.635.000,154.643.845,12,12,EMAIL
10/11/2015,UNICA,EUR,"1,0405","1,0405",156.075.000,156.083.875,12,12,EMAIL
11/11/2015,UNICA,EUR,"1,0321","1,0321",154.815.000,154.823.165,12,12,EMAIL
12/11/2015,UNICA,EUR,"1,0117","1,0117",151.755.000,151.763.354,12,12,EMAIL
13/11/2015,UNICA,EUR,"1,0077","1,0077",151.155.000,151.161.913,12,12,EMAIL
14/11/2015,UNICA,EUR,"1,0077","1,0077",151.155.000,151.161.913,12,12,EMAIL
15/11/2015,UNICA,EUR,"1,0077","1,0077",151.155.000,151.161.913,12,12,EMAIL
16/11/2015,UNICA,EUR,"1,0245","1,0245",153.675.000,153.688.445,12,12,EMAIL
17/11/2015,UNICA,EUR,"1,0295","1,0295",154.425.000,154.430.509,12,12,EMAIL
18/11/2015,UNICA,EUR,"1,0461","1,0461",156.915.000,156.928.392,12,12,EMAIL
19/11/2015,UNICA,EUR,"1,0360","1,0360",155.400.000,155.409.535,12,12,EMAIL
20/11/2015,UNICA,EUR,"1,0477","1,0477",157.155.000,157.163.880,12,12,EMAIL
21/11/2015,UNICA,EUR,"1,0477","1,0477",157.155.000,157.163.880,12,12,EMAIL
22/11/2015,UNICA,EUR,"1,0477","1,0477",157.155.000,157.163.880,12,12,EMAIL
23/11/2015,UNICA,EUR,"1,0505","1,0505",157.575.000,157.582.291,12,12,EMAIL
24/11/2015,UNICA,EUR,"1,0479","1,0479",157.185.000,157.190.704,12,12,EMAIL
25/11/2015,UNICA,EUR,"1,0503","1,0503",157.545.000,157.553.034,12,12,EMAIL
26/11/2015,UNICA,EUR,"1,0521","1,0521",157.815.000,157.820.745,12,12,EMAIL
27/11/2015,UNICA,EUR,"1,0543","1,0543",158.145.000,158.152.290,12,12,EMAIL
28/11/2015,UNICA,EUR,"1,0543","1,0543",158.145.000,158.152.290,12,12,EMAIL
29/11/2015,UNICA,EUR,"1,0543","1,0543",158.145.000,158.152.290,12,12,EMAIL
30/11/2015,UNICA,EUR,"1,0537","1,0537",158.055.000,158.063.494,12,12,EMAIL
01/12/2015,UNICA,EUR,"1,0581","1,0581",158.715.000,158.727.309,12,12,EMAIL
02/12/2015,UNICA,EUR,"1,0526","1,0526",157.890.000,157.891.661,12,12,EMAIL
03/12/2015,UNICA,EUR,"1,0033","1,0033",150.495.000,150.506.376,12,12,EMAIL
04/12/2015,UNICA,EUR,"1,0287","1,0287",154.305.000,154.310.161,12,12,EMAIL
05/12/2015,UNICA,EUR,"1,0287","1,0287",154.305.000,154.310.161,12,12,EMAIL
06/12/2015,UNICA,EUR,"1,0287","1,0287",154.305.000,154.310.161,12,12,EMAIL
07/12/2015,UNICA,EUR,"1,0239","1,0239",153.585.000,153.592.649,12,12,EMAIL
08/12/2015,UNICA,EUR,"1,0170","1,0170",152.550.000,152.560.832,12,12,EMAIL
09/12/2015,UNICA,EUR,"0,9963","0,9963",149.445.000,149.455.407,12,12,EMAIL
10/12/2015,UNICA,EUR,"1,0032","1,0032",150.480.000,150.482.581,12,12,EMAIL
11/12/2015,UNICA,EUR,"0,9785","0,9785",146.775.000,146.778.146,12,12,EMIAL
12/12/2015,UNICA,EUR,"0,9785","0,9785",146.775.000,146.778.146,12,12,EMIAL
13/12/2015,UNICA,EUR,"0,9785","0,9785",146.775.000,146.778.146,12,12,EMIAL
14/12/2015,UNICA,EUR,"0,9817","0,9817",147.255.000,147.260.086,12,12,EMAIL
15/12/2015,UNICA,EUR,"1,0015","1,0015",150.225.000,150.230.312,12,12,EMAIL
16/12/2015,UNICA,EUR,"1,0151","1,0151",152.265.000,152.276.098,12,12,EMAIL
17/12/2015,UNICA,EUR,"1,0052","1,0052",150.780.000,150.781.206,12,12,EMAIL
18/12/2015,UNICA,EUR,"0,9839","0,9839",147.585.000,147.586.222,12,12,EMAIL
19/12/2015,UNICA,EUR,"0,9839","0,9839",147.585.000,147.586.222,12,12,EMAIL
20/12/2015,UNICA,EUR,"0,9839","0,9839",147.585.000,147.586.222,12,12,EMAIL
21/12/2015,UNICA,EUR,"0,9844","0,9844",147.660.000,147.673.455,12,12,EMAIL
22/12/2015,UNICA,EUR,"0,9896","0,9896",148.440.000,148.442.819,12,12,EMAIL
23/12/2015,UNICA,EUR,"1,0149","1,0149",152.235.000,152.241.556,12,12,EMAIL
24/12/2015,UNICA,EUR,"1,0060","1,0060",150.900.000,150.906.559,12,12,EMAIL
25/12/2015,UNICA,EUR,"1,0060","1,0060",150.900.000,150.906.559,12,12,EMAIL
26/12/2015,UNICA,EUR,"1,0060","1,0060",150.900.000,150.906.559,12,12,EMAIL
27/12/2015,UNICA,EUR,"1,0060","1,0060",150.900.000,150.906.559,12,12,EMAIL
28/12/2015,UNICA,EUR,"1,0016","1,0016",150.240.000,150.251.936,12,12,EMAIL
29/12/2015,UNICA,EUR,"1,0180","1,0180",152.700.000,152.708.717,12,12,EMAIL
30/12/2015,UNICA,EUR,"1,0114","1,0114",151.710.000,151.714.496,12,12,EMAIL
31/12/2015,UNICA,EUR,"1,0009","1,0009",150.135.000,150.148.680,12,12,EMAIL
01/01/2016,UNICA,EUR,"1,0009","1,0009",150.135.000,150.148.680,12,12,EMAIL
02/01/2016,UNICA,EUR,"1,0009","1,0009",150.135.000,150.148.680,12,12,EMAIL
03/01/2016,UNICA,EUR,"1,0009","1,0009",150.135.000,150.148.680,12,12,EMAIL
04/01/2016,UNICA,EUR,"0,9954","0,9954",149.310.000,149.315.638,12,12,EMAIL
05/01/2016,UNICA,EUR,"1,0043","1,0043",150.645.000,152.704.468,12,12,EMAIL
06/01/2016,UNICA,EUR,"0,9897","0,9897",148.455.000,150.506.063,12,12,EMAIL
07/01/2016,UNICA,EUR,"0,9570","0,9570",143.550.000,143.559.471,12,12,EMAIL
08/01/2016,UNICA,EUR,"0,9456","0,9456",141.840.000,141.850.532,12,12,EMIAL
09/01/2016,UNICA,EUR,"0,9456","0,9456",141.840.000,141.850.532,12,12,EMAIL
10/01/2016,UNICA,EUR,"0,9456","0,9456",141.840.000,141.850.532,12,12,EMAIL
11/01/2016,UNICA,EUR,"0,9457","0,9457",141.855.000,141.864.781,12,12,EMAIL
12/01/2016,UNICA,EUR,"0,9578","0,9578",143.670.000,143.689.011,12,12,EMAIL
13/01/2016,UNICA,EUR,"0,9331","0,9331",139.965.000,139.981.899,12,12,EMAIL
14/01/2016,UNICA,EUR,"0,9468","0,9468",142.020.000,142.036.751,12,12,EMAIL
15/01/2016,UNICA,EUR,"0,9177","0,9177",137.655.000,137.671.638,12,12,EMAIL
16/01/2016,UNICA,EUR,"0,9177","0,9177",137.655.000,137.671.638,12,12,EMAIL
17/01/2016,UNICA,EUR,"0,9177","0,9177",137.655.000,137.671.638,12,12,EMAIL
18/01/2016,UNICA,EUR,"0,9250","0,9250",138.750.000,138.767.276,12,12,EMAIL
19/01/2016,UNICA,EUR,"0,9242","0,9242",138.630.000,138.636.885,12,12,EMAIL
20/01/2016,UNICA,EUR,"0,9117","0,9117",136.755.000,136.764.831,12,12,EMAIL
21/01/2016,UNICA,EUR,"0,9244","0,9244",138.660.000,138.677.803,12,12,EMAIL
22/01/2016,UNICA,EUR,"0,9450","0,9450",141.750.000,141.765.082,12,12,EMAIL
23/01/2016,UNICA,EUR,"0,9450","0,9450",141.750.000,141.765.082,12,12,EMAIL
24/01/2016,UNICA,EUR,"0,9450","0,9450",141.750.000,141.765.082,12,12,EMAIL
25/01/2016,UNICA,EUR,"0,9295","0,9295",139.425.000,139.443.033,12,12,EMAIL
26/01/2016,UNICA,EUR,"0,9409","0,9409",141.135.000,141.141.878,12,12,EMAIL
27/01/2016,UNICA,EUR,"0,9288","0,9288",139.320.000,139.325.177,12,12,EMAIL
28/01/2016,UNICA,EUR,"0,9260","0,9260",138.900.000,138.915.551,12,12,EMAIL
29/01/2016,UNICA,EUR,"0,9587","0,9587",143.805.000,143.813.489,12,12,EMAIL
30/01/2016,UNICA,EUR,"0,9587","0,9587",143.805.000,143.813.489,12,12,EMAIL
31/01/2016,UNICA,EUR,"0,9587","0,9587",143.805.000,143.824.003,15,15,EMAIL
01/02/2016,UNICA,EUR,"0,9523","0,9523",142.845.000,142.868.184,12,12,EMAIL
02/02/2016,UNICA,EUR,"0,9351","0,9351",140.265.000,140.284.843,12,12,EMAIL
03/02/2016,UNICA,EUR,"0,9275","0,9275",139.125.000,139.155.030,12,12,EMAIL
04/02/2016,UNICA,EUR,"0,9183","0,9183",137.745.000,137.776.139,12,12,EMAIL
05/02/2016,UNICA,EUR,"0,9053","0,9053",135.795.000,135.816.077,12,12,EMAIL
06/02/2016,UNICA,EUR,"0,9053","0,9053",135.795.000,135.816.504,12,12,EMAIL
07/02/2016,UNICA,EUR,"0,9053","0,9053",135.795.000,135.816.932,12,12,EMAIL
