Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
14/10/2015,UNICA,PROM,"99,9990","99,9990",15.386.846,15.387.000,23,7,N/A
15/10/2015,UNICA,PROM,"99,9979","99,9979",15.386.677,15.387.000,23,7,N/A
16/10/2015,UNICA,PROM,"99,9969","99,9969",15.386.523,15.387.000,23,7,N/A
17/10/2015,UNICA,PROM,"99,9958","99,9958",15.386.354,15.387.000,23,7,N/A
18/10/2015,UNICA,PROM,"99,9948","99,9948",15.386.200,15.387.000,23,7,N/A
19/10/2015,UNICA,PROM,"99,9938","99,9938",15.386.046,15.387.000,23,7,N/A
20/10/2015,UNICA,PROM,"99,9927","99,9927",15.385.877,15.387.000,23,7,N/A
21/10/2015,UNICA,PROM,"99,9917","99,9917",15.385.723,15.387.000,23,7,N/A
22/10/2015,UNICA,PROM,"99,9906","99,9906",15.385.554,15.387.000,23,7,N/A
23/10/2015,UNICA,PROM,"99,9896","99,9896",15.385.400,15.387.000,23,7,N/A
24/10/2015,UNICA,PROM,"99,9886","99,9886",15.385.246,15.387.000,23,7,N/A
25/10/2015,UNICA,PROM,"99,9875","99,9875",15.385.077,15.387.000,23,7,N/A
26/10/2015,UNICA,PROM,"99,9865","99,9865",15.384.923,15.387.000,23,7,N/A
27/10/2015,UNICA,PROM,"99,9854","99,9854",15.384.753,15.387.000,23,7,N/A
28/10/2015,UNICA,PROM,"99,9844","99,9844",15.384.600,15.387.000,23,7,N/A
29/10/2015,UNICA,PROM,"99,9834","99,9834",15.384.446,15.387.000,23,7,N/A
30/10/2015,UNICA,PROM,"99,9823","99,9823",15.384.277,15.387.000,23,7,N/A
31/10/2015,UNICA,PROM,"99,8921","99,8921",15.370.397,15.387.000,23,7,N/A
01/11/2015,UNICA,PROM,"99,8753","99,8753",15.367.812,15.387.000,23,7,N/A
02/11/2015,UNICA,PROM,"99,8742","99,8742",15.367.643,15.387.000,23,7,N/A
03/11/2015,UNICA,PROM,"99,8732","99,8732",15.367.489,15.387.000,23,7,N/A
04/11/2015,UNICA,PROM,"99,8721","99,8721",15.367.320,15.387.000,23,7,N/A
05/11/2015,UNICA,PROM,"99,8711","99,8711",15.367.166,15.387.000,23,7,N/A
06/11/2015,UNICA,PROM,"99,8701","99,8701",15.367.012,15.387.000,23,7,N/A
