Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
21/01/2016,UNICA,PROM,"0,9999","0,0000",1.008.304,1.008.444,9,1,WWW.NEVASAHMCAGF.CL
22/01/2016,UNICA,PROM,"0,9997","0,0000",1.008.164,1.008.444,9,1,WWW.NEVASAHMCAGF.CL
23/01/2016,UNICA,PROM,"0,9996","0,0000",1.008.024,1.008.444,9,1,WWW.NEVASAHMCAGF.CL
24/01/2016,UNICA,PROM,"0,9994","0,0000",1.007.884,1.008.444,9,1,WWW.NEVASAHMCAGF.CL
25/01/2016,UNICA,PROM,"0,9993","0,0000",1.007.743,1.008.444,9,1,WWW.NEVASAHMCAGF.CL
26/01/2016,UNICA,PROM,"0,9992","0,0000",1.007.603,1.008.444,9,1,WWW.NEVASAHMCAGF.CL
27/01/2016,UNICA,PROM,"0,9990","0,0000",1.007.463,1.008.444,9,1,WWW.NEVASAHMCAGF.CL
28/01/2016,UNICA,PROM,"0,9989","0,0000",1.007.323,1.008.444,9,1,WWW.NEVASAHMCAGF.CL
29/01/2016,UNICA,PROM,"0,9963","0,0000",1.004.715,1.008.444,9,1,WWW.NEVASAHMCAGF.CL
30/01/2016,UNICA,PROM,"0,9962","0,0000",1.004.575,1.008.444,9,1,WWW.NEVASAHMCAGF.CL
31/01/2016,UNICA,PROM,"0,9960","0,0000",1.004.435,1.008.444,9,1,WWW.NEVASAHMCAGF.CL
01/02/2016,UNICA,PROM,"0,9959","0,0000",1.004.295,1.008.444,9,1,WWW.NEVASAHMCAGF.CL
02/02/2016,UNICA,PROM,"0,9957","0,0000",1.004.155,1.008.444,9,1,WWW.NEVASAHMCAGF.CL
03/02/2016,UNICA,PROM,"0,9956","0,0000",1.004.014,1.008.444,9,1,WWW.NEVASAHMCAGF.CL
04/02/2016,UNICA,PROM,"0,9955","0,0000",1.003.874,1.008.444,9,1,WWW.NEVASAHMCAGF.CL
