Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
22/12/2015,UNICA,PROM,"1,0000","1,0000",150.000.000,150.000.000,11,11,SA
23/12/2015,UNICA,PROM,"1,0000","1,0000",150.000.000,225.000.000,11,11,SA
24/12/2015,UNICA,PROM,"1,0000","1,0000",150.000.000,240.000.000,11,11,SA
25/12/2015,UNICA,PROM,"1,0000","1,0000",150.000.000,240.000.000,11,11,SA
26/12/2015,UNICA,PROM,"1,0000","1,0000",150.000.000,240.000.000,11,11,SA
27/12/2015,UNICA,PROM,"1,0000","1,0000",150.000.000,240.000.000,11,11,SA
28/12/2015,UNICA,PROM,"1,0006","1,0006",150.084.445,150.087.192,11,11,SA
29/12/2015,UNICA,PROM,"1,0010","1,0010",150.150.000,150.159.853,11,11,SA
30/12/2015,UNICA,PROM,"1,0021","1,0021",150.315.000,165.317.660,11,11,SA
31/12/2015,UNICA,PROM,"1,0021","1,0021",150.315.000,165.317.660,11,11,SA
01/01/2016,UNICA,PROM,"1,0021","1,0021",150.315.000,165.317.660,11,11,SA
02/01/2016,UNICA,PROM,"1,0021","1,0021",150.315.000,165.317.660,11,11,SA
03/01/2016,UNICA,PROM,"1,0021","1,0021",150.315.000,165.317.660,11,11,SA
04/01/2016,UNICA,PROM,"1,0026","1,0026",150.390.000,150.390.320,11,11,SA
05/01/2016,UNICA,PROM,"1,0017","1,0017",150.255.000,150.255.399,11,11,SA
06/01/2016,UNICA,PROM,"1,0026","1,0026",150.390.000,180.389.614,11,11,SA
07/01/2016,UNICA,PROM,"1,0026","1,0026",150.390.000,180.387.664,11,11,SA
08/01/2016,UNICA,PROM,"0,9964","0,9964",149.456.070,164.459.716,11,11,SA
09/01/2016,UNICA,PROM,"0,9964","0,9964",149.455.991,164.459.716,11,11,SA
10/01/2016,UNICA,PROM,"0,9964","0,9964",149.455.912,164.459.716,11,11,SA
11/01/2016,UNICA,PROM,"0,9967","0,9967",149.502.059,149.505.943,11,11,SA
12/01/2016,UNICA,PROM,"0,9952","0,9952",149.273.652,149.277.615,11,11,SA
13/01/2016,UNICA,PROM,"0,9939","0,9939",149.090.894,149.094.936,11,11,SA
14/01/2016,UNICA,PROM,"0,9910","0,9910",148.647.086,148.651.207,11,11,SA
15/01/2016,UNICA,PROM,"0,9860","0,9860",147.902.465,147.906.665,11,11,SA
16/01/2016,UNICA,PROM,"0,9860","0,9860",147.902.386,147.906.665,11,11,SA
17/01/2016,UNICA,PROM,"0,9860","0,9860",147.902.308,147.906.665,11,11,SA
18/01/2016,UNICA,PROM,"0,9775","0,9775",146.623.508,146.627.943,11,11,SA
19/01/2016,UNICA,PROM,"0,9773","0,9773",146.594.366,146.598.879,11,11,SA
20/01/2016,UNICA,PROM,"0,9755","0,9755",146.327.591,146.332.216,11,11,SA
21/01/2016,UNICA,PROM,"0,9658","0,9658",144.869.112,144.873.848,11,11,SA
22/01/2016,UNICA,PROM,"0,9704","0,9704",145.567.416,145.572.264,11,11,SA
23/01/2016,UNICA,PROM,"0,9704","0,9704",145.567.304,145.572.264,11,11,SA
24/01/2016,UNICA,PROM,"0,9704","0,9704",145.567.192,145.572.264,11,11,SA
25/01/2016,UNICA,PROM,"0,9789","0,9789",146.828.864,146.834.048,11,11,SA
26/01/2016,UNICA,PROM,"0,9791","0,9791",146.860.347,146.865.643,11,11,SA
27/01/2016,UNICA,PROM,"0,9799","0,9799",146.992.451,146.997.859,11,11,SA
28/01/2016,UNICA,PROM,"0,9817","0,9817",147.261.633,147.267.154,11,11,SA
29/01/2016,UNICA,PROM,"0,9849","0,9849",147.728.876,147.734.510,11,11,SA
30/01/2016,UNICA,PROM,"0,9849","0,9849",147.728.764,147.734.510,11,11,SA
31/01/2016,UNICA,PROM,"0,9849","0,9849",147.728.651,147.734.510,11,11,SA
01/02/2016,UNICA,PROM,"0,9881","0,9881",148.218.739,148.224.691,11,11,SA
02/02/2016,UNICA,PROM,"0,9878","0,9878",148.165.103,148.171.148,11,11,SA
03/02/2016,UNICA,PROM,"0,9873","0,9873",148.095.000,148.105.804,11,11,SA
04/02/2016,UNICA,PROM,"0,9825","0,9824",147.369.912,147.376.144,11,11,SA
05/02/2016,UNICA,PROM,"0,9828","0,9828",147.426.569,147.432.894,11,11,SA
06/02/2016,UNICA,PROM,"0,9828","0,9828",147.426.475,147.432.894,11,11,SA
07/02/2016,UNICA,PROM,"0,9828","0,9828",147.426.475,147.432.894,11,11,SA
08/02/2016,UNICA,PROM,"0,9803","0,9802",147.044.346,147.050.952,11,11,SA
09/02/2016,UNICA,PROM,"0,9705","0,9705",145.575.137,145.581.835,11,11,SA
10/02/2016,UNICA,PROM,"0,9650","0,9649",144.746.968,144.753.758,11,11,SA
11/02/2016,UNICA,PROM,"0,9662","0,9661",144.929.829,144.936.712,11,11,SA
12/02/2016,UNICA,PROM,"0,9587","0,9587",143.812.071,143.819.046,11,11,SA
13/02/2016,UNICA,PROM,"0,9587","0,9587",143.811.979,143.819.046,11,11,SA
14/02/2016,UNICA,PROM,"0,9587","0,9587",143.811.887,143.819.046,11,11,SA
15/02/2016,UNICA,PROM,"0,9604","0,9603",144.054.305,144.061.556,11,11,SA
16/02/2016,UNICA,PROM,"0,9614","0,9613",144.206.753,144.214.143,11,11,SA
17/02/2016,UNICA,PROM,"0,9653","0,9653",144.798.616,144.806.099,11,11,SA
18/02/2016,UNICA,PROM,"0,9742","0,9742",146.137.254,146.145.053,11,11,SA
19/02/2016,UNICA,PROM,"0,9753","0,9752",146.287.646,146.295.760,11,11,SA
20/02/2016,UNICA,PROM,"0,9752","0,9752",146.287.330,146.295.760,11,11,SA
21/02/2016,UNICA,PROM,"0,9752","0,9752",146.287.014,146.295.760,11,11,SA
22/02/2016,UNICA,PROM,"0,9750","0,9749",146.244.855,146.253.718,11,11,SA
23/02/2016,UNICA,PROM,"0,9793","0,9792",146.887.782,146.897.162,11,11,SA
24/02/2016,UNICA,PROM,"0,9833","0,9833",147.500.110,147.509.538,11,11,SA
25/02/2016,UNICA,PROM,"0,9786","0,9786",146.793.758,146.803.498,11,11,SA
26/02/2016,UNICA,PROM,"0,9825","0,9825",147.367.564,147.377.890,11,11,SA
27/02/2016,UNICA,PROM,"0,9824","0,9824",147.367.247,147.377.890,11,11,SA
28/02/2016,UNICA,PROM,"0,9824","0,9824",147.366.930,147.377.890,11,11,SA
29/02/2016,UNICA,PROM,"0,9890","0,9890",148.349.557,148.360.834,11,11,SA
01/03/2016,UNICA,PROM,"0,9977","0,9977",149.650.642,149.662.030,11,11,SA
02/03/2016,UNICA,PROM,"1,0035","1,0035",150.527.968,150.539.423,11,11,SA
03/03/2016,UNICA,PROM,"1,0100","1,0100",151.501.881,151.513.447,11,11,SA
04/03/2016,UNICA,PROM,"1,0098","1,0098",151.465.916,151.477.593,11,11,SA
05/03/2016,UNICA,PROM,"1,0098","1,0098",151.465.805,151.477.593,11,11,SA
06/03/2016,UNICA,PROM,"1,0098","1,0098",151.465.694,151.477.593,11,11,SA
07/03/2016,UNICA,PROM,"1,0190","1,0190",152.846.754,152.858.765,11,11,SA
08/03/2016,UNICA,PROM,"1,0224","1,0224",153.360.000,153.372.123,11,11,SA
09/03/2016,UNICA,PROM,"1,0227","1,0227",153.398.399,153.410.633,11,11,SA
10/03/2016,UNICA,PROM,"1,0175","1,0175",152.625.000,152.635.498,11,11,SA
11/03/2016,UNICA,PROM,"1,0215","1,0215",153.231.934,153.244.392,11,11,SA
12/03/2016,UNICA,PROM,"1,0215","1,0215",153.231.822,153.244.392,11,11,SA
13/03/2016,UNICA,PROM,"1,0215","1,0215",153.231.710,153.244.392,11,11,SA
14/03/2016,UNICA,PROM,"1,0352","1,0352",155.278.188,155.290.982,11,11,SA
15/03/2016,UNICA,PROM,"1,0398","1,0398",155.969.702,155.982.608,11,11,SA
16/03/2016,UNICA,PROM,"1,0361","1,0361",155.415.000,155.431.041,11,11,SA
17/03/2016,UNICA,PROM,"1,0347","1,0347",155.205.000,155.216.267,11,11,SA
18/03/2016,UNICA,PROM,"1,0396","1,0396",155.940.000,155.958.404,11,11,SA
19/03/2016,UNICA,PROM,"1,0396","1,0396",155.940.000,155.958.404,11,11,SA
20/03/2016,UNICA,PROM,"1,0396","1,0396",155.940.000,155.958.404,11,11,SA
21/03/2016,UNICA,PROM,"1,0400","1,0400",156.000.000,156.012.198,11,11,SA
22/03/2016,UNICA,PROM,"1,0459","1,0459",156.885.000,156.900.959,11,11,SA
23/03/2016,UNICA,PROM,"1,0454","1,0454",156.810.000,156.825.843,11,11,SA
24/03/2016,UNICA,PROM,"1,0413","1,0413",156.195.000,156.209.809,11,11,SA
25/03/2016,UNICA,PROM,"1,0413","1,0413",156.195.000,156.209.809,11,11,SA
26/03/2016,UNICA,PROM,"1,0413","1,0413",156.195.000,156.209.809,11,11,SA
27/03/2016,UNICA,PROM,"1,0413","1,0413",156.195.000,156.209.809,11,11,SA
28/03/2016,UNICA,PROM,"1,0413","1,0413",156.195.000,156.209.809,11,11,SA
29/03/2016,UNICA,PROM,"1,0370","1,0370",155.550.000,155.566.590,11,11,SA
30/03/2016,UNICA,PROM,"1,0380","1,0380",155.700.000,155.711.088,11,11,SA
31/03/2016,UNICA,PROM,"1,0383","1,0383",155.745.000,155.761.499,11,11,SA
01/04/2016,UNICA,PROM,"1,0431","1,0431",156.465.000,156.478.055,11,11,SA
02/04/2016,UNICA,PROM,"1,0431","1,0431",156.465.000,156.478.055,11,11,SA
03/04/2016,UNICA,PROM,"1,0431","1,0431",156.465.000,156.478.055,11,11,SA
04/04/2016,UNICA,PROM,"1,0431","1,0431",156.465.000,156.489.555,11,11,SA
05/04/2016,UNICA,PROM,"1,0447","1,0447",156.705.000,156.719.889,11,11,SA
06/04/2016,UNICA,PROM,"1,0399","1,0399",155.985.000,156.004.936,11,11,SA
07/04/2016,UNICA,PROM,"1,0419","1,0419",156.285.000,156.295.227,11,11,SA
08/04/2016,UNICA,PROM,"1,0413","1,0413",156.195.000,156.206.781,11,11,SA
09/04/2016,UNICA,PROM,"1,0413","1,0413",156.195.000,156.206.781,11,11,SA
10/04/2016,UNICA,PROM,"1,0413","1,0413",156.195.000,156.206.781,11,11,SA
11/04/2016,UNICA,PROM,"1,0458","1,0458",156.870.000,156.884.376,11,11,SA
12/04/2016,UNICA,PROM,"1,0477","1,0477",157.155.000,157.175.293,11,11,SA
13/04/2016,UNICA,PROM,"1,0504","1,0504",157.560.000,157.573.196,11,11,SA
14/04/2016,UNICA,PROM,"1,0555","1,0555",158.325.000,158.344.398,11,11,SA
15/04/2016,UNICA,PROM,"1,0586","1,0586",158.790.000,158.802.032,11,11,SA
16/04/2016,UNICA,PROM,"1,0586","1,0586",158.790.000,158.802.032,11,11,SA
17/04/2016,UNICA,PROM,"1,0586","1,0586",158.790.000,158.802.032,11,11,SA
18/04/2016,UNICA,PROM,"1,0589","1,0589",158.835.000,158.861.363,11,11,SA
19/04/2016,UNICA,PROM,"1,0570","1,0570",158.550.000,158.575.004,11,11,SA
20/04/2016,UNICA,PROM,"1,0616","1,0616",159.240.000,159.256.595,11,11,SA
21/04/2016,UNICA,PROM,"1,0675","1,0675",160.125.000,160.151.820,11,11,SA
22/04/2016,UNICA,PROM,"1,0666","1,0666",159.990.000,160.006.575,11,11,SA
23/04/2016,UNICA,PROM,"1,0666","1,0666",159.990.000,160.006.575,11,11,SA
24/04/2016,UNICA,PROM,"1,0666","1,0666",159.990.000,160.006.575,11,11,SA
25/04/2016,UNICA,PROM,"1,0670","1,0670",160.050.000,160.071.167,11,11,SA
26/04/2016,UNICA,PROM,"1,0660","1,0660",159.900.000,159.917.729,11,11,SA
27/04/2016,UNICA,PROM,"1,0665","1,0665",159.975.000,159.991.416,11,11,NA
28/04/2016,UNICA,PROM,"1,0716","1,0716",160.740.000,160.764.722,11,11,SA
29/04/2016,UNICA,PROM,"1,0736","1,0736",161.040.000,161.065.536,11,11,SA
30/04/2016,UNICA,PROM,"1,0736","1,0736",161.040.000,161.065.536,11,11,SA
01/05/2016,UNICA,PROM,"1,0736","1,0736",161.040.000,161.065.536,11,11,SA
02/05/2016,UNICA,PROM,"1,0714","1,0714",160.710.000,160.736.761,11,11,SA
03/05/2016,UNICA,PROM,"1,0716","1,0716",160.740.000,160.767.829,11,11,SA
04/05/2016,UNICA,PROM,"1,0690","1,0690",160.350.000,160.365.868,11,11,SA
05/05/2016,UNICA,PROM,"1,0690","1,0690",160.350.000,160.365.868,11,11,SA
06/05/2016,UNICA,PROM,"1,0664","1,0664",159.965.415,159.987.132,11,11,SA
07/05/2016,UNICA,PROM,"1,0664","1,0664",159.960.000,159.987.132,11,11,SA
08/05/2016,UNICA,PROM,"1,0664","1,0664",159.960.000,159.987.132,11,11,SA
09/05/2016,UNICA,PROM,"1,0637","1,0637",159.559.844,159.581.963,11,11,SA
10/05/2016,UNICA,PROM,"1,0625","1,0625",159.369.766,159.392.019,11,11,SA
11/05/2016,UNICA,PROM,"1,0672","1,0672",160.083.783,160.106.169,11,11,SA
12/05/2016,UNICA,PROM,"1,0686","1,0686",160.287.148,160.309.668,11,11,SA
13/05/2016,UNICA,PROM,"1,0689","1,0689",160.335.245,160.357.900,11,11,SA
14/05/2016,UNICA,PROM,"1,0689","1,0689",160.335.111,160.357.900,11,11,SA
15/05/2016,UNICA,PROM,"1,0689","1,0689",160.334.977,160.357.900,11,11,SA
16/05/2016,UNICA,PROM,"1,0689","1,0689",160.334.843,160.357.900,11,11,SA
17/05/2016,UNICA,PROM,"1,0685","1,0685",160.276.581,160.299.772,11,11,SA
18/05/2016,UNICA,PROM,"1,0705","1,0705",160.570.170,160.593.495,11,11,SA
19/05/2016,UNICA,PROM,"1,0672","1,0672",160.079.579,160.103.038,11,11,SA
20/05/2016,UNICA,PROM,"1,0645","1,0645",159.682.227,159.705.873,11,11,SA
21/05/2016,UNICA,PROM,"1,0645","1,0645",159.682.093,159.705.873,11,11,SA
22/05/2016,UNICA,PROM,"1,0645","1,0645",159.681.959,159.705.873,11,11,SA
23/05/2016,UNICA,PROM,"1,0656","1,0656",159.835.264,159.859.311,11,11,SA
24/05/2016,UNICA,PROM,"1,0699","1,0699",160.491.728,160.515.910,11,11,SA
25/05/2016,UNICA,PROM,"1,0723","1,0723",160.848.932,160.873.248,11,11,SA
26/05/2016,UNICA,PROM,"1,0728","1,0728",160.912.714,160.937.165,11,11,SA
27/05/2016,UNICA,PROM,"1,0745","1,0745",161.169.572,161.194.157,11,11,SA
28/05/2016,UNICA,PROM,"1,0745","1,0745",161.175.000,161.194.157,11,11,SA
29/05/2016,UNICA,PROM,"1,0745","1,0745",161.175.000,161.194.157,11,11,SA
30/05/2016,UNICA,PROM,"1,0746","1,0746",161.194.399,161.219.387,11,11,SA
31/05/2016,UNICA,PROM,"1,0749","1,0749",161.238.903,161.262.983,11,11,SA
