Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
17/11/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
18/11/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
19/11/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
20/11/2015,UNICA,PROM,"0,9999","0,9999",5.964.276,5.964.872,9,9,SA
21/11/2015,UNICA,PROM,"0,9999","0,9999",5.964.276,5.964.872,9,9,SA
22/11/2015,UNICA,PROM,"0,9999","0,9999",5.964.276,5.964.872,9,9,SA
23/11/2015,UNICA,PROM,"0,9999","0,9999",5.964.276,5.964.872,9,9,SA
24/11/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
25/11/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
26/11/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
27/11/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
28/11/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
29/11/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
30/11/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
01/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
02/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
03/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
04/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
05/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
06/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
07/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
08/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
09/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
10/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
11/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
12/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
13/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
14/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
15/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
16/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
17/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
18/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
19/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
20/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
21/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
22/12/2015,UNICA,PROM,"1,0000","1,0000",5.964.872,5.964.872,9,9,SA
23/12/2015,UNICA,PROM,"1,0035","1,0035",86.050.125,165.558.028,9,9,SA
24/12/2015,UNICA,PROM,"1,0020","1,0020",85.921.500,165.426.318,9,9,SA
25/12/2015,UNICA,PROM,"1,0020","1,0020",85.921.500,165.426.318,9,9,SA
26/12/2015,UNICA,PROM,"1,0020","1,0020",85.921.500,165.426.318,9,9,SA
27/12/2015,UNICA,PROM,"1,0020","1,0020",85.921.500,165.426.318,9,9,SA
28/12/2015,UNICA,PROM,"0,9999","0,9999",85.741.425,165.244.246,9,9,SA
29/12/2015,UNICA,PROM,"1,0097","1,0097",86.581.775,86.584.463,9,9,SA
30/12/2015,UNICA,PROM,"1,0031","1,0031",86.015.029,86.015.029,9,9,SA
31/12/2015,UNICA,PROM,"1,0030","1,0030",86.008.126,86.015.029,9,9,SA
01/01/2016,UNICA,PROM,"1,0030","1,0030",86.007.250,86.015.029,9,9,SA
02/01/2016,UNICA,PROM,"1,0030","1,0030",86.007.250,86.015.029,9,9,SA
03/01/2016,UNICA,PROM,"1,0030","1,0030",86.007.250,86.015.029,9,9,SA
04/01/2016,UNICA,PROM,"0,9808","0,9808",84.103.600,84.112.732,9,9,SA
05/01/2016,UNICA,PROM,"0,9824","0,9824",84.240.800,84.244.748,9,9,SA
06/01/2016,UNICA,PROM,"0,9709","0,9709",83.254.675,83.260.828,9,9,SA
07/01/2016,UNICA,PROM,"0,9493","0,9493",81.402.475,81.413.073,9,9,SA
08/01/2016,UNICA,PROM,"0,9397","0,9397",80.581.638,80.589.137,9,9,SA
09/01/2016,UNICA,PROM,"0,9397","0,9397",80.581.565,80.589.137,9,9,SA
10/01/2016,UNICA,PROM,"0,9397","0,9397",80.581.492,80.589.137,9,9,SA
11/01/2016,UNICA,PROM,"0,9406","0,9406",80.653.857,80.661.575,9,9,SA
12/01/2016,UNICA,PROM,"0,9476","0,9476",81.254.518,81.262.309,9,9,SA
13/01/2016,UNICA,PROM,"0,9258","0,9258",79.383.139,79.391.002,9,9,SA
14/01/2016,UNICA,PROM,"0,9398","0,9398",80.583.913,80.591.849,9,9,SA
15/01/2016,UNICA,PROM,"0,9211","0,9211",78.987.876,78.995.884,9,9,SA
16/01/2016,UNICA,PROM,"0,9211","0,9211",78.987.804,78.995.884,9,9,SA
17/01/2016,UNICA,PROM,"0,9211","0,9211",78.987.732,78.995.884,9,9,SA
18/01/2016,UNICA,PROM,"0,9211","0,9211",78.987.660,78.995.884,9,9,SA
19/01/2016,UNICA,PROM,"0,9223","0,9223",79.084.430,79.092.727,9,9,SA
20/01/2016,UNICA,PROM,"0,9112","0,9112",78.139.126,78.147.528,9,9,SA
21/01/2016,UNICA,PROM,"0,9159","0,9159",78.537.830,78.546.337,9,9,SA
22/01/2016,UNICA,PROM,"0,9330","0,9330",80.006.413,80.015.027,9,9,SA
23/01/2016,UNICA,PROM,"0,9330","0,9330",80.006.306,80.015.027,9,9,SA
24/01/2016,UNICA,PROM,"0,9330","0,9330",80.006.200,80.015.027,9,9,SA
25/01/2016,UNICA,PROM,"0,9201","0,9201",78.901.618,78.910.551,9,9,SA
26/01/2016,UNICA,PROM,"0,9316","0,9316",79.883.195,79.892.234,9,9,SA
27/01/2016,UNICA,PROM,"0,9223","0,9223",79.089.306,79.098.451,9,9,SA
28/01/2016,UNICA,PROM,"0,9267","0,9267",79.464.999,79.474.252,9,9,SA
