Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
01/02/2016,A,PROM,"1,0024","1,0024",160.384.000,310.716.805,15,13,E-MAIL
02/02/2016,A,PROM,"0,9853","0,9853",157.648.000,317.598.787,15,13,E-MAIL
03/02/2016,A,PROM,"0,9908","0,9908",158.528.000,318.476.769,15,13,E-MAIL
04/02/2016,A,PROM,"0,9921","0,9921",158.736.000,168.347.853,15,13,E-MAIL
05/02/2016,A,PROM,"0,9745","0,9745",155.920.000,155.920.000,15,13,E-MAIL
06/02/2016,A,PROM,"0,9745","0,9745",155.920.000,155.920.000,15,13,E-MAIL
07/02/2016,A,PROM,"0,9745","0,9745",155.920.000,155.920.000,15,13,E-MAIL
08/02/2016,A,PROM,"0,9620","0,9620",153.920.000,153.920.846,15,13,E-MAIL
09/02/2016,A,PROM,"0,9621","0,9621",153.936.000,153.946.000,15,13,E-MAIL
10/02/2016,A,PROM,"0,9615","0,9615",153.840.000,153.836.871,15,13,E-MAIL
11/02/2016,A,PROM,"0,9498","0,9498",151.968.000,151.970.715,15,13,E-MAIL
12/02/2016,A,PROM,"0,9681","0,9681",154.896.000,154.902.636,15,13,E-MAIL
13/02/2016,A,PROM,"0,9681","0,9681",154.896.000,154.902.636,15,13,E-MAIL
14/02/2016,A,PROM,"0,9681","0,9681",154.896.000,154.902.636,15,13,E-MAIL
15/02/2016,A,PROM,"0,9681","0,9681",154.896.000,154.902.636,15,13,E-.AIL
16/02/2016,A,PROM,"0,9834","0,9834",157.344.000,157.350.569,15,13,E-MAIL
17/02/2016,A,PROM,"0,9985","0,9985",159.760.000,159.770.510,15,13,E-MAIL
18/02/2016,A,PROM,"0,9946","0,9946",159.136.000,159.143.736,15,13,E-MAIL
19/02/2016,A,PROM,"0,9943","0,9943",159.088.000,159.091.650,15,13,E-MAIL
20/02/2016,A,PROM,"0,9943","0,9943",159.088.000,159.091.650,15,13,E-MAIL
21/02/2016,A,PROM,"0,9943","0,9943",159.088.000,159.091.650,15,13,E-MAIL
22/02/2016,A,PROM,"1,0078","1,0078",161.248.000,161.246.569,15,13,E-MAIL
