Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
23/03/2016,UNICA,PROM,"0,9999","0,9999",5.864.736,5.880.694,14,10,EMAIL
24/03/2016,UNICA,PROM,"0,9999","0,9999",5.864.736,5.880.602,14,10,EMAIL
25/03/2016,UNICA,PROM,"0,9999","0,9999",5.864.736,5.880.602,14,10,EMAIL
26/03/2016,UNICA,PROM,"0,9999","0,9999",5.864.736,5.880.602,14,10,EMIAL
27/03/2016,UNICA,PROM,"0,9999","0,9999",5.864.736,5.880.602,14,10,EMAIL
28/03/2016,UNICA,PROM,"0,9999","0,9999",5.864.736,5.880.572,14,10,EMAIL
29/03/2016,UNICA,PROM,"0,9999","0,9999",5.864.736,5.880.572,14,10,EMAIL
30/03/2016,UNICA,PROM,"0,9999","0,9999",5.864.736,5.880.574,14,10,EMAIL
31/03/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.880.576,14,10,EMAIL
01/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.881.109,14,10,EMAIL
02/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.881.642,14,10,EMAIL
03/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.882.175,14,10,EMAIL
04/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.882.709,14,10,EMAIL
05/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.883.241,14,10,EMAIL
06/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.883.774,14,10,EMAIL
07/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.884.312,14,10,EMAIL
08/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.884.806,14,10,EMAIL
09/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.885.340,14,10,EMAIL
10/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.885.873,14,10,EMAIL
11/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.886.414,14,10,EMAIL
12/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.870.976,14,10,EMAIL
13/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.871.510,14,10,EMAIL
14/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.872.045,14,10,EMAIL
15/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.872.579,14,10,EMAIL
16/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.873.112,14,10,EMAIL
17/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.873.646,14,10,EMAIL
18/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.874.180,14,10,EMAIL
19/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.874.716,14,10,EMAIL
20/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.875.248,14,10,EMAIL
21/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.875.782,14,10,EMAIL
22/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.876.313,14,10,EMAIL
23/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.876.847,14,10,EMAIL
24/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.877.380,14,10,EMAIL
25/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.877.913,14,10,EMAIL
26/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.878.446,14,10,EMAIL
27/04/2016,UNICA,PROM,"0,9998","0,9998",5.864.150,5.878.980,14,10,EMAIL
