Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
27/11/2017,UNICA,PROM,"1,0000","1,0000",465.781,465.781,11,3,SA
28/11/2017,UNICA,PROM,"1,0000","1,0000",465.781,465.781,11,3,SA
29/11/2017,UNICA,PROM,"1,0000","1,0000",465.781,465.781,11,3,SA
30/11/2017,UNICA,PROM,"1,0000","1,0000",465.781,465.781,11,3,SA
01/12/2017,UNICA,PROM,"1,0000","1,0000",465.781,465.781,11,3,SA
02/12/2017,UNICA,PROM,"1,0000","1,0000",465.781,465.781,11,3,SA
03/12/2017,UNICA,PROM,"1,0000","1,0000",465.781,465.781,11,3,SA
04/12/2017,UNICA,PROM,"1,0000","1,0000",465.781,465.781,11,3,SA
05/12/2017,UNICA,PROM,"1,0000","1,0000",465.781,465.781,11,3,SA
06/12/2017,UNICA,PROM,"1,0000","1,0000",465.781,465.781,11,3,SA
07/12/2017,UNICA,PROM,"1,0000","1,0000",465.781,465.781,11,3,SA
08/12/2017,UNICA,PROM,"1,0000","1,0000",465.781,465.781,11,3,SA
09/12/2017,UNICA,PROM,"1,0000","1,0000",465.781,465.781,11,3,SA
10/12/2017,UNICA,PROM,"1,0000","1,0000",465.781,465.781,11,3,SA
11/12/2017,UNICA,PROM,"1,0000","1,0000",465.781,465.781,11,3,SA
12/12/2017,UNICA,PROM,"0,9952","0,9952",463.534,465.781,11,3,SA
13/12/2017,UNICA,PROM,"0,9952","0,9952",463.534,465.781,11,3,SA
14/12/2017,UNICA,PROM,"0,9952","0,9952",463.534,465.781,11,3,SA
15/12/2017,UNICA,PROM,"0,9952","0,9952",463.534,465.781,11,3,SA
16/12/2017,UNICA,PROM,"0,9952","0,9952",463.534,465.781,11,3,SA
17/12/2017,UNICA,PROM,"0,9952","0,9952",463.534,465.781,11,3,SA
18/12/2017,UNICA,PROM,"0,9952","0,9952",463.534,465.781,11,3,SA
19/12/2017,UNICA,PROM,"0,9952","0,9952",463.534,465.781,11,3,SA
20/12/2017,UNICA,PROM,"0,9952","0,9952",463.534,465.781,11,3,SA
21/12/2017,UNICA,PROM,"0,9952","0,9952",463.534,465.781,11,3,SA
22/12/2017,UNICA,PROM,"0,9952","0,9952",463.534,465.781,11,3,SA
23/12/2017,UNICA,PROM,"0,9952","0,9952",463.534,465.781,11,3,SA
24/12/2017,UNICA,PROM,"0,9952","0,9952",463.534,465.781,11,3,SA
25/12/2017,UNICA,PROM,"0,9952","0,9952",463.534,465.781,11,3,SA
26/12/2017,UNICA,PROM,"0,9952","0,9952",463.534,465.781,11,3,SA
27/12/2017,UNICA,PROM,"0,9952","0,9952",463.534,465.781,11,3,SA
28/12/2017,UNICA,PROM,"0,9952","0,9952",463.532,465.781,11,3,SA
29/12/2017,UNICA,PROM,"0,9951","0,9951",463.518,465.767,11,3,SA
30/12/2017,UNICA,PROM,"0,9952","0,9952",463.548,465.798,11,3,SA
31/12/2017,UNICA,PROM,"0,9949","0,9949",463.429,465.828,11,3,SA
01/01/2018,UNICA,PROM,"0,9950","0,9950",463.453,465.859,11,3,SA
02/01/2018,UNICA,PROM,"0,9951","0,9951",463.490,465.903,11,3,SA
03/01/2018,UNICA,PROM,"0,9951","0,9951",463.510,465.930,11,3,SA
04/01/2018,UNICA,PROM,"0,9952","0,9952",463.525,465.951,11,3,SA
05/01/2018,UNICA,PROM,"0,9951","0,9951",463.518,465.951,11,3,SA
06/01/2018,UNICA,PROM,"0,9951","0,9951",463.512,465.951,11,3,SA
07/01/2018,UNICA,PROM,"0,9951","0,9951",463.505,465.951,11,3,SA
08/01/2018,UNICA,PROM,"0,9951","0,9951",463.499,465.951,11,3,SA
09/01/2018,UNICA,PROM,"0,9951","0,9951",463.492,465.951,11,3,SA
10/01/2018,UNICA,PROM,"0,9951","0,9951",463.485,465.949,11,3,SA
11/01/2018,UNICA,PROM,"0,9951","0,9951",463.479,465.949,11,3,SA
12/01/2018,UNICA,PROM,"0,9950","0,9950",463.472,465.949,11,3,SA
13/01/2018,UNICA,PROM,"0,9950","0,9950",463.466,465.949,11,3,SA
14/01/2018,UNICA,PROM,"0,9950","0,9950",463.459,465.949,11,3,SA
15/01/2018,UNICA,PROM,"0,9950","0,9950",463.453,465.949,11,3,SA
16/01/2018,UNICA,PROM,"0,9950","0,9950",463.446,465.949,11,3,SA
17/01/2018,UNICA,PROM,"0,9950","0,9950",463.439,465.949,11,3,SA
18/01/2018,UNICA,PROM,"0,9950","0,9950",463.433,465.949,11,3,SA
19/01/2018,UNICA,PROM,"0,9949","0,9949",463.426,465.949,11,3,SA
20/01/2018,UNICA,PROM,"0,9949","0,9949",463.420,465.949,11,3,SA
21/01/2018,UNICA,PROM,"0,9949","0,9949",463.413,465.949,11,3,SA
22/01/2018,UNICA,PROM,"0,9949","0,9949",463.407,465.949,11,3,SA
23/01/2018,UNICA,PROM,"0,9949","0,9949",463.400,465.949,11,3,SA
24/01/2018,UNICA,PROM,"0,9949","0,9949",463.393,465.949,11,3,SA
25/01/2018,UNICA,PROM,"0,9949","0,9949",463.387,465.949,11,3,SA
26/01/2018,UNICA,PROM,"0,9948","0,9948",463.380,465.949,11,3,SA
27/01/2018,UNICA,PROM,"0,9948","0,9948",463.374,465.949,11,3,SA
