Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
24/05/2016,UNICA,PROM,"1,0000","1,0000",120.000.000,120.000.000,18,18,E-MAIL
25/05/2016,UNICA,PROM,"0,9994","0,9994",119.928.000,240.238.508,18,18,E-MAIL
26/05/2016,UNICA,PROM,"0,9992","0,9992",119.904.000,240.215.892,18,18,E-MAIL
27/05/2016,UNICA,PROM,"1,0037","1,0037",120.444.000,240.754.065,18,18,E-MAIL
28/05/2016,UNICA,PROM,"1,0037","1,0037",120.444.000,240.754.065,18,18,E-MAIL
29/05/2016,UNICA,PROM,"1,0037","1,0037",120.444.000,240.754.065,18,18,E-MAIL
30/05/2016,UNICA,PROM,"1,0037","1,0037",120.444.000,240.754.065,18,18,E-MAIL
31/05/2016,UNICA,PROM,"1,0033","1,0033",120.396.000,120.391.018,18,18,E-MAIL
01/06/2016,UNICA,PROM,"1,0060","1,0060",120.720.000,120.720.000,18,18,E-MAIL
02/06/2016,UNICA,PROM,"1,0093","1,0093",121.116.000,121.119.793,18,18,E-MAIL
03/06/2016,UNICA,PROM,"1,0065","1,0065",120.780.000,120.783.436,18,18,E-MAIL
04/06/2016,UNICA,PROM,"1,0065","1,0065",120.780.000,120.783.436,18,18,E-MAIL
05/06/2016,UNICA,PROM,"1,0065","1,0065",120.780.000,120.783.436,18,18,E-MAIL
06/06/2016,UNICA,PROM,"1,0118","1,0118",121.416.000,121.416.000,18,18,E-MAIL
07/06/2016,UNICA,PROM,"1,0137","1,0137",121.644.000,121.646.754,18,18,E-MAIL
08/06/2016,UNICA,PROM,"1,0173","1,0173",122.076.000,122.076.000,18,18,E-MAIL
09/06/2016,UNICA,PROM,"1,0152","1,0152",121.824.000,121.826.145,18,18,E-MAIL
10/06/2016,UNICA,PROM,"1,0047","1,0047",120.564.000,120.570.096,18,18,E-MAIL
11/06/2016,UNICA,PROM,"1,0047","1,0047",120.564.000,120.570.096,18,18,E-MAIL
12/06/2016,UNICA,PROM,"1,0047","1,0047",120.564.000,120.570.096,18,18,E-MAIL
