Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
09/08/2016,A,PROM,"1,0000","1,0000",532.951,8.186.186,15,0,E-MAIL
09/08/2016,B,PROM,"1,0000","1,0000",7.653.235,8.186.186,31,8,E-MAIL
10/08/2016,A,PROM,"1,0000","1,0000",532.951,8.186.186,15,0,E-MAIL
10/08/2016,B,PROM,"1,0000","1,0000",7.653.235,8.186.186,31,8,E-MAIL
11/08/2016,A,PROM,"1,0000","1,0000",532.951,8.186.186,15,0,E-MAIL
11/08/2016,B,PROM,"1,0000","1,0000",7.653.235,8.186.186,31,8,E-MAIL
12/08/2016,A,PROM,"0,9769","0,9769",520.640,7.997.085,15,0,E-MAIL
12/08/2016,B,PROM,"0,9769","0,9769",7.476.445,7.997.085,31,8,E-MAIL
13/08/2016,A,PROM,"0,9769","0,9769",520.640,7.997.085,15,0,E-MAIL
13/08/2016,B,PROM,"0,9769","0,9769",7.476.445,7.997.085,31,8,E-MAIL
14/08/2016,A,PROM,"0,9769","0,9769",520.640,7.997.085,15,0,E-MAIL
14/08/2016,B,PROM,"0,9769","0,9769",7.476.445,7.997.085,31,8,E-MAIL
15/08/2016,A,PROM,"0,9769","0,9769",520.640,7.997.085,15,0,E-MAIL
15/08/2016,B,PROM,"0,9769","0,9769",7.476.445,7.997.085,31,8,E-MAIL
16/08/2016,A,PROM,"0,9769","0,9769",520.640,7.996.996,15,0,E-MAIL
16/08/2016,B,PROM,"0,9769","0,9769",7.476.445,7.996.996,31,8,E-MAIL
17/08/2016,A,PROM,"0,9769","0,9769",520.640,7.997.085,15,0,E-MAIL
17/08/2016,B,PROM,"0,9769","0,9769",7.476.445,7.997.085,31,8,E-MAIL
18/08/2016,A,PROM,"0,9769","0,9769",520.640,7.997.085,15,0,E-MAIL
18/08/2016,B,PROM,"0,9769","0,9769",7.476.445,7.997.085,31,8,E-MAIL
19/08/2016,A,PROM,"0,9767","0,9767",520.533,7.995.369,15,0,E-MAIL
19/08/2016,B,PROM,"0,9767","0,9767",7.474.915,7.995.369,31,8,E-MAIL
20/08/2016,A,PROM,"0,9767","0,9767",520.533,7.995.448,15,0,E-MAIL
20/08/2016,B,PROM,"0,9767","0,9767",7.474.915,7.995.448,31,8,E-MAIL
21/08/2016,A,PROM,"0,9767","0,9767",520.533,7.995.448,15,0,E-MAIL
21/08/2016,B,PROM,"0,9767","0,9767",7.474.915,7.995.448,31,8,E-MAIL
22/08/2016,A,PROM,"0,9767","0,9767",520.533,7.995.448,15,0,E-MAIL
22/08/2016,B,PROM,"0,9767","0,9767",7.474.915,7.995.448,31,8,E-MAIL
23/08/2016,A,PROM,"0,9767","0,9767",520.533,7.995.448,15,0,E-MAIL
23/08/2016,B,PROM,"0,9767","0,9767",7.474.915,7.995.448,31,8,E-MAIL
24/08/2016,A,PROM,"0,9765","0,9765",520.427,7.995.347,15,0,E-MAIL
24/08/2016,B,PROM,"0,9765","0,9765",7.473.384,7.995.347,31,8,E-MAIL
25/08/2016,A,PROM,"0,9765","0,9765",520.427,7.995.359,15,0,E-MAIL
25/08/2016,B,PROM,"0,9765","0,9765",7.473.384,7.995.359,31,8,E-MAIL
26/08/2016,A,PROM,"0,9765","0,9765",520.427,7.995.365,15,0,E-MAIL
26/08/2016,B,PROM,"0,9765","0,9765",7.473.384,7.995.365,31,8,E-MAIL
27/08/2016,A,PROM,"0,9765","0,9765",520.427,7.995.365,15,0,E-MAIL
27/08/2016,B,PROM,"0,9765","0,9765",7.473.384,7.995.365,31,8,E-MAIL
28/08/2016,A,PROM,"0,9765","0,9765",520.427,7.995.365,15,0,E-MAIL
28/08/2016,B,PROM,"0,9765","0,9765",7.473.384,7.995.365,31,8,E-MAIL
29/08/2016,A,PROM,"0,9764","0,9764",520.373,7.995.348,15,0,E-MAIL
29/08/2016,B,PROM,"0,9764","0,9764",7.472.619,7.995.348,31,8,E-MAIL
30/08/2016,A,PROM,"0,9764","0,9764",520.373,7.995.344,15,0,E-MAIL
30/08/2016,B,PROM,"0,9764","0,9764",7.472.619,7.995.344,31,8,E-MAIL
31/08/2016,A,PROM,"0,9764","0,9764",520.373,7.995.333,15,0,E-MAIL
31/08/2016,B,PROM,"0,9764","0,9764",7.472.619,7.995.333,31,8,E-MAIL
01/09/2016,A,PROM,"0,9763","0,9763",520.320,7.995.270,15,0,E-MAIL
01/09/2016,B,PROM,"0,9764","0,9764",7.472.619,7.995.270,31,8,E-MAIL
02/09/2016,A,PROM,"0,9762","0,9762",520.267,7.995.280,15,0,E-MAIL
02/09/2016,B,PROM,"0,9764","0,9764",7.472.619,7.995.280,31,8,E-MAIL
03/09/2016,A,PROM,"0,9761","0,9761",520.213,7.995.280,15,0,E-MAIL
03/09/2016,B,PROM,"0,9763","0,9763",7.471.853,7.995.280,31,8,E-MAIL
04/09/2016,A,PROM,"0,9760","0,9760",520.160,7.995.280,15,0,E-MAIL
04/09/2016,B,PROM,"0,9763","0,9763",7.471.853,7.995.280,31,8,E-MAIL
05/09/2016,A,PROM,"0,9763","0,9763",520.320,7.995.284,15,0,E-MAIL
05/09/2016,B,PROM,"0,9767","0,9767",7.474.915,7.995.284,31,8,E-MAIL
06/09/2016,A,PROM,"0,9763","0,9763",520.320,7.995.284,15,0,E-MAIL
06/09/2016,B,PROM,"0,9767","0,9767",7.474.915,7.995.284,31,8,E-MAIL
07/09/2016,A,PROM,"0,9762","0,9762",520.267,7.995.292,15,0,E-MAIL
07/09/2016,B,PROM,"0,9767","0,9767",7.474.915,7.995.292,31,8,E-MAIL
08/09/2016,A,PROM,"0,9761","0,9761",520.213,7.995.309,15,0,E-MAIL
08/09/2016,B,PROM,"0,9767","0,9767",7.474.915,7.995.309,31,8,E-MAIL
09/09/2016,A,PROM,"0,9760","0,9760",520.160,7.995.290,15,0,E-MAIL
09/09/2016,B,PROM,"0,9766","0,9766",7.474.149,7.995.290,31,8,E-MAIL
10/09/2016,A,PROM,"0,9759","0,9759",520.107,7.995.290,15,0,E-MAIL
10/09/2016,B,PROM,"0,9766","0,9766",7.474.149,7.995.290,31,8,E-MAIL
11/09/2016,A,PROM,"0,9758","0,9758",520.054,7.995.290,15,0,E-MAIL
11/09/2016,B,PROM,"0,9766","0,9766",7.474.149,7.995.290,31,8,E-MAIL
12/09/2016,A,PROM,"0,9757","0,9757",520.000,7.995.282,15,0,E-MAIL
12/09/2016,B,PROM,"0,9766","0,9766",7.474.149,7.995.282,31,8,E-MAIL
13/09/2016,A,PROM,"0,9756","0,9756",519.947,7.995.285,15,0,E-MAIL
13/09/2016,B,PROM,"0,9766","0,9766",7.474.149,7.995.285,31,8,E-MAIL
14/09/2016,A,PROM,"0,9755","0,9755",519.894,7.995.281,15,0,E-MAIL
14/09/2016,B,PROM,"0,9765","0,9765",7.473.384,7.995.281,31,8,E-MAIL
15/09/2016,A,PROM,"0,9754","0,9754",519.840,7.995.288,15,0,EMAIL
15/09/2016,B,PROM,"0,9765","0,9765",7.473.384,7.995.288,31,8,EMAIL
16/09/2016,A,PROM,"0,9752","0,9752",519.734,7.995.281,15,0,E-MAIL
16/09/2016,B,PROM,"0,9765","0,9765",7.473.384,7.995.281,31,8,E-MAIL
17/09/2016,A,PROM,"0,9751","0,9751",519.681,7.995.281,15,0,E-MAIL
17/09/2016,B,PROM,"0,9765","0,9765",7.473.384,7.995.281,31,8,E-MAIL
18/09/2016,A,PROM,"0,9750","0,9750",519.627,7.995.281,15,0,E-MAIL
18/09/2016,B,PROM,"0,9765","0,9765",7.473.384,7.995.281,31,8,E-MAIL
19/09/2016,A,PROM,"0,9749","0,9749",519.574,7.995.281,15,0,E-MAIL
19/09/2016,B,PROM,"0,9765","0,9765",7.473.384,7.995.281,31,8,E-MAIL
20/09/2016,A,PROM,"0,9748","0,9748",519.521,7.995.285,15,0,E-MAIL
20/09/2016,B,PROM,"0,9764","0,9764",7.472.619,7.995.285,31,8,E-MAIL
21/09/2016,A,PROM,"0,9747","0,9747",519.467,7.995.297,15,0,E-MAIL
21/09/2016,B,PROM,"0,9764","0,9764",7.472.619,7.995.297,31,8,E-MAIL
22/09/2016,A,PROM,"0,9746","0,9746",519.414,7.995.317,15,0,E-MAIL
22/09/2016,B,PROM,"0,9764","0,9764",7.472.619,7.995.317,31,8,E-MAIL
23/09/2016,A,PROM,"0,9745","0,9745",519.361,7.995.312,15,0,E-MAIL
23/09/2016,B,PROM,"0,9764","0,9764",7.472.619,7.995.312,31,8,E-MAIL
24/09/2016,A,PROM,"0,9744","0,9744",519.307,7.995.312,15,0,E-MAIL
24/09/2016,B,PROM,"0,9764","0,9764",7.472.619,7.995.312,31,8,E-MAIL
25/09/2016,A,PROM,"0,9743","0,9743",519.254,7.995.312,15,0,E-MAIL
25/09/2016,B,PROM,"0,9763","0,9763",7.471.853,7.995.312,31,8,E-MAIL
26/09/2016,A,PROM,"0,9742","0,9742",519.201,7.995.312,15,0,E-MAIL
26/09/2016,B,PROM,"0,9763","0,9763",7.471.853,7.995.312,31,8,E-MAIL
27/09/2016,A,PROM,"0,9741","0,9741",519.148,7.995.306,15,0,E-MAIL
27/09/2016,B,PROM,"0,9763","0,9763",7.471.853,7.995.306,31,8,E-MAIL
28/09/2016,A,PROM,"0,9739","0,9739",519.041,7.995.307,15,0,E-MAIL
28/09/2016,B,PROM,"0,9763","0,9763",7.471.853,7.995.307,31,8,E-MAIL
29/09/2016,A,PROM,"0,9738","0,9738",518.988,7.995.307,15,0,E-MAIL
29/09/2016,B,PROM,"0,9763","0,9763",7.471.853,7.995.307,31,8,E-MAIL
30/09/2016,A,PROM,"0,9737","0,9737",518.934,7.995.315,15,0,E-MAIL
