Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
12/05/2016,UNICA,EUR,"1,0000","1,0000",112.700.000,112.700.000,18,18,E-MAIL
13/05/2016,UNICA,EUR,"0,9957","0,9957",112.215.390,224.518.157,18,18,E-MAIL
14/05/2016,UNICA,EUR,"0,9957","0,9957",112.215.390,224.518.157,18,18,E-MAIL
15/05/2016,UNICA,EUR,"0,9957","0,9957",112.215.390,224.518.157,18,18,E-MAIL
16/05/2016,UNICA,EUR,"1,0056","1,0056",113.331.120,225.453.192,18,18,E-MAIL
17/05/2016,UNICA,EUR,"0,9982","0,9982",112.497.140,224.659.721,18,18,E-MAIL
18/05/2016,UNICA,EUR,"1,0057","1,0057",113.342.390,113.342.390,18,18,E-MAIL
19/05/2016,UNICA,EUR,"1,0043","1,0043",113.184.610,113.188.747,18,18,E-MAIL
20/05/2016,UNICA,EUR,"1,0095","1,0095",113.770.650,113.772.103,18,18,E-MAIL
21/05/2016,UNICA,EUR,"1,0095","1,0095",113.770.650,113.772.103,18,18,E-MAIL
22/05/2016,UNICA,EUR,"1,0095","1,0095",113.770.650,113.772.103,18,18,E-MAIL
23/05/2016,UNICA,EUR,"1,0086","1,0086",113.669.220,113.670.263,18,18,E-MAIL
24/05/2016,UNICA,EUR,"1,0292","1,0292",115.990.840,115.993.896,18,18,E-MAIL
25/05/2016,UNICA,EUR,"1,0354","1,0354",116.689.580,116.689.580,18,18,E-MAIL
26/05/2016,UNICA,EUR,"1,0326","1,0326",116.374.020,116.378.674,18,18,E-MAIL
27/05/2016,UNICA,EUR,"1,0436","1,0436",117.613.720,117.616.974,18,18,E-MAIL
28/05/2016,UNICA,EUR,"1,0436","1,0436",117.613.720,117.616.974,18,18,E-MAIL
29/05/2016,UNICA,EUR,"1,0436","1,0436",117.613.720,117.616.974,18,18,E-MAIL
30/05/2016,UNICA,EUR,"1,0418","1,0418",117.410.860,117.410.860,18,18,E-MAIL
31/05/2016,UNICA,EUR,"1,0413","1,0413",117.354.510,117.353.108,18,18,E-MAIL
01/06/2016,UNICA,EUR,"1,0398","1,0398",117.185.460,117.185.460,18,18,E-MAIL
02/06/2016,UNICA,EUR,"1,0461","1,0461",117.895.470,117.901.549,18,18,E-MAIL
03/06/2016,UNICA,EUR,"1,0263","1,0263",115.664.010,115.661.958,18,18,E-MAIL
04/06/2016,UNICA,EUR,"1,0263","1,0263",115.664.010,115.661.958,18,18,E-MAIL
05/06/2016,UNICA,EUR,"1,0263","1,0263",115.664.010,115.664.010,18,18,E-MAIL
06/06/2016,UNICA,EUR,"1,0290","1,0290",115.968.300,115.969.754,18,18,E-MAIL
07/06/2016,UNICA,EUR,"1,0311","1,0311",116.204.970,116.206.540,18,18,E-MAIL
08/06/2016,UNICA,EUR,"1,0316","1,0316",116.261.320,116.266.681,18,18,E-MAIL
09/06/2016,UNICA,EUR,"1,0359","1,0359",116.745.930,116.747.145,18,18,E-MAIL
10/06/2016,UNICA,EUR,"1,0317","1,0317",116.272.590,116.272.590,18,18,E-MAIL
11/06/2016,UNICA,EUR,"1,0317","1,0317",116.272.590,116.272.590,18,18,E-MAIL
12/06/2016,UNICA,EUR,"1,0317","1,0317",116.272.590,116.272.590,18,18,E-MAIL
13/06/2016,UNICA,EUR,"1,0196","1,0196",114.908.920,114.910.789,18,18,E-MAIL
14/06/2016,UNICA,EUR,"1,0212","1,0212",115.089.240,115.089.456,18,18,E-MAIL
15/06/2016,UNICA,EUR,"1,0132","1,0132",114.187.640,114.187.640,18,18,E-MAIL
16/06/2016,UNICA,EUR,"1,0206","1,0206",115.021.620,115.022.389,18,18,E-MAIL
17/06/2016,UNICA,EUR,"1,0130","1,0130",114.165.100,114.166.657,18,18,E-MAIL
18/06/2016,UNICA,EUR,"1,0130","1,0130",114.165.100,114.166.657,18,18,E-MAIL
19/06/2016,UNICA,EUR,"1,0130","1,0130",114.165.100,114.166.657,18,18,E-MAIL
20/06/2016,UNICA,EUR,"1,0173","1,0173",114.649.710,114.645.225,18,18,E-MAIL
21/06/2016,UNICA,EUR,"1,0276","1,0276",115.810.520,115.810.520,18,18,E-MAIL
22/06/2016,UNICA,EUR,"1,0210","1,0210",115.066.700,115.066.700,18,18,E-MAIL
23/06/2016,UNICA,EUR,"1,0306","1,0306",116.148.620,116.148.620,18,18,E-MAIL
24/06/2016,UNICA,EUR,"1,0128","1,0128",114.142.560,114.144.526,18,18,E-MAIL
25/06/2016,UNICA,EUR,"1,0128","1,0128",114.142.560,114.144.526,18,18,E-MAIL
26/06/2016,UNICA,EUR,"1,0128","1,0128",114.142.560,114.144.526,18,18,E-MAIL
27/06/2016,UNICA,EUR,"1,0128","1,0128",114.142.560,114.144.526,18,18,E-MAIL
28/06/2016,UNICA,EUR,"1,0193","1,0193",114.875.110,114.876.997,18,18,E-MAIL
29/06/2016,UNICA,EUR,"1,0315","1,0315",116.250.050,116.256.447,18,18,E-MAIL
30/06/2016,UNICA,EUR,"1,0493","1,0493",118.256.110,118.256.110,18,18,E-MAIL
01/07/2016,UNICA,EUR,"1,0462","1,0462",117.906.740,118.399.993,18,18,E-MAIL
02/07/2016,UNICA,EUR,"1,0462","1,0462",117.906.740,118.399.993,18,18,E-MAIL
03/07/2016,UNICA,EUR,"1,0462","1,0462",117.906.740,118.399.993,18,18,E-MAIL
04/07/2016,UNICA,EUR,"1,0432","1,0432",117.568.640,118.057.689,18,18,E-MAIL
05/07/2016,UNICA,EUR,"1,0424","1,0424",117.478.480,117.977.989,18,18,E-MAIL
06/07/2016,UNICA,EUR,"1,0468","1,0468",117.974.360,118.471.760,18,18,E-MAIL
07/07/2016,UNICA,EUR,"1,0496","1,0496",118.289.920,118.286.947,18,18,E-MAIL
08/07/2016,UNICA,EUR,"1,0680","1,0680",120.363.600,120.369.080,18,18,E-MAIL
09/07/2016,UNICA,EUR,"1,0680","1,0680",120.363.600,120.369.080,18,18,E-MAIL
10/07/2016,UNICA,EUR,"1,0680","1,0680",120.363.600,120.369.080,18,18,E-MAIL
11/07/2016,UNICA,EUR,"1,0708","1,0708",120.679.160,120.679.834,18,18,E-MAIL
12/07/2016,UNICA,EUR,"1,0789","1,0789",121.592.030,121.592.030,18,18,E-MAIL
13/07/2016,UNICA,EUR,"1,0742","1,0742",121.062.340,121.066.864,18,18,E-MAIL
14/07/2016,UNICA,EUR,"1,0781","1,0781",121.501.870,121.501.870,18,18,E-MAIL
15/07/2016,UNICA,EUR,"1,0833","1,0833",122.087.910,122.087.910,18,18,E-MAIL
16/07/2016,UNICA,EUR,"1,0833","1,0833",122.087.910,122.087.910,18,18,E-MAIL
17/07/2016,UNICA,EUR,"1,0833","1,0833",122.087.910,122.087.910,18,18,E-MAIL
18/07/2016,UNICA,EUR,"1,0846","1,0846",122.234.420,122.237.186,18,18,E-MAIL
19/07/2016,UNICA,EUR,"1,0888","1,0888",122.707.760,122.710.664,18,18,E-MAIL
20/07/2016,UNICA,EUR,"1,0953","1,0953",123.440.310,123.446.414,18,18,E-MAIL
21/07/2016,UNICA,EUR,"1,0899","1,0899",122.831.730,122.836.417,18,18,E-MAIL
22/07/2016,UNICA,EUR,"1,1008","1,1008",124.060.160,124.062.505,18,18,E-MAIL
23/07/2016,UNICA,EUR,"1,1008","1,1008",124.060.160,124.062.505,18,18,E-MAIL
24/07/2016,UNICA,EUR,"1,1008","1,1008",124.060.160,124.062.505,18,18,E-MAIL
25/07/2016,UNICA,EUR,"1,0945","1,0945",123.350.150,123.350.150,18,18,E-MAIL
26/07/2016,UNICA,EUR,"1,0962","1,0962",123.541.740,123.547.349,18,18,E-MAIL
27/07/2016,UNICA,EUR,"1,0939","1,0939",123.282.530,123.280.868,18,18,E-MAIL
28/07/2016,UNICA,EUR,"1,0880","1,0880",122.617.600,122.621.912,18,18,E-MAIL
29/07/2016,UNICA,EUR,"1,0812","1,0812",121.851.240,121.847.153,18,18,E-MAIL
30/07/2016,UNICA,EUR,"1,0812","1,0812",121.851.240,121.851.240,18,18,E-MAIL
31/07/2016,UNICA,EUR,"1,0812","1,0812",121.851.240,121.851.240,18,18,E-MAIL
01/08/2016,UNICA,EUR,"1,0793","1,0793",121.637.110,121.641.371,18,18,E-MAIL
02/08/2016,UNICA,EUR,"1,0654","1,0654",120.070.580,120.075.982,18,18,E-MAIL
03/08/2016,UNICA,EUR,"1,0777","1,0777",121.456.790,121.455.580,18,18,E-MAIL
04/08/2016,UNICA,EUR,"1,0800","1,0800",121.716.000,121.719.959,18,18,E-MAIL
05/08/2016,UNICA,EUR,"1,0931","1,0931",123.192.370,123.193.445,18,18,E-MAIL
06/08/2016,UNICA,EUR,"1,0931","1,0931",123.192.370,123.193.445,18,18,E-MAIL
07/08/2016,UNICA,EUR,"1,0931","1,0931",123.192.370,123.193.445,18,18,E-MAIL
08/08/2016,UNICA,EUR,"1,0934","1,0934",123.226.180,123.224.899,18,18,E-MAIL
09/08/2016,UNICA,EUR,"1,0918","1,0918",123.045.860,123.048.097,18,18,E-MAIL
10/08/2016,UNICA,EUR,"1,0819","1,0819",121.930.130,121.935.925,18,18,E-MAIL
11/08/2016,UNICA,EUR,"1,0909","1,0909",122.944.430,122.944.882,18,18,E-MAIL
12/08/2016,UNICA,EUR,"1,0868","1,0868",122.482.360,122.482.296,18,18,E-MAIL
13/08/2016,UNICA,EUR,"1,0868","1,0868",122.482.360,122.482.296,18,18,E-MAIL
14/08/2016,UNICA,EUR,"1,0868","1,0868",122.482.360,122.482.360,18,18,E-MAIL
15/08/2016,UNICA,EUR,"1,0868","1,0868",122.482.360,122.482.360,18,18,E-MAIL
16/08/2016,UNICA,EUR,"1,0749","1,0749",121.141.230,121.138.693,18,18,E-MAIL
17/08/2016,UNICA,EUR,"1,0768","1,0768",121.355.360,121.358.699,18,18,E-MAIL
18/08/2016,UNICA,EUR,"1,0734","1,0734",120.972.180,120.972.180,18,18,E-MAIL
19/08/2016,UNICA,EUR,"1,0739","1,0739",121.028.530,121.030.616,18,18,E-MAIL
20/08/2016,UNICA,EUR,"1,0739","1,0739",121.028.530,121.030.616,18,18,E-MAIL
21/08/2016,UNICA,EUR,"1,0739","1,0739",121.028.530,121.030.616,18,18,E-MAIL
22/08/2016,UNICA,EUR,"1,0738","1,0738",121.017.260,121.021.900,18,18,E-MAIL
23/08/2016,UNICA,EUR,"1,0766","1,0766",121.332.820,121.331.794,18,18,E-MAIL
24/08/2016,UNICA,EUR,"1,0759","1,0759",121.253.930,121.253.128,18,18,E-MAIL
25/08/2016,UNICA,EUR,"1,0740","1,0740",121.039.800,121.040.771,18,18,E-MAIL
26/08/2016,UNICA,EUR,"1,0767","1,0767",121.344.090,121.347.708,18,18,E-MAIL
27/08/2016,UNICA,EUR,"1,0767","1,0767",121.344.090,121.347.708,18,18,E-MAIL
28/08/2016,UNICA,EUR,"1,0767","1,0767",121.344.090,121.347.708,18,18,E-MAIL
29/08/2016,UNICA,EUR,"1,0865","1,0865",122.448.550,122.449.158,18,18,E-MAIL
30/08/2016,UNICA,EUR,"1,0886","1,0886",122.685.220,122.690.158,18,18,E-MAIL
31/08/2016,UNICA,EUR,"1,0844","1,0844",122.211.880,122.216.867,18,18,E-MAIL
01/09/2016,UNICA,EUR,"1,0810","1,0810",121.828.700,121.831.397,18,18,E-MAIL
02/09/2016,UNICA,EUR,"1,0902","1,0902",122.865.540,122.864.266,18,18,E-MAIL
