Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
09/06/2016,UNICA,PROM,"1,0000","1,0000",143.500.000,143.500.000,15,15,E-MAIL
10/06/2016,UNICA,PROM,"1,0000","1,0000",143.500.000,143.500.000,15,15,EMAIL
11/06/2016,UNICA,PROM,"1,0000","1,0000",143.500.000,143.500.000,15,15,EMAIL
12/06/2016,UNICA,PROM,"1,0000","1,0000",143.500.000,143.500.000,15,15,EMAIL
13/06/2016,UNICA,PROM,"0,9948","0,9948",142.753.800,286.155.572,15,15,EMAIL
14/06/2016,UNICA,PROM,"0,9929","0,9929",142.481.150,285.875.524,15,15,EMAIL
15/06/2016,UNICA,PROM,"0,9915","0,9915",142.280.250,285.677.061,15,15,EMAIL
16/06/2016,UNICA,PROM,"0,9944","0,9944",142.696.400,142.702.567,15,15,EMAIL
17/06/2016,UNICA,PROM,"0,9892","0,9892",141.950.200,141.953.246,15,15,EMAIL
18/06/2016,UNICA,PROM,"0,9892","0,9892",141.950.200,141.953.246,15,15,EMAIL
19/06/2016,UNICA,PROM,"0,9892","0,9892",141.950.200,141.953.246,15,15,EMAIL
20/06/2016,UNICA,PROM,"0,9956","0,9956",142.868.600,142.863.464,15,15,EMAIL
21/06/2016,UNICA,PROM,"0,9984","0,9984",143.270.400,143.266.797,15,15,EMAIL
22/06/2016,UNICA,PROM,"0,9968","0,9968",143.040.800,143.034.115,15,15,EMAIL
23/06/2016,UNICA,PROM,"1,0097","1,0097",144.891.950,144.888.755,15,15,EMAIL
24/06/2016,UNICA,PROM,"0,9731","0,9731",139.639.850,139.632.800,15,15,EMAIL
25/06/2016,UNICA,PROM,"0,9731","0,9731",139.639.850,139.639.850,15,15,EMAIL
26/06/2016,UNICA,PROM,"0,9731","0,9731",139.639.850,139.639.850,15,15,EMAIL
27/06/2016,UNICA,PROM,"0,9562","0,9562",137.214.700,137.216.982,15,15,EMAIL
28/06/2016,UNICA,PROM,"0,9734","0,9734",139.682.900,139.639.850,15,15,EMAIL
29/06/2016,UNICA,PROM,"0,9899","0,9899",142.050.650,142.048.636,15,15,EMAIL
30/06/2016,UNICA,PROM,"1,0033","1,0033",143.973.550,143.975.132,15,15,EMAIL
01/07/2016,UNICA,PROM,"1,0054","1,0054",144.274.900,144.280.225,15,15,EMAIL
