Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
26/07/2016,UNICA,PROM,"0,9999","0,9999",146.985.300,244.855.965,16,12,N/A
27/07/2016,UNICA,PROM,"0,9992","0,9992",146.882.400,195.980.662,16,12,N/A
28/07/2016,UNICA,PROM,"1,0004","1,0004",147.058.800,196.157.358,16,12,N/A
29/07/2016,UNICA,PROM,"1,0022","1,0022",147.323.400,196.425.314,16,12,N/A
30/07/2016,UNICA,PROM,"1,0022","1,0022",147.323.400,196.425.314,16,12,N/A
31/07/2016,UNICA,PROM,"1,0022","1,0022",147.323.400,196.425.314,16,12,N/A
01/08/2016,UNICA,PROM,"1,0011","1,0011",147.161.700,147.167.497,16,12,N/A
02/08/2016,UNICA,PROM,"0,9945","0,9945",146.191.500,146.192.690,16,12,N/A
03/08/2016,UNICA,PROM,"0,9977","0,9977",146.661.900,146.659.952,16,12,N/A
04/08/2016,UNICA,PROM,"0,9987","0,9987",146.808.900,146.814.165,16,12,N/A
05/08/2016,UNICA,PROM,"1,0069","1,0069",148.014.300,148.008.946,16,12,N/A
06/08/2016,UNICA,PROM,"1,0069","1,0069",148.014.300,148.008.946,16,12,N/A
07/08/2016,UNICA,PROM,"1,0069","1,0069",148.014.300,148.008.946,16,12,N/A
08/08/2016,UNICA,PROM,"1,0063","1,0063",147.926.100,147.921.715,16,12,N/A
09/08/2016,UNICA,PROM,"1,0070","1,0070",148.029.000,148.026.669,16,12,N/A
10/08/2016,UNICA,PROM,"1,0043","1,0043",147.632.100,147.637.402,16,12,N/A
11/08/2016,UNICA,PROM,"1,0091","1,0091",148.337.700,148.339.650,16,12,N/A
12/08/2016,UNICA,PROM,"1,0082","1,0082",148.205.400,148.207.671,16,12,N/A
13/08/2016,UNICA,PROM,"1,0082","1,0082",148.205.400,148.207.615,16,12,N/A
14/08/2016,UNICA,PROM,"1,0082","1,0082",148.205.400,148.207.559,16,12,N/A
15/08/2016,UNICA,PROM,"1,0082","1,0082",148.205.400,148.207.502,16,12,N/A
16/08/2016,UNICA,PROM,"1,0061","1,0061",147.896.700,147.889.584,16,12,N/A
17/08/2016,UNICA,PROM,"1,0077","1,0077",148.131.900,148.133.867,16,12,N/A
18/08/2016,UNICA,PROM,"1,0103","1,0103",148.514.100,148.513.561,16,12,N/A
19/08/2016,UNICA,PROM,"1,0088","1,0088",148.293.600,148.294.182,16,12,N/A
20/08/2016,UNICA,PROM,"1,0088","1,0088",148.293.600,148.294.125,16,12,N/A
21/08/2016,UNICA,PROM,"1,0088","1,0088",148.293.600,148.294.068,16,12,N/A
22/08/2016,UNICA,PROM,"1,0088","1,0088",148.293.600,148.289.248,16,12,N/A
23/08/2016,UNICA,PROM,"1,0111","1,0111",148.631.700,148.624.351,16,12,N/A
24/08/2016,UNICA,PROM,"1,0058","1,0058",147.852.600,147.859.507,16,12,N/A
25/08/2016,UNICA,PROM,"1,0051","1,0051",147.749.700,147.745.223,16,12,N/A
26/08/2016,UNICA,PROM,"1,0032","1,0032",147.470.400,147.463.388,16,12,N/A
27/08/2016,UNICA,PROM,"1,0032","1,0032",147.470.400,147.463.332,16,12,N/A
28/08/2016,UNICA,PROM,"1,0032","1,0032",147.470.400,147.463.275,16,12,N/A
29/08/2016,UNICA,PROM,"1,0082","1,0082",148.205.400,148.208.061,16,12,N/A
30/08/2016,UNICA,PROM,"1,0066","1,0066",147.970.200,147.970.636,16,12,N/A
31/08/2016,UNICA,PROM,"1,0037","1,0037",147.543.900,147.552.244,16,12,N/A
01/09/2016,UNICA,PROM,"1,0039","1,0039",147.573.300,147.585.457,16,12,N/A
02/09/2016,UNICA,PROM,"1,0086","1,0086",148.264.200,148.274.151,16,12,N/A
03/09/2016,UNICA,PROM,"1,0086","1,0086",148.264.200,148.274.151,16,12,N/A
04/09/2016,UNICA,PROM,"1,0086","1,0086",148.264.200,148.274.151,16,12,N/A
05/09/2016,UNICA,PROM,"1,0086","1,0086",148.264.200,148.273.987,16,12,N/A
06/09/2016,UNICA,PROM,"1,0117","1,0117",148.719.900,148.730.779,16,12,N/A
07/09/2016,UNICA,PROM,"1,0121","1,0121",148.778.700,148.783.188,16,12,N/A
08/09/2016,UNICA,PROM,"1,0097","1,0097",148.425.900,148.424.941,16,12,N/A
09/09/2016,UNICA,PROM,"0,9851","0,9851",144.809.700,144.821.029,16,12,N/A
10/09/2016,UNICA,PROM,"0,9851","0,9851",144.809.700,144.820.988,16,12,N/A
11/09/2016,UNICA,PROM,"0,9851","0,9851",144.809.700,144.820.947,16,12,N/A
12/09/2016,UNICA,PROM,"0,9992","0,9992",146.882.400,146.884.149,16,12,N/A
13/09/2016,UNICA,PROM,"0,9828","0,9828",144.471.600,144.469.726,16,12,N/A
14/09/2016,UNICA,PROM,"0,9836","0,9836",144.589.200,144.595.408,16,12,N/A
15/09/2016,UNICA,PROM,"0,9936","0,9936",146.059.200,146.058.560,16,12,N/A
16/09/2016,UNICA,PROM,"0,9879","0,9879",145.221.300,145.230.332,16,12,N/A
17/09/2016,UNICA,PROM,"0,9879","0,9879",145.221.300,145.230.291,16,12,N/A
18/09/2016,UNICA,PROM,"0,9879","0,9879",145.221.300,145.230.249,16,12,N/A
19/09/2016,UNICA,PROM,"0,9879","0,9879",145.221.300,145.230.208,16,12,N/A
20/09/2016,UNICA,PROM,"0,9885","0,9885",145.309.500,145.319.194,16,12,N/A
21/09/2016,UNICA,PROM,"0,9997","0,9997",146.955.900,146.959.070,16,12,N/A
22/09/2016,UNICA,PROM,"1,0063","1,0063",147.926.100,147.924.487,16,12,N/A
23/09/2016,UNICA,PROM,"1,0007","1,0007",147.102.900,147.114.699,16,12,N/A
24/09/2016,UNICA,PROM,"1,0007","1,0007",147.102.900,147.114.658,16,12,N/A
25/09/2016,UNICA,PROM,"1,0007","1,0007",147.102.900,147.114.617,16,12,N/A
26/09/2016,UNICA,PROM,"0,9910","0,9910",145.677.000,145.679.090,16,12,N/A
27/09/2016,UNICA,PROM,"0,9969","0,9969",146.544.300,146.552.001,16,12,N/A
28/09/2016,UNICA,PROM,"1,0034","1,0034",147.499.800,147.510.261,16,12,N/A
29/09/2016,UNICA,PROM,"0,9942","0,9942",146.147.400,146.145.892,16,12,N/A
30/09/2016,UNICA,PROM,"1,0017","1,0017",147.249.900,147.259.876,16,12,N/A
01/10/2016,UNICA,PROM,"1,0017","1,0017",147.249.900,147.259.876,16,12,N/A
02/10/2016,UNICA,PROM,"1,0017","1,0017",147.249.900,147.259.876,16,12,N/A
03/10/2016,UNICA,PROM,"0,9989","0,9989",146.838.300,146.841.679,16,12,N/A
04/10/2016,UNICA,PROM,"0,9942","0,9942",146.147.400,146.158.926,16,12,N/A
05/10/2016,UNICA,PROM,"0,9984","0,9984",146.764.800,146.776.816,16,12,N/A
06/10/2016,UNICA,PROM,"0,9991","0,9991",146.867.700,146.875.529,16,12,N/A
07/10/2016,UNICA,PROM,"0,9954","0,9954",146.323.800,146.331.932,16,12,N/A
08/10/2016,UNICA,PROM,"0,9954","0,9954",146.323.800,146.331.893,16,12,N/A
09/10/2016,UNICA,PROM,"0,9954","0,9954",146.323.800,146.331.855,16,12,N/A
10/10/2016,UNICA,PROM,"0,9954","0,9954",146.323.800,146.331.817,16,12,N/A
11/10/2016,UNICA,PROM,"0,9878","0,9878",145.206.600,145.222.346,16,12,N/A
12/10/2016,UNICA,PROM,"0,9891","0,9891",145.397.700,145.403.626,16,12,N/A
13/10/2016,UNICA,PROM,"0,9858","0,9858",144.912.600,144.925.001,16,12,N/A
14/10/2016,UNICA,PROM,"0,9859","0,9859",144.927.300,144.941.103,16,12,N/A
15/10/2016,UNICA,PROM,"0,9859","0,9859",144.927.300,144.941.065,16,12,N/A
16/10/2016,UNICA,PROM,"0,9859","0,9859",144.927.300,144.941.026,16,12,N/A
17/10/2016,UNICA,PROM,"0,9828","0,9828",144.471.600,144.477.397,16,15,N/A
18/10/2016,UNICA,PROM,"0,9888","0,9888",145.353.600,145.356.967,16,12,N/A
19/10/2016,UNICA,PROM,"0,9915","0,9915",145.750.500,146.100.824,16,12,N/A
20/10/2016,UNICA,PROM,"0,9897","0,9897",145.485.900,145.833.964,16,12,N/A
