Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
16/08/2016,UNICA,PROM,"1,0000","1,0000",207.000.000,207.000.000,20,20,EMAIL
17/08/2016,UNICA,PROM,"1,0000","1,0000",207.000.000,206.999.821,20,20,EMAIL
18/08/2016,UNICA,PROM,"1,0007","1,0007",207.144.900,414.066.989,20,20,EMAIL
19/08/2016,UNICA,PROM,"0,9993","0,9993",206.855.100,413.764.228,20,20,EMAIL
20/08/2016,UNICA,PROM,"0,9993","0,9993",206.855.100,413.764.228,20,20,EMAIL
21/08/2016,UNICA,PROM,"0,9993","0,9993",206.855.100,413.764.228,20,20,EMAIL
22/08/2016,UNICA,PROM,"0,9992","0,9992",206.834.400,413.754.762,20,20,EMAIL
23/08/2016,UNICA,PROM,"1,0012","1,0012",207.248.400,207.254.558,20,20,EMAIL
24/08/2016,UNICA,PROM,"0,9961","0,9961",206.192.700,206.194.882,20,20,EMAIL
25/08/2016,UNICA,PROM,"0,9954","0,9954",206.047.800,206.053.012,20,20,EMAIL
26/08/2016,UNICA,PROM,"0,9936","0,9936",205.675.200,205.665.130,20,20,EMAIL
27/08/2016,UNICA,PROM,"0,9936","0,9936",205.675.200,205.675.200,20,20,EMAIL
28/08/2016,UNICA,PROM,"0,9936","0,9936",205.675.200,205.675.200,20,20,EMAIL
29/08/2016,UNICA,PROM,"0,9984","0,9984",206.668.800,206.678.160,20,20,EMAIL
30/08/2016,UNICA,PROM,"0,9968","0,9968",206.337.600,206.336.786,20,20,EMAIL
31/08/2016,UNICA,PROM,"0,9939","0,9939",205.737.300,205.750.148,20,20,EMAIL
01/09/2016,UNICA,PROM,"0,9940","0,9940",205.758.000,205.759.596,20,20,EMAIL
02/09/2016,UNICA,PROM,"0,9984","0,9984",206.668.800,206.686.830,20,20,EMAIL
03/09/2016,UNICA,PROM,"0,9984","0,9984",206.668.800,206.686.830,20,20,EMAIL
04/09/2016,UNICA,PROM,"0,9984","0,9984",206.668.800,206.686.830,20,20,EMAIL
05/09/2016,UNICA,PROM,"0,9984","0,9984",206.668.800,206.686.845,20,20,EMAIL
06/09/2016,UNICA,PROM,"1,0015","1,0015",207.310.500,207.312.074,20,20,EMAIL
07/09/2016,UNICA,PROM,"1,0014","1,0014",207.289.800,207.292.468,20,20,EMAIL
08/09/2016,UNICA,PROM,"0,9991","0,9991",206.813.700,206.819.401,20,20,EMAIL
09/09/2016,UNICA,PROM,"0,9752","0,9752",201.866.400,201.871.135,20,20,EMAIL
10/09/2016,UNICA,PROM,"0,9752","0,9752",201.866.400,201.871.135,20,20,EMAIL
11/09/2016,UNICA,PROM,"0,9752","0,9752",201.866.400,201.871.135,20,20,EMAIL
12/09/2016,UNICA,PROM,"0,9892","0,9892",204.764.400,204.766.223,20,20,EMAIL
13/09/2016,UNICA,PROM,"0,9749","0,9749",201.804.300,201.823.809,20,20,EMAIL
14/09/2016,UNICA,PROM,"0,9746","0,9746",201.742.200,201.748.104,20,20,EMAIL
