Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
16/08/2016,UNICA,EUR,"1,0000","1,0000",147.000.000,147.000.000,17,16,EMAIL
17/08/2016,UNICA,EUR,"1,0006","1,0006",147.088.200,289.036.492,17,0,E-MAIL
18/08/2016,UNICA,EUR,"0,9963","0,9963",146.456.100,287.511.080,17,16,E-MAIL
19/08/2016,UNICA,EUR,"1,0007","1,0007",147.102.900,288.420.141,17,16,E-MAIL
20/08/2016,UNICA,EUR,"1,0007","1,0007",147.102.900,288.420.141,17,16,E-MAIL
21/08/2016,UNICA,EUR,"1,0007","1,0007",147.102.900,288.420.141,17,16,E-MAIL
22/08/2016,UNICA,EUR,"0,9991","0,9991",146.867.700,146.875.083,17,16,E-MAIL
23/08/2016,UNICA,EUR,"0,9987","0,9987",146.808.900,146.813.786,17,16,E-MAIL
24/08/2016,UNICA,EUR,"1,0058","1,0058",147.852.600,147.853.459,17,16,E-MAIL
25/08/2016,UNICA,EUR,"0,9994","0,9994",146.911.800,146.917.144,17,16,E-MAIL
26/08/2016,UNICA,EUR,"1,0029","1,0029",147.426.300,147.426.574,17,16,E-MAIL
27/08/2016,UNICA,EUR,"1,0029","1,0029",147.426.300,147.426.574,17,16,E-MAIL
28/08/2016,UNICA,EUR,"1,0029","1,0029",147.426.300,147.426.574,17,16,E-MAIL
29/08/2016,UNICA,EUR,"1,0048","1,0048",147.705.600,147.706.073,17,16,E-MAIL
30/08/2016,UNICA,EUR,"1,0135","1,0135",148.984.500,148.986.766,17,16,E-MAIL
31/08/2016,UNICA,EUR,"1,0109","1,0109",148.602.300,148.609.945,17,16,E-MAIL
01/09/2016,UNICA,EUR,"1,0051","1,0051",147.749.700,147.750.986,17,16,E-MAIL
02/09/2016,UNICA,EUR,"1,0084","1,0084",148.234.800,148.240.144,17,16,E-MAIL
03/09/2016,UNICA,EUR,"1,0084","1,0084",148.234.800,148.240.144,17,16,E-MAIL
04/09/2016,UNICA,EUR,"1,0084","1,0084",148.234.800,148.240.144,17,16,E-MAIL
05/09/2016,UNICA,EUR,"1,0135","1,0135",148.984.500,148.987.313,17,16,E-MAIL
06/09/2016,UNICA,EUR,"1,0052","1,0052",147.764.400,147.765.778,17,16,E-MAIL
07/09/2016,UNICA,EUR,"1,0093","1,0093",148.367.100,148.369.889,17,16,E-MAIL
08/09/2016,UNICA,EUR,"1,0083","1,0083",148.220.100,148.221.335,17,16,E-MAIL
09/09/2016,UNICA,EUR,"1,0091","1,0091",148.337.700,148.343.866,17,16,E-MAIL
10/09/2016,UNICA,EUR,"1,0091","1,0091",148.337.700,148.343.866,17,16,E-MAIL
11/09/2016,UNICA,EUR,"1,0091","1,0091",148.337.700,148.343.866,17,16,E-MAIL
12/09/2016,UNICA,EUR,"0,9839","0,9839",144.633.300,144.633.300,17,16,E-MAIL
13/09/2016,UNICA,EUR,"0,9789","0,9789",143.898.300,144.211.727,17,16,E-MAIL
14/09/2016,UNICA,EUR,"0,9760","0,9760",143.472.000,143.783.685,17,16,E-MAIL
15/09/2016,UNICA,EUR,"0,9870","0,9870",145.089.000,145.399.681,17,16,EMAIL
16/09/2016,UNICA,EUR,"0,9903","0,9903",145.574.100,145.574.100,17,16,E-MAIL
17/09/2016,UNICA,EUR,"0,9903","0,9903",145.574.100,145.574.100,17,16,E-MAIL
18/09/2016,UNICA,EUR,"0,9903","0,9903",145.574.100,145.574.100,17,16,E-MAIL
19/09/2016,UNICA,EUR,"0,9903","0,9903",145.574.100,145.574.100,17,16,E-MAIL
20/09/2016,UNICA,EUR,"0,9935","0,9935",146.044.500,146.044.500,17,16,E-MAIL
21/09/2016,UNICA,EUR,"1,0051","1,0051",147.749.700,148.217.888,17,16,E-MAI
22/09/2016,UNICA,EUR,"1,0062","1,0062",147.911.400,148.379.687,17,16,E-MAIL
23/09/2016,UNICA,EUR,"0,9993","0,9993",146.897.100,146.900.476,17,16,E-MAIL
24/09/2016,UNICA,EUR,"0,9993","0,9993",146.897.100,146.900.476,17,16,E-MAIL
25/09/2016,UNICA,EUR,"0,9993","0,9993",146.897.100,146.900.476,17,16,E-MAIL
26/09/2016,UNICA,EUR,"0,9902","0,9902",145.559.400,145.565.039,17,16,E-MAIL
27/09/2016,UNICA,EUR,"0,9984","0,9984",146.764.800,146.764.800,17,16,E-MAIL
28/09/2016,UNICA,EUR,"1,0056","1,0056",147.823.200,147.823.200,17,16,E-MAIL
29/09/2016,UNICA,EUR,"0,9954","0,9954",146.323.800,146.323.800,17,16,E-MAIL
30/09/2016,UNICA,EUR,"1,0020","1,0020",147.294.000,147.298.046,17,16,E-MAIL
01/10/2016,UNICA,EUR,"1,0020","1,0020",147.294.000,147.298.046,17,16,E-MAIL
02/10/2016,UNICA,EUR,"1,0020","1,0020",147.294.000,147.298.046,17,16,E-MAIL
03/10/2016,UNICA,EUR,"0,9999","0,9999",146.985.300,146.985.300,17,16,E-MAIL
04/10/2016,UNICA,EUR,"0,9969","0,9969",146.544.300,146.553.532,17,16,E-MAIL
05/10/2016,UNICA,EUR,"1,0000","1,0000",147.000.000,147.000.000,17,16,E-MAIL
06/10/2016,UNICA,EUR,"1,0049","1,0049",147.720.300,147.723.457,17,16,E-MAIL
07/10/2016,UNICA,EUR,"1,0005","1,0005",147.073.500,147.078.122,17,16,E-MAIL
08/10/2016,UNICA,EUR,"1,0005","1,0005",147.073.500,147.078.122,17,16,E-MAIL
09/10/2016,UNICA,EUR,"1,0005","1,0005",147.073.500,147.078.122,17,16,E-MAIL
10/10/2016,UNICA,EUR,"1,0005","1,0005",147.073.500,147.078.122,17,16,E-MAIL
11/10/2016,UNICA,EUR,"1,0024","1,0024",147.352.800,147.359.197,17,16,E-MAIL
12/10/2016,UNICA,EUR,"1,0069","1,0069",148.014.300,148.014.300,17,16,E-MAIL
13/10/2016,UNICA,EUR,"1,0019","1,0019",147.279.300,147.279.300,17,16,E-MAIL
14/10/2016,UNICA,EUR,"1,0048","1,0048",147.705.600,147.711.588,17,16,E-MAIL
15/10/2016,UNICA,EUR,"1,0048","1,0048",147.705.600,147.711.588,17,16,E-MAIL
16/10/2016,UNICA,EUR,"1,0048","1,0048",147.705.600,147.711.588,17,16,E-MAIL
17/10/2016,UNICA,EUR,"1,0026","1,0026",147.382.200,147.382.200,17,16,E-MAIL
18/10/2016,UNICA,EUR,"1,0096","1,0096",148.411.200,148.413.965,17,16,E-MAIL
19/10/2016,UNICA,EUR,"1,0142","1,0142",149.087.400,149.087.400,17,16,E-MAIL
20/10/2016,UNICA,EUR,"1,0153","1,0153",149.249.100,149.249.100,17,16,E-MAIL
21/10/2016,UNICA,EUR,"1,0220","1,0220",150.234.000,150.234.000,17,16,E-MAIL
22/10/2016,UNICA,EUR,"1,0220","1,0220",150.234.000,150.234.000,17,16,E-MAIL
23/10/2016,UNICA,EUR,"1,0220","1,0220",150.234.000,150.234.000,17,16,E-MAIL
24/10/2016,UNICA,EUR,"1,0254","1,0254",150.733.800,150.738.867,17,16,EMAIL
25/10/2016,UNICA,EUR,"1,0205","1,0205",150.013.500,150.022.726,17,16,E-MAIL
26/10/2016,UNICA,EUR,"1,0168","1,0168",149.469.600,149.470.929,17,16,E-MAIL
27/10/2016,UNICA,EUR,"1,0148","1,0148",149.175.600,149.186.020,17,16,EMAIL
28/10/2016,UNICA,EUR,"1,0053","1,0053",147.779.100,147.777.413,17,16,E-MAIL
29/10/2016,UNICA,EUR,"1,0053","1,0053",147.779.100,147.779.100,17,16,E-MAIL
30/10/2016,UNICA,EUR,"1,0053","1,0053",147.779.100,147.779.100,17,16,E-MAIL
31/10/2016,UNICA,EUR,"1,0053","1,0053",147.779.100,147.779.100,17,16,E-MAIL
01/11/2016,UNICA,EUR,"1,0053","1,0053",147.779.100,147.779.100,17,16,E-MAIL
02/11/2016,UNICA,EUR,"0,9803","0,9803",144.104.100,144.111.429,17,16,E-MAIL
03/11/2016,UNICA,EUR,"0,9772","0,9772",143.648.400,143.658.994,17,16,E-MAIL
04/11/2016,UNICA,EUR,"0,9753","0,9753",143.369.100,143.374.007,17,16,E-MAIL
05/11/2016,UNICA,EUR,"0,9753","0,9753",143.369.100,143.374.007,17,16,E-MAIL
06/11/2016,UNICA,EUR,"0,9753","0,9753",143.369.100,143.374.007,17,16,E-MAIL
07/11/2016,UNICA,EUR,"0,9999","0,9999",146.985.300,146.986.880,17,16,E-MAIL
08/11/2016,UNICA,EUR,"1,0077","1,0077",148.131.900,148.138.087,17,16,E-MAIL
09/11/2016,UNICA,EUR,"1,0263","1,0263",150.866.100,150.869.327,17,16,E-MAIL
10/11/2016,UNICA,EUR,"1,0331","1,0331",151.865.700,151.871.435,17,16,E-MAIL
11/11/2016,UNICA,EUR,"1,0370","1,0370",152.439.000,152.447.591,17,16,E-MAIL
12/11/2016,UNICA,EUR,"1,0370","1,0370",152.439.000,152.447.591,17,16,E-MAIL
13/11/2016,UNICA,EUR,"1,0370","1,0370",152.439.000,152.447.591,17,16,E-MAIL
14/11/2016,UNICA,EUR,"1,0472","1,0472",153.938.400,153.938.400,17,16,E-MAIL
15/11/2016,UNICA,EUR,"1,0566","1,0566",155.320.200,155.320.200,17,16,E-MAIL
16/11/2016,UNICA,EUR,"1,0566","1,0566",155.320.200,155.323.715,17,16,E-MAIL
17/11/2016,UNICA,EUR,"1,0660","1,0660",156.702.000,156.702.000,17,16,E-MAIL
18/11/2016,UNICA,EUR,"1,0702","1,0702",157.319.400,157.324.725,17,16,E-MAIL
19/11/2016,UNICA,EUR,"1,0702","1,0702",157.319.400,157.324.725,17,16,E-MAIL
20/11/2016,UNICA,EUR,"1,0702","1,0702",157.319.400,157.324.725,17,16,E-MAIL
21/11/2016,UNICA,EUR,"1,0762","1,0762",158.201.400,158.206.593,17,16,E-MAIL
22/11/2016,UNICA,EUR,"1,0770","1,0770",158.319.000,158.320.632,17,16,E-MAIL
23/11/2016,UNICA,EUR,"1,0839","1,0839",159.333.300,159.333.300,17,16,E-MAIL
24/11/2016,UNICA,EUR,"1,0846","1,0846",159.436.200,159.442.839,17,16,E-MAIL
