Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
02/05/2017,D,EUR,"1,0000","0,0000",4.150.270,4.150.270,8,2,WWW.LARRAINVIAL.COM
03/05/2017,D,EUR,"1,0000","0,0000",4.582.770,4.582.770,8,2,WWW.LARRAINVIAL.COM
04/05/2017,D,EUR,"1,0000","0,0000",8.266.810,8.266.810,8,2,WWW.LARRAINVIAL.COM
05/05/2017,D,EUR,"1,0000","0,0000",8.266.810,8.266.810,14,6,WWW.LARRAINVIAL.COM
06/05/2017,D,EUR,"1,0000","0,0000",8.266.810,8.266.810,14,6,WWW.LARRAINVIAL.COM
07/05/2017,D,EUR,"1,0000","0,0000",8.266.810,8.266.810,14,6,WWW.LARRAINVIAL.COM
08/05/2017,D,EUR,"1,0000","0,0000",8.266.810,8.266.810,14,6,WWW.LARRAINVIAL.COM
09/05/2017,D,EUR,"1,0000","0,0000",8.284.110,8.284.110,14,6,WWW.LARRAINVIAL.COM
10/05/2017,D,EUR,"1,0000","0,0000",8.284.110,8.284.110,15,6,WWW.LARRAINVIAL.COM
11/05/2017,D,EUR,"1,0000","0,0000",8.457.110,8.457.110,17,6,WWW.LARRAINVIAL.COM
12/05/2017,D,EUR,"1,0000","0,0000",8.457.110,8.457.110,17,6,WWW.LARRAINVIAL.COM
13/05/2017,D,EUR,"1,0000","0,0000",8.457.110,8.457.110,17,6,WWW.LARRAINVIAL.COM
14/05/2017,D,EUR,"1,0000","0,0000",8.457.110,8.457.110,17,6,WWW.LARRAINVIAL.COM
15/05/2017,D,EUR,"1,0000","0,0000",8.457.110,8.457.110,17,6,WWW.LARRAINVIAL.COM
16/05/2017,D,EUR,"1,1050","0,0000",9.345.307,9.345.307,17,6,WWW.LARRAINVIAL.COM
17/05/2017,D,EUR,"1,1050","0,0000",9.345.307,9.345.307,17,6,WWW.LARRAINVIAL.COM
18/05/2017,D,EUR,"1,1044","0,0000",9.340.363,9.345.307,17,6,WWW.LARRAINVIAL.COM
19/05/2017,D,EUR,"1,1044","0,0000",9.340.363,9.345.307,17,6,WWW.LARRAINVIAL.COM
20/05/2017,D,EUR,"1,1044","0,0000",9.340.363,9.345.307,17,6,WWW.LARRAINVIAL.COM
21/05/2017,D,EUR,"1,1044","0,0000",9.340.363,9.345.307,17,6,WWW.LARRAINVIAL.COM
22/05/2017,D,EUR,"1,0671","0,0000",9.024.509,9.024.776,17,6,WWW.LARRAINVIAL.COM
23/05/2017,D,EUR,"1,0671","0,0000",9.024.507,9.024.773,17,6,WWW.LARRAINVIAL.COM
24/05/2017,D,EUR,"1,0671","0,0000",9.024.507,9.024.773,17,6,WWW.LARRAINVIAL.COM
25/05/2017,D,EUR,"1,0670","0,0000",9.024.116,9.038.460,17,6,WWW.LARRAINVIAL.COM
26/05/2017,D,EUR,"1,0670","0,0000",9.023.735,9.038.079,17,6,WWW.LARRAINVIAL.COM
27/05/2017,D,EUR,"1,0670","0,0000",9.023.347,9.037.691,17,6,WWW.LARRAINVIAL.COM
28/05/2017,D,EUR,"1,0669","0,0000",9.022.960,9.037.304,17,6,WWW.LARRAINVIAL.COM
29/05/2017,D,EUR,"1,0667","0,0000",9.020.943,9.036.917,17,6,WWW.LARRAINVIAL.COM
30/05/2017,D,EUR,"1,0666","0,0000",9.020.609,9.022.238,17,6,WWW.LARRAINVIAL.COM
31/05/2017,D,EUR,"1,0666","0,0000",9.020.199,9.021.829,17,6,WWW.LARRAINVIAL.COM
01/06/2017,D,EUR,"1,0665","0,0000",9.019.812,9.021.441,17,6,WWW.LARRAINVIAL.COM
02/06/2017,D,EUR,"1,0665","0,0000",9.019.436,9.021.065,17,6,WWW.LARRAINVIAL.COM
03/06/2017,D,EUR,"1,0664","0,0000",9.019.048,9.020.677,17,6,WWW.LARRAINVIAL.COM
04/06/2017,D,EUR,"1,0664","0,0000",9.018.660,9.020.290,17,6,WWW.LARRAINVIAL.COM
05/06/2017,D,EUR,"1,0664","0,0000",9.018.256,9.019.885,17,6,WWW.LARRAINVIAL.COM
06/06/2017,D,EUR,"1,0663","0,0000",9.017.897,9.019.526,17,6,WWW.LARRAINVIAL.COM
07/06/2017,D,EUR,"1,0663","0,0000",9.017.494,9.019.124,17,6,WWW.LARRAINVIAL.COM
08/06/2017,D,EUR,"1,0662","0,0000",9.017.123,9.018.752,17,6,WWW.LARRAINVIAL.COM
09/06/2017,D,EUR,"1,0662","0,0000",9.016.782,9.018.411,17,6,WWW.LARRAINVIAL.COM
10/06/2017,D,EUR,"1,0661","0,0000",9.016.394,9.018.024,17,6,WWW.LARRAINVIAL.COM
11/06/2017,D,EUR,"1,0661","0,0000",9.016.006,9.017.636,17,6,WWW.LARRAINVIAL.COM
12/06/2017,D,EUR,"1,0660","0,0000",9.015.652,9.017.282,17,6,WWW.LARRAINVIAL.COM
13/06/2017,D,EUR,"1,0660","0,0000",9.015.255,9.015.255,17,6,WWW.LARRAINVIAL.COM
14/06/2017,D,EUR,"1,0660","0,0000",9.014.868,9.014.868,17,6,WWW.LARRAINVIAL.COM
15/06/2017,D,EUR,"1,0659","0,0000",9.014.476,9.014.476,17,6,WWW.LARRAINVIAL.COM
16/06/2017,D,EUR,"1,0659","0,0000",9.014.088,9.014.088,17,6,WWW.LARRAINVIAL.COM
17/06/2017,D,EUR,"1,0658","0,0000",9.013.700,9.013.700,17,6,WWW.LARAINVIAL.COM
18/06/2017,D,EUR,"1,0658","0,0000",9.013.313,9.013.313,17,6,WWW.LARRAINVIAL.COM
19/06/2017,D,EUR,"1,0657","0,0000",9.012.916,9.012.916,17,6,WWW.ALTAMARCAPITAL.CL
20/06/2017,D,EUR,"1,0657","0,0000",9.012.560,9.012.560,17,6,WWW.LARRAINVIAL.COM
21/06/2017,D,EUR,"1,0656","0,0000",9.012.172,9.012.172,17,6,WWW.ALTAMARCAPITAL.CL
22/06/2017,D,EUR,"1,0656","0,0000",9.011.766,9.011.766,17,6,WWW.ALTAMARCAPITAL.CL
23/06/2017,D,EUR,"1,0655","0,0000",9.011.368,9.011.368,17,6,WWW.ALTAMARCAPITAL.CL
24/06/2017,D,EUR,"1,0655","0,0000",9.010.980,9.010.980,17,6,WWW.ALTAMARCAPITAL.CL
