Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
11/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.999,8.399.999,16,7,WWW.LARRAINVIAL.COM
12/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.999,8.399.999,17,7,WWW.LARRAINVIAL.COM
13/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.904,8.399.963,17,7,WWW.LARRAINVIAL.COM
14/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.903,8.399.963,17,7,WWW.LARRAINVIAL.COM
15/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.903,8.399.963,17,7,WWW.LARRAINVIAL.COM
16/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.903,8.399.963,17,7,WWW.LARRAINVIAL.COM
17/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.903,8.399.963,17,7,WWW.LARRAINVIAL.COM
18/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.903,8.399.963,17,7,WWW.LARRAINVIAL.COM
19/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.903,8.399.963,17,7,WWW.LARRAINVIAL.COM
20/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.902,8.399.902,17,7,WWW.LARRAINVIAL.COM
21/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.902,8.399.902,17,7,WWW.LARRAINVIAL.COM
22/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.902,8.399.902,17,7,WWW.LARRAINVIAL.COM
23/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.902,8.399.902,17,7,WWW.LARRAINVIAL.COM
24/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.902,8.399.902,17,7,WWW.LARRAINVIAL.COM
25/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.902,8.399.902,17,7,WWW.LARRAINVIAL.COM
26/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.902,8.399.902,17,7,WWW.LARRAINVIAL.COM
27/07/2017,UNICA,PROM,"1,0000","0,0000",8.399.902,8.399.902,17,7,WWW.LARRAINVIAL.COM
