Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
14/09/2017,B,PROM,"1,0002","1,0002",7.187.269,7.187.548,4,0,E-MAIL
15/09/2017,B,PROM,"1,0004","1,0004",7.188.706,7.189.263,4,0,E-MAIL
16/09/2017,B,PROM,"1,0006","1,0006",7.190.143,7.190.978,4,0,E-MAIL
17/09/2017,B,PROM,"1,0009","1,0009",7.192.299,7.192.694,4,0,E-MAIL
18/09/2017,B,PROM,"1,0011","1,0011",7.193.736,7.194.409,4,0,E-MAIL
19/09/2017,B,PROM,"1,0013","1,0013",7.195.174,7.196.124,4,0,E-MAIL
20/09/2017,B,PROM,"1,0015","1,0015",7.196.611,7.197.840,4,0,E-MAIL
21/09/2017,B,PROM,"1,0017","1,0017",7.198.048,7.199.555,4,0,E-MAIL
22/09/2017,B,PROM,"1,0019","1,0019",7.199.485,7.201.270,4,0,E-MAIL
23/09/2017,B,PROM,"1,0021","1,0021",7.200.922,7.202.986,4,0,E-MAIL
24/09/2017,B,PROM,"1,0024","1,0024",7.203.078,7.204.701,4,0,E-MAIL
25/09/2017,A,PROM,"1,0024","1,0024",36.299.978,43.506.415,28,3,E-MAIL
25/09/2017,B,PROM,"1,0024","1,0024",7.203.078,43.506.415,4,0,E-MAIL
26/09/2017,A,PROM,"1,0024","1,0024",36.299.978,43.508.080,28,3,E-MAIL
26/09/2017,B,PROM,"1,0024","1,0024",7.203.078,43.508.080,4,0,E-MAIL
27/09/2017,A,PROM,"1,0024","1,0024",36.534.954,43.741.771,29,3,E-MAIL
27/09/2017,B,PROM,"1,0024","1,0024",7.203.078,43.741.771,4,0,E-MAIL
28/09/2017,A,PROM,"1,0024","1,0024",36.534.954,43.746.486,29,3,E-MAIL
28/09/2017,B,PROM,"1,0024","1,0024",7.203.078,43.746.486,4,0,E-MAIL
29/09/2017,A,PROM,"1,0024","1,0024",36.534.954,43.748.202,29,3,E-MAIL
29/09/2017,B,PROM,"1,0024","1,0024",7.203.078,43.748.202,3,0,E-MAIL
30/09/2017,A,PROM,"1,0024","1,0024",36.534.954,43.749.917,29,3,E-MAIL
30/09/2017,B,PROM,"1,0024","1,0024",7.203.078,43.749.917,3,0,E-MAIL
01/10/2017,A,PROM,"1,0024","1,0024",36.534.954,43.751.632,29,3,E-MAIL
01/10/2017,B,PROM,"1,0025","1,0025",7.203.797,43.751.632,3,0,E-MAIL
02/10/2017,A,PROM,"1,0025","1,0025",36.538.599,43.753.348,29,3,E-MAIL
02/10/2017,B,PROM,"1,0025","1,0025",7.203.797,43.753.348,3,0,E-MAIL
03/10/2017,A,PROM,"1,0025","1,0025",36.538.599,43.754.945,29,3,E-MAIL
03/10/2017,B,PROM,"1,0025","1,0025",7.203.797,43.754.945,3,0,E-MAIL
04/10/2017,A,PROM,"1,0025","1,0025",36.538.599,43.756.749,29,3,E-MAIL
04/10/2017,B,PROM,"1,0025","1,0025",7.203.797,43.756.749,3,0,E-MAIL
05/10/2017,A,PROM,"1,0025","1,0025",36.538.599,43.758.562,29,3,E-MAIL
05/10/2017,B,PROM,"1,0025","1,0025",7.203.797,43.758.562,3,0,E-MAIL
06/10/2017,A,PROM,"1,0026","1,0026",36.542.243,43.764.412,29,3,E-MAIL
06/10/2017,B,PROM,"1,0026","1,0026",7.204.515,43.764.412,3,0,E-MAIL
07/10/2017,A,PROM,"1,0027","1,0027",36.545.888,43.770.242,29,3,E-MAIL
07/10/2017,B,PROM,"1,0027","1,0027",7.205.234,43.770.242,3,0,E-MAIL
08/10/2017,A,PROM,"1,0028","1,0028",36.549.533,43.776.072,29,3,E-MAIL
08/10/2017,B,PROM,"1,0028","1,0028",7.205.952,43.776.072,3,0,E-MAIL
09/10/2017,A,PROM,"1,0029","1,0029",36.553.178,43.781.902,29,3,E-MAIL
09/10/2017,B,PROM,"1,0030","1,0030",7.207.389,43.781.902,3,0,E-MAIL
10/10/2017,A,PROM,"1,0030","1,0030",36.556.822,43.777.466,29,3,E-MAIL
10/10/2017,B,PROM,"1,0031","1,0031",7.208.108,43.777.466,3,0,E-MAIL
11/10/2017,A,PROM,"1,0031","1,0031",36.560.467,43.783.310,29,3,E-MAIL
11/10/2017,B,PROM,"1,0032","1,0032",7.208.827,43.783.310,3,0,E-MAIL
12/10/2017,A,PROM,"1,0032","1,0032",36.564.112,43.789.058,29,3,E-MAIL
12/10/2017,B,PROM,"1,0033","1,0033",7.209.545,43.789.058,3,0,E-MAIL
13/10/2017,A,PROM,"1,0033","1,0033",36.567.757,43.794.942,29,3,E-MAIL
13/10/2017,B,PROM,"1,0034","1,0034",7.210.264,43.794.942,3,0,E-MAIL
14/10/2017,A,PROM,"1,0034","1,0034",36.571.401,43.800.772,29,3,E-MAIL
14/10/2017,B,PROM,"1,0035","1,0035",7.210.982,43.800.772,3,0,E-MAIL
15/10/2017,A,PROM,"1,0035","1,0035",36.575.046,43.806.602,29,3,E-MAIL
15/10/2017,B,PROM,"1,0036","1,0036",7.211.701,43.806.602,3,0,E-MAIL
16/10/2017,A,PROM,"1,0036","1,0036",36.578.691,43.812.432,29,3,E-MAIL
16/10/2017,B,PROM,"1,0037","1,0037",7.212.420,43.812.432,3,0,E-MAIL
17/10/2017,A,PROM,"1,0037","1,0037",36.582.336,43.818.262,29,3,E-MAIL
17/10/2017,B,PROM,"1,0038","1,0038",7.213.138,43.818.262,3,0,E-MAIL
18/10/2017,A,PROM,"1,0038","1,0038",36.585.980,43.824.092,29,3,E-MAIL
18/10/2017,B,PROM,"1,0039","1,0039",7.213.857,43.824.092,3,0,E-MAIL
19/10/2017,A,PROM,"1,0042","1,0042",36.600.559,43.844.123,29,3,E-MAIL
19/10/2017,B,PROM,"1,0044","1,0044",7.217.450,43.844.123,3,0,E-MAIL
20/10/2017,A,PROM,"1,0043","1,0043",52.224.715,70.654.665,29,3,E-MAIL
20/10/2017,B,PROM,"1,0045","1,0045",7.218.168,70.654.665,3,0,E-MAIL
20/10/2017,C,PROM,"1,0043","1,0043",11.182.138,70.654.665,1,0,E-MAIL
21/10/2017,A,PROM,"1,0045","1,0045",52.235.115,70.665.228,29,3,E-MAIL
21/10/2017,B,PROM,"1,0046","1,0046",7.218.887,70.665.228,3,0,E-MAIL
21/10/2017,C,PROM,"1,0044","1,0044",11.183.252,70.665.228,1,0,E-MAIL
22/10/2017,A,PROM,"1,0046","1,0046",52.240.315,70.675.792,29,3,E-MAIL
22/10/2017,B,PROM,"1,0047","1,0047",7.219.605,70.675.792,3,0,E-MAIL
22/10/2017,C,PROM,"1,0046","1,0046",11.185.479,70.675.792,1,0,E-MAIL
23/10/2017,A,PROM,"1,0047","1,0047",52.245.515,70.686.543,30,3,E-MAIL
23/10/2017,B,PROM,"1,0049","1,0049",7.221.043,70.686.543,3,0,E-MAIL
23/10/2017,C,PROM,"1,0047","1,0047",11.186.592,70.686.543,4,0,E-MAIL
24/10/2017,A,PROM,"1,0048","1,0048",52.250.715,70.697.165,30,3,E-MAIL
24/10/2017,B,PROM,"1,0050","1,0050",7.221.761,70.697.165,3,0,E-MAIL
24/10/2017,C,PROM,"1,0048","1,0048",11.187.705,70.697.165,4,4,E-MAIL
25/10/2017,A,PROM,"1,0050","1,0050",52.261.116,70.710.232,30,3,E-MAIL
25/10/2017,B,PROM,"1,0052","1,0052",7.223.198,70.710.232,3,0,E-MAIL
25/10/2017,C,PROM,"1,0049","1,0049",11.188.819,70.710.232,4,4,E-MAIL
26/10/2017,A,PROM,"1,0052","1,0052",52.271.516,70.723.269,30,3,E-MAIL
26/10/2017,B,PROM,"1,0053","1,0053",7.223.917,70.723.269,3,0,E-MAIL
26/10/2017,C,PROM,"1,0051","1,0051",11.191.046,70.723.269,4,4,E-MAIL
27/10/2017,A,PROM,"1,0053","1,0053",52.276.716,70.736.174,30,3,E-MAIL
27/10/2017,B,PROM,"1,0055","1,0055",7.225.354,70.736.174,3,0,E-MAIL
27/10/2017,C,PROM,"1,0052","1,0052",11.192.159,70.736.174,4,4,E-MAIL
28/10/2017,A,PROM,"1,0055","1,0055",52.287.116,70.749.064,30,3,E-MAIL
28/10/2017,B,PROM,"1,0056","1,0056",7.226.073,70.749.064,3,0,E-MAIL
28/10/2017,C,PROM,"1,0054","1,0054",11.194.386,70.749.064,4,4,E-MAIL
29/10/2017,A,PROM,"1,0056","1,0056",52.292.316,70.761.954,30,3,E-MAIL
29/10/2017,B,PROM,"1,0058","1,0058",7.227.510,70.761.954,3,0,E-MAIL
29/10/2017,C,PROM,"1,0055","1,0055",11.195.499,70.761.954,4,4,E-MAIL
30/10/2017,A,PROM,"1,0059","1,0059",52.307.917,88.780.369,30,3,E-MAIL
30/10/2017,B,PROM,"1,0060","1,0060",7.228.947,88.780.369,3,0,E-MAIL
30/10/2017,C,PROM,"1,0058","1,0058",11.198.840,88.780.369,4,4,E-MAIL
31/10/2017,A,PROM,"1,0061","1,0061",52.318.317,70.798.228,30,3,E-MAIL
31/10/2017,B,PROM,"1,0063","1,0063",7.231.103,70.798.228,3,0,E-MAIL
31/10/2017,C,PROM,"1,0060","1,0060",11.201.067,70.798.228,4,4,E-MAIL
01/11/2017,A,PROM,"1,0063","1,0063",52.328.717,70.815.931,30,3,E-MAIL
01/11/2017,B,PROM,"1,0065","1,0065",7.232.540,70.815.931,3,0,E-MAIL
01/11/2017,C,PROM,"1,0062","1,0062",11.203.293,70.815.931,4,4,E-MAIL
