Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
11/06/2018,A,PROM,"1,0000","1,0000",860.216,16.132.869,4,0,E-MAIL
11/06/2018,B,PROM,"1,0000","1,0000",3.791.085,16.132.869,4,2,E-MAIL
11/06/2018,C,PROM,"1,0000","1,0000",11.481.568,16.132.869,3,2,E-MAIL
12/06/2018,A,PROM,"1,0000","1,0000",860.216,16.134.629,5,0,E-MAIL
12/06/2018,B,PROM,"1,0001","1,0001",3.791.464,16.134.629,4,2,E-MAIL
12/06/2018,C,PROM,"1,0001","1,0001",11.482.716,16.134.629,3,2,E-MAIL
13/06/2018,A,PROM,"0,9750","0,9750",838.711,15.731.768,5,0,E-MAIL
13/06/2018,B,PROM,"0,9751","0,9751",3.696.687,15.731.768,4,2,E-MAIL
13/06/2018,C,PROM,"0,9751","0,9751",11.195.677,15.731.768,3,2,E-MAIL
14/06/2018,A,PROM,"0,9752","0,9752",838.883,15.735.129,5,0,EMAIL
14/06/2018,B,PROM,"0,9753","0,9753",3.697.445,15.735.129,4,2,EMAIL
14/06/2018,C,PROM,"0,9753","0,9753",11.197.973,15.735.129,3,2,EMAIL
15/06/2018,A,PROM,"0,9681","0,9681",832.775,15.622.167,5,0,E-MAIL
15/06/2018,B,PROM,"0,9683","0,9683",3.670.908,15.622.167,4,2,E-MAIL
15/06/2018,C,PROM,"0,9683","0,9683",11.117.602,15.622.167,3,2,E-MAIL
16/06/2018,A,PROM,"0,9681","0,9681",832.775,15.622.167,5,0,E-MAIL
16/06/2018,B,PROM,"0,9683","0,9683",3.670.908,15.622.167,4,2,E-MAIL
16/06/2018,C,PROM,"0,9683","0,9683",11.117.602,15.622.167,3,2,E-MAIL
17/06/2018,A,PROM,"0,9681","0,9681",832.775,15.622.167,5,0,E-MAIL
17/06/2018,B,PROM,"0,9683","0,9683",3.670.908,15.622.167,4,2,E-MAIL
17/06/2018,C,PROM,"0,9683","0,9683",11.117.602,15.622.167,3,2,E-MAIL
18/06/2018,A,PROM,"0,9686","0,9686",833.205,15.630.930,5,0,E-MAIL
18/06/2018,B,PROM,"0,9688","0,9688",3.672.803,15.630.930,4,2,E-MAIL
18/06/2018,C,PROM,"0,9688","0,9688",11.123.343,15.630.930,3,2,E-MAIL
19/06/2018,A,PROM,"0,9689","0,9689",833.463,15.637.513,5,0,E-MAIL
