Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
13/09/2018,A,PROM,"100,0000","100,0000",6.043.300,25.336.300,6,1,EMAIL
13/09/2018,C,PROM,"100,0000","100,0000",12.319.700,25.336.300,2,2,EMAIL
13/09/2018,I,PROM,"100,0000","100,0000",6.973.300,25.336.300,5,3,EMAIL
14/09/2018,A,PROM,"99,9989","99,9989",6.043.234,25.336.173,6,1,EMAIL
14/09/2018,C,PROM,"99,9994","99,9994",12.319.626,25.336.173,2,2,EMAIL
14/09/2018,I,PROM,"99,9992","99,9992",6.973.244,25.336.173,5,3,EMAIL
15/09/2018,A,PROM,"99,9987","99,9987",6.043.221,25.336.173,6,1,EMAIL
15/09/2018,C,PROM,"99,9993","99,9993",12.319.614,25.336.173,2,2,EMAIL
15/09/2018,I,PROM,"99,9991","99,9991",6.973.237,25.336.173,5,3,EMAIL
16/09/2018,A,PROM,"99,9984","99,9984",6.043.203,25.336.173,6,1,EMAIL
16/09/2018,C,PROM,"99,9992","99,9992",12.319.601,25.336.173,2,2,EMAIL
16/09/2018,I,PROM,"99,9989","99,9989",6.973.223,25.336.173,5,3,EMAIL
17/09/2018,A,PROM,"99,9981","99,9981",6.043.185,25.336.173,6,1,EMAIL
17/09/2018,C,PROM,"99,9991","99,9991",12.319.589,25.336.173,2,2,EMAIL
17/09/2018,I,PROM,"99,9988","99,9988",6.973.216,25.336.173,5,3,EMAIL
18/09/2018,A,PROM,"99,9978","99,9978",6.043.167,25.336.173,6,1,EMAIL
18/09/2018,C,PROM,"99,9991","99,9991",12.319.589,25.336.173,2,2,EMAIL
18/09/2018,I,PROM,"99,9987","99,9987",6.973.209,25.336.173,5,3,EMAIL
19/09/2018,A,PROM,"99,9975","99,9975",6.043.149,25.336.173,6,1,EMAIL
19/09/2018,C,PROM,"99,9990","99,9990",12.319.577,25.336.173,2,2,EMAIL
19/09/2018,I,PROM,"99,9985","99,9985",6.973.195,25.336.173,5,3,EMAIL
20/09/2018,A,PROM,"99,9973","99,9973",6.043.137,25.336.173,6,1,EMAIL
20/09/2018,C,PROM,"99,9989","99,9989",12.319.564,25.336.173,2,2,EMAIL
20/09/2018,I,PROM,"99,9984","99,9984",6.973.188,25.336.173,5,3,EMAIL
21/09/2018,A,PROM,"99,9970","99,9970",6.043.119,25.336.173,6,1,EMAIL
21/09/2018,C,PROM,"99,9989","99,9989",12.319.564,25.336.173,2,2,EMAIL
