Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
18/12/2019,A,PROM,"1,0090","1,0090",867.797,16.882.008,23,1,E-MAIL
18/12/2019,B,PROM,"1,0090","1,0090",2.621.399,16.882.008,36,3,E-MAIL
18/12/2019,C,PROM,"1,0091","1,0091",5.293.761,16.882.008,21,1,E-MAIL
18/12/2019,I,PROM,"1,0090","1,0090",7.885.856,16.882.008,10,10,E-MAIL
18/12/2019,R,PROM,"1,0089","1,0089",212.424,16.882.008,10,0,E-MAIL
19/12/2019,A,PROM,"1,0088","1,0088",867.624,16.882.008,23,1,E-MAIL
19/12/2019,B,PROM,"1,0089","1,0089",2.621.139,16.882.008,35,3,E-MAIL
19/12/2019,C,PROM,"1,0091","1,0091",5.293.761,16.882.008,21,1,E-MAIL
19/12/2019,I,PROM,"1,0089","1,0089",7.885.074,16.882.008,10,10,E-MAIL
19/12/2019,R,PROM,"1,0085","1,0085",212.340,16.882.008,10,0,E-MAIL
20/12/2019,A,PROM,"1,0086","1,0086",867.452,33.482.216,23,1,E-MAIL
20/12/2019,B,PROM,"1,0089","1,0089",2.621.139,33.482.216,35,3,E-MAIL
20/12/2019,C,PROM,"1,0091","1,0091",5.293.761,33.482.216,21,1,E-MAIL
20/12/2019,I,PROM,"1,0089","1,0089",7.885.074,33.482.216,10,10,E-MAIL
20/12/2019,R,PROM,"1,0082","1,0082",212.277,33.482.216,10,0,E-MAIL
21/12/2019,A,PROM,"1,0084","1,0084",867.280,33.482.216,23,1,E-MAIL
21/12/2019,B,PROM,"1,0088","1,0088",2.620.880,33.482.216,35,3,E-MAIL
21/12/2019,C,PROM,"1,0091","1,0091",5.293.761,33.482.216,21,1,E-MAIL
21/12/2019,I,PROM,"1,0089","1,0089",7.885.074,33.482.216,10,10,E-MAIL
21/12/2019,R,PROM,"1,0078","1,0078",212.192,33.482.216,10,0,E-MAIL
22/12/2019,A,PROM,"1,0082","1,0082",867.108,33.482.216,23,1,E-MAIL
22/12/2019,B,PROM,"1,0087","1,0087",2.620.620,33.482.216,35,3,E-MAIL
22/12/2019,C,PROM,"1,0090","1,0090",5.293.236,33.482.216,21,1,E-MAIL
22/12/2019,I,PROM,"1,0089","1,0089",7.885.074,33.482.216,10,10,E-MAIL
22/12/2019,R,PROM,"1,0075","1,0075",212.129,33.482.216,10,0,E-MAIL
23/12/2019,A,PROM,"1,0081","1,0081",867.022,16.881.978,23,1,E-MAIL
23/12/2019,B,PROM,"1,0086","1,0086",2.620.360,16.881.978,35,3,E-MAIL
23/12/2019,C,PROM,"1,0090","1,0090",5.293.236,16.881.978,21,1,E-MAIL
23/12/2019,I,PROM,"1,0089","1,0089",7.885.074,16.881.978,10,10,E-MAIL
