Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
14/02/2019,A,EUR,"100,0000","100,0000",918.800,6.720.400,4,1,EMAIL
14/02/2019,C,EUR,"100,0000","100,0000",3.556.100,6.720.400,6,6,EMAIL
14/02/2019,I,EUR,"100,0000","100,0000",2.245.500,6.720.400,4,4,EMAIL
15/02/2019,A,EUR,"99,9921","99,9921",918.727,6.720.400,4,1,EMAIL
15/02/2019,C,EUR,"99,9998","99,9998",3.556.093,6.720.400,6,6,EMAIL
15/02/2019,I,EUR,"99,9960","99,9960",2.245.410,6.720.400,4,4,EMAIL
16/02/2019,A,EUR,"99,9881","99,9881",918.691,6.720.400,4,1,EMAIL
16/02/2019,C,EUR,"99,9997","99,9997",3.556.089,6.720.400,6,6,EMAIL
16/02/2019,I,EUR,"99,9940","99,9940",2.245.365,6.720.400,4,4,EMAIL
17/02/2019,A,EUR,"99,9841","99,9841",918.654,6.720.400,4,1,EMAIL
17/02/2019,C,EUR,"99,9996","99,9996",3.556.086,6.720.400,6,6,EMAIL
17/02/2019,I,EUR,"99,9921","99,9921",2.245.323,6.720.400,4,4,EMAIL
18/02/2019,A,EUR,"99,9802","99,9802",918.618,6.720.400,4,1,EMAIL
18/02/2019,C,EUR,"99,9996","99,9996",3.556.086,6.720.400,6,6,EMAIL
18/02/2019,I,EUR,"99,9901","99,9901",2.245.278,6.720.400,4,4,EMAIL
19/02/2019,A,EUR,"99,9762","99,9762",918.581,6.720.400,4,1,EMAIL
19/02/2019,C,EUR,"99,9995","99,9995",3.556.082,6.720.400,6,6,EMAIL
19/02/2019,I,EUR,"99,9881","99,9881",2.245.233,6.720.400,4,4,EMAIL
20/02/2019,A,EUR,"99,9722","99,9722",918.545,6.720.400,4,1,EMAIL
20/02/2019,C,EUR,"99,9994","99,9994",3.556.079,6.720.400,6,6,EMAIL
20/02/2019,I,EUR,"99,9861","99,9861",2.245.188,6.720.400,4,4,EMAIL
21/02/2019,A,EUR,"99,9682","99,9682",918.508,6.720.400,4,1,EMAIL
21/02/2019,C,EUR,"99,9993","99,9993",3.556.075,6.720.400,6,6,EMAIL
21/02/2019,I,EUR,"99,9841","99,9841",2.245.143,6.720.400,4,4,EMAIL
22/02/2019,A,EUR,"99,9643","99,9643",918.472,6.720.400,4,1,EMAIL
22/02/2019,C,EUR,"99,9992","99,9992",3.556.072,6.720.400,6,6,EMAIL
22/02/2019,I,EUR,"99,9821","99,9821",2.245.098,6.720.400,4,4,EMAIL
23/02/2019,A,EUR,"99,9604","99,9604",918.436,6.720.400,4,1,EMAIL
23/02/2019,C,EUR,"99,9991","99,9991",3.556.068,6.720.400,6,6,EMAIL
23/02/2019,I,EUR,"99,9802","99,9802",2.245.055,6.720.400,4,4,EMAIL
