Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
04/12/2019,A,PROM,"1,0000","1,0000",644.371,18.478.861,12,0,E-MAIL
04/12/2019,B,PROM,"1,0000","1,0000",2.396.277,18.478.861,7,3,E-MAIL
04/12/2019,C,PROM,"1,0000","1,0000",3.221.888,18.478.861,6,3,E-MAIL
04/12/2019,D,PROM,"1,0000","1,0000",5.168.445,18.478.861,8,6,E-MAIL
04/12/2019,E,PROM,"1,0000","1,0000",335.613,18.478.861,1,1,E-MAIL
04/12/2019,X,PROM,"1,0000","1,0000",6.712.267,18.478.861,5,5,E-MAIL
05/12/2019,A,PROM,"1,0000","1,0000",644.371,18.478.861,12,0,E-MAIL
05/12/2019,B,PROM,"1,0000","1,0000",2.396.277,18.478.861,7,3,E-MAIL
05/12/2019,C,PROM,"1,0000","1,0000",3.221.888,18.478.861,6,3,E-MAIL
05/12/2019,D,PROM,"1,0000","1,0000",5.168.445,18.478.861,8,6,E-MAIL
05/12/2019,E,PROM,"1,0000","1,0000",335.613,18.478.861,1,1,E-MAIL
05/12/2019,X,PROM,"1,0000","1,0000",6.712.267,18.478.861,5,5,E-MAIL
06/12/2019,A,PROM,"1,0000","1,0000",644.371,18.478.861,12,0,E-MAIL
06/12/2019,B,PROM,"1,0000","1,0000",2.396.277,18.478.861,7,3,E-MAIL
06/12/2019,C,PROM,"1,0000","1,0000",3.221.888,18.478.861,6,3,E-MAIL
06/12/2019,D,PROM,"1,0000","1,0000",5.168.445,18.478.861,8,6,E-MAIL
06/12/2019,E,PROM,"1,0000","1,0000",335.613,18.478.861,1,1,E-MAIL
06/12/2019,X,PROM,"1,0000","1,0000",6.712.267,18.478.861,5,5,E-MAIL
07/12/2019,A,PROM,"1,0000","1,0000",644.371,18.478.861,12,0,E-MAIL
07/12/2019,B,PROM,"1,0000","1,0000",2.396.277,18.478.861,7,3,E-MAIL
07/12/2019,C,PROM,"1,0000","1,0000",3.221.888,18.478.861,6,3,E-MAIL
07/12/2019,D,PROM,"1,0000","1,0000",5.168.445,18.478.861,8,6,E-MAIL
07/12/2019,E,PROM,"1,0000","1,0000",335.613,18.478.861,1,1,E-MAIL
07/12/2019,X,PROM,"1,0000","1,0000",6.712.267,18.478.861,5,5,E-MAIL
