Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
22/03/2019,A,PROM,"0,9997","0,9997",594.134,2.128.010,11,8,EMAIL
22/03/2019,I,PROM,"0,9999","0,9999",1.533.545,2.128.010,10,10,EMAIL
23/03/2019,A,PROM,"0,9995","0,9995",594.015,2.128.010,11,8,EMAIL
23/03/2019,I,PROM,"0,9998","0,9998",1.533.391,2.128.010,10,10,EMAIL
24/03/2019,A,PROM,"0,9992","0,9992",593.837,2.128.010,11,8,EMAIL
24/03/2019,I,PROM,"0,9998","0,9998",1.533.391,2.128.010,10,10,EMAIL
25/03/2019,A,PROM,"0,9990","0,9990",593.718,2.128.010,11,4,EMAIL
25/03/2019,I,PROM,"0,9997","0,9997",1.533.238,2.128.010,10,10,EMAIL
26/03/2019,A,PROM,"0,9987","0,9987",593.539,2.127.950,11,4,EMAIL
26/03/2019,I,PROM,"0,9996","0,9996",1.533.085,2.127.950,10,10,EMAIL
27/03/2019,A,PROM,"0,9985","0,9985",593.421,2.127.965,11,4,EMAIL
27/03/2019,I,PROM,"0,9995","0,9995",1.532.931,2.127.965,10,10,EMAIL
28/03/2019,A,PROM,"0,9982","0,9982",593.242,2.127.972,11,4,EMAIL
28/03/2019,I,PROM,"0,9995","0,9995",1.532.931,2.127.972,10,10,EMAIL
29/03/2019,A,PROM,"0,9980","0,9980",593.123,2.127.981,11,4,EMAIL
29/03/2019,I,PROM,"0,9994","0,9994",1.532.778,2.127.981,10,10,EMAIL
30/03/2019,A,PROM,"0,9977","0,9977",592.945,2.127.989,11,4,EMAIL
30/03/2019,I,PROM,"0,9993","0,9993",1.532.624,2.127.989,10,10,EMAIL
31/03/2019,A,PROM,"0,9973","0,9973",592.707,2.127.997,11,4,EMAIL
31/03/2019,I,PROM,"0,9990","0,9990",1.532.164,2.127.997,10,10,EMAIL
01/04/2019,A,PROM,"0,9970","0,9970",592.529,2.128.008,11,4,EMAIL
