Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
13/11/2019,B,PROM,"1,0000","1,0000",1.704.678,15.121.146,7,0,N/A
13/11/2019,I,PROM,"1,0000","1,0000",13.416.468,15.121.146,12,7,N/A
14/11/2019,B,PROM,"1,0000","1,0000",1.704.678,15.121.146,7,0,N/A
14/11/2019,I,PROM,"1,0000","1,0000",13.416.468,15.121.146,12,7,N/A
15/11/2019,B,PROM,"0,9999","0,9999",1.704.508,15.121.146,8,0,N/A
15/11/2019,I,PROM,"1,0000","1,0000",13.416.468,15.121.146,12,7,N/A
16/11/2019,B,PROM,"0,9999","0,9999",1.704.508,15.121.146,7,0,N/A
16/11/2019,I,PROM,"1,0000","1,0000",13.416.468,15.121.146,12,7,N/A
17/11/2019,B,PROM,"0,9998","0,9998",1.704.337,15.121.146,7,0,N/A
17/11/2019,I,PROM,"1,0000","1,0000",13.416.468,15.121.146,12,7,N/A
18/11/2019,B,PROM,"0,9998","0,9998",1.704.337,15.121.146,7,0,N/A
18/11/2019,I,PROM,"1,0000","1,0000",13.416.468,15.121.146,12,7,N/A
19/11/2019,B,PROM,"0,9998","0,9998",1.704.337,15.121.146,8,0,NA
19/11/2019,I,PROM,"1,0000","1,0000",13.416.468,15.121.146,12,7,N/A
20/11/2019,B,PROM,"0,9997","0,9997",1.704.167,15.121.146,8,0,NA
20/11/2019,I,PROM,"1,0000","1,0000",13.416.468,15.121.146,12,7,N/A
21/11/2019,B,PROM,"0,9997","0,9997",1.704.167,15.121.146,8,0,NA
21/11/2019,I,PROM,"1,0000","1,0000",13.416.468,15.121.146,12,7,N/A
22/11/2019,B,PROM,"0,9996","0,9996",1.703.996,15.121.146,8,0,NA
22/11/2019,I,PROM,"1,0000","1,0000",13.416.468,15.121.146,12,7,N/A
23/11/2019,B,PROM,"0,9996","0,9996",1.703.996,15.121.146,8,0,NA
23/11/2019,I,PROM,"0,9999","0,9999",13.415.126,15.121.146,12,7,N/A
24/11/2019,B,PROM,"0,9995","0,9995",1.703.826,15.121.146,8,0,NA
24/11/2019,I,PROM,"0,9999","0,9999",13.415.126,15.121.146,12,7,N/A
25/11/2019,B,PROM,"0,9995","0,9995",1.703.826,15.121.146,9,0,NA
25/11/2019,I,PROM,"0,9999","0,9999",13.415.126,15.121.146,12,7,N/A
26/11/2019,B,PROM,"0,9995","0,9995",1.703.826,15.121.146,9,0,N/A
26/11/2019,I,PROM,"0,9999","0,9999",13.415.126,15.121.146,12,7,N/A
27/11/2019,B,PROM,"0,9994","0,9994",1.703.655,15.121.146,9,0,NA
27/11/2019,I,PROM,"0,9999","0,9999",13.415.126,15.121.146,12,7,N/A
28/11/2019,B,PROM,"0,9994","0,9994",1.703.655,15.121.146,9,0,NA
28/11/2019,I,PROM,"0,9999","0,9999",13.415.126,15.121.146,12,7,N/A
29/11/2019,B,PROM,"0,9993","1703485,0000",1.703.485,15.121.146,9,0,N/A
29/11/2019,I,PROM,"0,9999","0,9999",13.415.126,15.121.146,12,7,N/A
30/11/2019,B,PROM,"0,9993","0,9993",1.703.485,15.121.146,9,0,N/A
30/11/2019,I,PROM,"0,9999","0,9999",13.415.126,15.121.146,12,7,N/A
01/12/2019,B,PROM,"0,9993","0,9993",1.703.485,15.121.146,9,0,N/A
01/12/2019,I,PROM,"0,9999","0,9999",13.415.126,15.121.146,12,7,N/A
02/12/2019,B,PROM,"0,9992","0,9992",1.703.314,15.118.772,9,0,NA
02/12/2019,I,PROM,"0,9999","0,9999",13.415.126,15.118.772,12,7,N/A
03/12/2019,B,PROM,"0,9992","0,9992",1.703.314,15.118.772,9,0,NA
03/12/2019,I,PROM,"0,9999","0,9999",13.415.126,15.118.772,12,7,N/A
04/12/2019,B,PROM,"0,9991","0,9991",1.703.144,15.118.772,9,0,NA
04/12/2019,I,PROM,"0,9999","0,9999",13.415.126,15.118.772,11,7,N/A
05/12/2019,B,PROM,"0,9991","0,9991",1.703.144,15.118.772,9,0,NA
05/12/2019,I,PROM,"0,9999","0,9999",13.415.126,15.118.772,11,7,N/A
06/12/2019,B,PROM,"0,9990","0,9990",1.702.973,15.118.772,9,0,NA
06/12/2019,I,PROM,"0,9999","0,9999",13.415.126,15.118.772,11,7,N/A
07/12/2019,B,PROM,"0,9990","0,9990",1.702.973,15.118.772,9,0,NA
07/12/2019,I,PROM,"0,9999","0,9999",13.415.126,15.118.772,11,7,N/A
08/12/2019,B,PROM,"0,9990","0,9990",1.702.973,15.118.772,9,0,NA
08/12/2019,I,PROM,"0,9999","0,9999",13.415.126,15.118.772,11,7,N/A
09/12/2019,B,PROM,"0,9989","0,9989",1.702.803,15.118.772,9,0,NA
09/12/2019,I,PROM,"0,9999","0,9999",13.415.126,15.118.772,11,7,N/A
10/12/2019,B,PROM,"0,9989","0,9989",1.702.803,15.118.772,9,0,NA
10/12/2019,I,PROM,"0,9999","0,9999",13.415.126,15.118.772,11,7,N/A
11/12/2019,B,PROM,"0,9988","0,9988",1.702.632,15.118.772,9,0,NA
11/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
12/12/2019,B,PROM,"0,9988","0,9988",1.702.632,15.118.772,9,0,NA
12/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
13/12/2019,B,PROM,"0,9988","0,9988",1.702.632,15.118.772,9,0,NA
13/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
14/12/2019,B,PROM,"0,9987","0,9987",1.702.462,15.118.772,9,0,NA
14/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
15/12/2019,B,PROM,"0,9987","0,9987",1.702.462,15.118.772,9,0,NA
15/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
16/12/2019,B,PROM,"0,9986","0,9986",1.702.291,15.118.772,9,0,NA
16/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
17/12/2019,B,PROM,"0,9986","0,9986",1.702.291,15.118.772,9,0,NA
17/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
18/12/2019,B,PROM,"0,9985","0,9985",1.702.121,15.118.772,9,0,NA
18/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
19/12/2019,B,PROM,"0,9985","0,9985",1.702.121,15.118.772,9,0,NA
19/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
20/12/2019,B,PROM,"0,9985","0,9985",1.702.121,15.118.772,9,0,NA
20/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
21/12/2019,B,PROM,"0,9984","0,9984",1.701.951,15.118.772,9,0,NA
21/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
22/12/2019,B,PROM,"0,9984","0,9984",1.701.951,15.118.772,9,0,NA
22/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
23/12/2019,B,PROM,"0,9983","0,9983",1.701.780,15.118.772,9,0,NA
23/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
24/12/2019,B,PROM,"0,9983","0,9983",1.701.780,15.118.772,9,0,N/A
24/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
25/12/2019,B,PROM,"0,9983","0,9983",1.701.780,15.118.772,9,0,NA
25/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
26/12/2019,B,PROM,"0,9982","0,9982",1.701.610,15.118.772,9,0,NA
26/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
27/12/2019,B,PROM,"0,9982","0,9982",1.701.610,15.118.772,9,0,NA
27/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
28/12/2019,B,PROM,"0,9981","0,9981",1.701.439,15.118.772,9,0,NA
28/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
29/12/2019,B,PROM,"0,9981","0,9981",1.701.439,15.118.772,9,0,NA
29/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
30/12/2019,B,PROM,"0,9981","0,9981",1.701.439,15.118.772,9,0,NA
30/12/2019,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,11,7,N/A
31/12/2019,B,PROM,"0,9980","0,9980",1.701.269,15.118.772,9,0,N/A
31/12/2019,I,PROM,"0,9998","0,9998",13.413.785,15.118.772,11,7,N/A
01/01/2020,B,PROM,"0,9980","0,9980",1.701.269,15.118.772,9,0,N/A
01/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,12,7,N/A
02/01/2020,B,PROM,"0,9979","0,9979",1.701.098,15.118.772,9,0,N/A
02/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,12,7,N/A
03/01/2020,B,PROM,"0,9979","0,9979",1.701.098,15.118.772,9,0,NA
03/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,12,7,N/A
04/01/2020,B,PROM,"0,9979","0,9979",1.701.098,15.118.772,9,0,NA
04/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,12,7,N/A
05/01/2020,B,PROM,"0,9978","0,9978",1.700.928,15.118.772,9,0,NA
05/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,12,7,N/A
06/01/2020,B,PROM,"0,9978","0,9978",1.700.928,15.118.772,9,0,NA
06/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,12,7,N/A
07/01/2020,B,PROM,"0,9977","0,9977",1.700.757,15.118.772,9,0,NA
07/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,12,7,N/A
08/01/2020,B,PROM,"0,9977","0,9977",1.700.757,15.118.772,9,0,NA
08/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,12,7,N/A
09/01/2020,B,PROM,"0,9976","0,9976",1.700.587,15.118.772,9,0,NA
09/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,12,7,N/A
10/01/2020,B,PROM,"0,9976","0,9976",1.700.587,15.118.772,9,0,NA
10/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,12,7,N/A
11/01/2020,B,PROM,"0,9976","0,9976",1.700.587,15.118.772,9,0,NA
11/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,12,7,N/A
12/01/2020,B,PROM,"0,9975","0,9975",1.700.416,15.118.772,9,0,NA
12/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,12,7,N/A
13/01/2020,B,PROM,"0,9975","0,9975",1.700.416,15.118.772,9,0,NA
13/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,12,7,N/A
14/01/2020,B,PROM,"0,9974","0,9974",1.700.246,15.118.772,9,0,NA
14/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,12,7,N/A
15/01/2020,B,PROM,"0,9974","0,9974",1.700.246,15.118.772,9,0,NA
15/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,12,7,N/A
16/01/2020,B,PROM,"0,9974","0,9974",1.700.246,15.118.772,9,0,NA
16/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,12,7,NA
17/01/2020,B,PROM,"0,9973","0,9973",1.700.075,15.118.772,9,0,NA
17/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,7,3,NA
18/01/2020,B,PROM,"0,9973","0,9973",1.700.075,15.118.772,9,0,NA
18/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,7,3,NA
19/01/2020,B,PROM,"0,9972","0,9972",1.699.905,15.118.772,9,0,NA
19/01/2020,I,PROM,"0,9997","0,9997",13.412.443,15.118.772,7,3,NA
20/01/2020,B,PROM,"0,9972","0,9972",1.699.905,15.118.772,9,0,NA
20/01/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.772,7,3,NA
21/01/2020,B,PROM,"0,9972","0,9972",1.699.905,15.118.772,9,0,NA
21/01/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.772,7,3,NA
22/01/2020,B,PROM,"0,9971","0,9971",1.699.734,15.118.772,9,0,NA
22/01/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.772,7,3,NA
23/01/2020,B,PROM,"0,9971","0,9971",1.699.734,15.118.772,9,0,NA
23/01/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.772,7,3,NA
24/01/2020,B,PROM,"0,9970","0,9970",1.699.564,15.118.772,9,0,NA
24/01/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.772,7,3,NA
25/01/2020,B,PROM,"0,9970","0,9970",1.699.564,15.118.772,9,0,NA
25/01/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.772,7,3,N/A
26/01/2020,B,PROM,"0,9969","0,9969",1.699.393,15.118.772,9,0,NA
26/01/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.772,7,3,NA
27/01/2020,B,PROM,"0,9969","0,9969",1.699.393,15.118.772,9,0,NA
27/01/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.772,11,7,NA
28/01/2020,B,PROM,"0,9969","0,9969",1.699.393,15.118.772,9,0,NA
28/01/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.772,11,7,NA
29/01/2020,B,PROM,"0,9968","0,9968",1.699.223,15.118.772,9,0,NA
29/01/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.772,11,7,NA
30/01/2020,B,PROM,"0,9968","0,9968",1.699.223,15.118.772,9,0,NA
30/01/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.772,11,7,NA
31/01/2020,B,PROM,"0,9967","0,9967",1.699.053,15.118.772,9,0,NA
31/01/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.772,11,7,NA
01/02/2020,B,PROM,"0,9967","0,9967",1.699.053,15.118.772,9,0,NA
01/02/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.772,11,7,NA
02/02/2020,B,PROM,"0,9967","0,9967",1.699.053,15.118.772,9,0,NA
02/02/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.772,11,7,NA
03/02/2020,B,PROM,"0,9966","0,9966",1.698.882,15.114.442,9,0,NA
03/02/2020,I,PROM,"0,9996","0,9996",13.411.101,15.114.442,11,7,NA
04/02/2020,B,PROM,"0,9966","0,9966",1.698.882,15.118.633,9,0,NA
04/02/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.633,11,7,NA
05/02/2020,B,PROM,"0,9965","0,9965",1.698.712,15.118.633,9,0,NA
05/02/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.633,11,7,NA
06/02/2020,B,PROM,"0,9965","0,9965",1.698.712,15.118.633,9,0,NA
06/02/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.633,11,7,NA
07/02/2020,B,PROM,"0,9964","0,9964",1.698.541,15.118.633,9,0,NA
07/02/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.633,11,7,NA
08/02/2020,B,PROM,"0,9964","0,9964",1.698.541,15.118.633,9,0,NA
08/02/2020,I,PROM,"0,9996","0,9996",13.411.101,15.118.633,11,7,NA
09/02/2020,B,PROM,"0,9964","0,9964",1.698.541,15.118.633,9,0,NA
09/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,N/A
10/02/2020,B,PROM,"0,9963","0,9963",1.698.371,15.118.633,9,0,NA
10/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,NA
11/02/2020,B,PROM,"0,9963","0,9963",1.698.371,15.118.633,9,0,NA
11/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,NA
12/02/2020,B,PROM,"0,9962","0,9962",1.698.200,15.118.633,9,0,NA
12/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,NA
13/02/2020,B,PROM,"0,9962","0,9962",1.698.200,15.118.633,9,0,NA
13/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,NA
14/02/2020,B,PROM,"0,9962","0,9962",1.698.200,15.118.633,9,0,NA
14/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,N/A
15/02/2020,B,PROM,"0,9961","0,9961",1.698.030,15.118.633,9,0,NA
15/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,N/A
16/02/2020,B,PROM,"0,9961","0,9961",1.698.030,15.118.633,9,0,NA
16/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,N/A
17/02/2020,B,PROM,"0,9960","0,9960",1.697.859,15.118.633,9,0,NA
17/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,NA
18/02/2020,B,PROM,"0,9960","0,9960",1.697.859,15.118.633,9,0,NA
18/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,NA
19/02/2020,B,PROM,"0,9960","0,9960",1.697.859,15.118.633,9,0,NA
19/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,NA
20/02/2020,B,PROM,"0,9959","0,9959",1.697.689,15.118.633,9,0,NA
20/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,NA
21/02/2020,B,PROM,"0,9959","0,9959",1.697.689,15.118.633,9,0,NA
21/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,NA
22/02/2020,B,PROM,"0,9958","0,9958",1.697.518,15.118.633,9,0,NA
22/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,NA
23/02/2020,B,PROM,"0,9958","0,9958",1.697.518,15.118.633,9,0,NA
23/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,N/A
24/02/2020,B,PROM,"0,9957","0,9957",1.697.348,15.118.633,9,0,NA
24/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,NA
25/02/2020,B,PROM,"0,9957","0,9957",1.697.348,15.118.633,9,0,NA
25/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,NA
26/02/2020,B,PROM,"0,9957","0,9957",1.697.348,15.118.633,9,0,NA
26/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,NA
27/02/2020,B,PROM,"0,9956","0,9956",1.697.177,15.118.633,9,0,NA
27/02/2020,I,PROM,"0,9995","0,9995",13.409.760,15.118.633,11,7,NA
28/02/2020,B,PROM,"0,9787","0,9787",1.668.368,14.866.990,9,0,NA
28/02/2020,I,PROM,"0,9825","0,9825",13.181.680,14.866.990,11,7,NA
29/02/2020,B,PROM,"0,9787","0,9787",1.668.368,14.866.990,9,0,NA
29/02/2020,I,PROM,"0,9825","0,9825",13.181.680,14.866.990,11,7,NA
01/03/2020,B,PROM,"0,9787","0,9787",1.668.368,14.866.990,9,0,NA
01/03/2020,I,PROM,"0,9825","0,9825",13.181.680,14.866.990,11,7,NA
02/03/2020,B,PROM,"0,9786","0,9786",1.668.198,14.862.947,9,0,NA
