Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
13/01/2020,A,PROM,"1,0000","1,0000",97.521,2.829.512,2,0,WWW.EXCELCAPITAL.COM
13/01/2020,B,PROM,"1,0000","1,0000",2.730.588,2.829.512,11,7,WWW.EXCELCAPITAL.COM
14/01/2020,A,PROM,"1,0000","1,0000",97.521,2.829.320,2,0,WWW.EXCELCAPITAL.COM
14/01/2020,B,PROM,"1,0000","1,0000",2.730.588,2.829.320,11,7,WWW.EXCELCAPITAL.COM
15/01/2020,A,PROM,"0,9998","0,9998",97.501,2.828.755,2,0,WWW.EXCELCAPITAL.COM
15/01/2020,B,PROM,"0,9998","0,9998",2.730.042,2.828.755,11,7,WWW.EXCELCAPITAL.COM
16/01/2020,A,PROM,"0,9998","0,9998",97.501,2.828.636,2,0,WWW.EXCELCAPITAL.COM
16/01/2020,B,PROM,"0,9998","0,9998",2.730.042,2.828.636,11,7,WWW.EXCELCAPITAL.COM
17/01/2020,A,PROM,"0,9997","0,9997",97.492,2.828.635,2,0,WWW.EXCELCAPITAL.COM
17/01/2020,B,PROM,"0,9997","0,9997",2.729.769,2.828.635,11,7,WWW.EXCELCAPITAL.COM
18/01/2020,A,PROM,"0,9996","0,9996",97.482,2.828.635,2,0,WWW.EXCELCAPITAL.COM
18/01/2020,B,PROM,"0,9996","0,9996",2.729.496,2.828.635,11,7,WWW.EXCELCAPITAL.COM
19/01/2020,A,PROM,"0,9995","0,9995",97.472,2.828.635,2,0,WWW.EXCELCAPITAL.COM
19/01/2020,B,PROM,"0,9995","0,9995",2.729.223,2.828.635,11,7,WWW.EXCELCAPITAL.COM
20/01/2020,A,PROM,"0,9994","0,9994",97.462,2.828.637,2,0,WWW.EXCELCAPITAL.COM
20/01/2020,B,PROM,"0,9995","0,9995",2.729.223,2.828.637,11,7,WWW.EXCELCAPITAL.COM
21/01/2020,A,PROM,"0,9992","0,9992",97.443,2.828.638,2,0,WWW.EXCELCAPITAL.COM
21/01/2020,B,PROM,"0,9994","0,9994",2.728.950,2.828.638,11,7,WWW.EXCELCAPITAL.COM
22/01/2020,A,PROM,"0,9991","0,9991",97.433,2.828.694,2,0,WWW.EXCELCAPITAL.COM
22/01/2020,B,PROM,"0,9993","0,9993",2.728.677,2.828.694,11,7,WWW.EXCELCAPITAL.COM
23/01/2020,A,PROM,"0,9990","0,9990",97.423,2.828.692,2,0,WWW.EXCELCAPITAL.COM
23/01/2020,B,PROM,"0,9992","0,9992",2.728.404,2.828.692,11,7,WWW.EXCELCAPITAL.COM
24/01/2020,A,PROM,"0,9990","0,9990",269.799,7.827.411,2,0,WWW.EXCELCAPITAL.COM
24/01/2020,B,PROM,"0,9992","0,9992",7.554.926,7.827.411,11,7,WWW.EXCELCAPITAL.COM
25/01/2020,A,PROM,"0,9989","0,9989",269.772,7.827.411,2,0,WWW.EXCELCAPITAL.COM
25/01/2020,B,PROM,"0,9991","0,9991",7.554.170,7.827.411,11,7,WWW.EXCELCAPITAL.COM
26/01/2020,A,PROM,"0,9989","0,9989",269.772,7.827.411,2,0,WWW.EXCELCAPITAL.COM
26/01/2020,B,PROM,"0,9991","0,9991",7.554.170,7.827.411,11,7,WWW.EXCELCAPITAL.COM
27/01/2020,A,PROM,"0,9988","0,9988",269.745,7.827.051,2,0,WWW.EXCELCAPITAL.COM
27/01/2020,B,PROM,"0,9991","0,9991",7.554.170,7.827.051,11,7,WWW.EXCELCAPITAL.COM
28/01/2020,A,PROM,"0,9988","0,9988",269.745,7.828.420,2,0,WWW.EXCELCAPITAL.COM
28/01/2020,B,PROM,"0,9990","0,9990",7.553.414,7.828.420,11,7,WWW.EXCELCAPITAL.COM
29/01/2020,A,PROM,"0,9987","0,9987",269.718,7.828.205,2,0,WWW.EXCELCAPITAL.COM
29/01/2020,B,PROM,"0,9990","0,9990",7.553.414,7.828.205,11,7,WWW.EXCELCAPITAL.COM
30/01/2020,A,PROM,"0,9987","0,9987",269.718,7.828.205,2,0,WWW.EXCELCAPITAL.COM
30/01/2020,B,PROM,"0,9989","0,9989",7.552.658,7.828.205,11,7,WWW.EXCELCAPITAL.COM
31/01/2020,A,PROM,"0,9987","0,9987",269.718,7.828.187,2,0,WWW.EXCELCAPITAL.COM
31/01/2020,B,PROM,"0,9989","0,9989",7.552.658,7.828.187,11,7,WWW.EXCELCAPITAL.COM
01/02/2020,A,PROM,"0,9986","0,9986",269.691,7.828.187,2,0,WWW.EXCELCAPITAL.COM
01/02/2020,B,PROM,"0,9989","0,9989",7.552.658,7.828.187,11,7,WWW.EXCELCAPITAL.COM
02/02/2020,A,PROM,"0,9986","0,9986",269.691,7.828.187,2,0,WWW.EXCELCAPITAL.COM
02/02/2020,B,PROM,"0,9989","0,9989",7.552.658,7.828.187,11,7,WWW.EXCELCAPITAL.COM
03/02/2020,A,PROM,"0,9985","0,9985",269.664,7.828.184,2,0,WWW.EXCELCAPITAL.COM
03/02/2020,B,PROM,"0,9988","0,9988",7.551.902,7.828.184,11,7,WWW.EXCELCAPITAL.COM
04/02/2020,A,PROM,"0,9985","0,9985",269.664,7.828.164,2,0,WWW.EXCELCAPITAL.COM
04/02/2020,B,PROM,"0,9988","0,9988",7.551.902,7.828.164,11,7,WWW.EXCELCAPITAL.COM
05/02/2020,A,PROM,"0,9984","0,9984",269.637,7.826.059,2,0,WWW.EXCELCAPITAL.COM
05/02/2020,B,PROM,"0,9988","0,9988",7.551.902,7.826.059,11,7,WWW.EXCELCAPITAL.COM
06/02/2020,A,PROM,"0,9984","0,9984",269.637,7.826.068,2,0,WWW.EXCELCAPITAL.COM
06/02/2020,B,PROM,"0,9987","0,9987",7.551.146,7.826.068,11,7,WWW.EXCELCAPITAL.COM
07/02/2020,A,PROM,"0,9984","0,9984",269.637,7.826.064,2,0,WWW.EXCELCAPITAL.COM
07/02/2020,B,PROM,"0,9987","0,9987",7.551.146,7.826.064,11,7,WWW.EXCELCAPITAL.COM
08/02/2020,A,PROM,"0,9983","0,9983",269.610,7.826.064,2,0,WWW.EXCELCAPITAL.COM
08/02/2020,B,PROM,"0,9987","0,9987",7.551.146,7.826.064,11,7,WWW.EXCELCAPITAL.COM
09/02/2020,A,PROM,"0,9983","0,9983",269.610,7.826.064,2,0,WWW.EXCELCAPITAL.COM
09/02/2020,B,PROM,"0,9986","0,9986",7.550.390,7.826.064,11,7,WWW.EXCELCAPITAL.COM
10/02/2020,A,PROM,"0,9982","0,9982",269.583,7.826.046,2,0,WWW.EXCELCAPITAL.COM
10/02/2020,B,PROM,"0,9986","0,9986",7.550.390,7.826.046,11,7,WWW.EXCELCAPITAL.COM
11/02/2020,A,PROM,"0,9982","0,9982",269.583,7.826.032,2,0,WWW.EXCELCAPITAL.COM
11/02/2020,B,PROM,"0,9986","0,9986",7.550.390,7.826.032,11,7,WWW.EXCELCAPITAL.COM
12/02/2020,A,PROM,"0,9982","0,9982",269.583,7.826.039,2,0,WWW.EXCELCAPITAL.COM
12/02/2020,B,PROM,"0,9985","0,9985",7.549.634,7.826.039,11,7,WWW.EXCELCAPITAL.COM
13/02/2020,A,PROM,"0,9981","0,9981",269.556,7.826.047,2,0,WWW.EXCELCAPITAL.COM
13/02/2020,B,PROM,"0,9985","0,9985",7.549.634,7.826.047,11,7,WWW.EXCELCAPITAL.COM
14/02/2020,A,PROM,"0,9981","0,9981",269.556,7.826.034,2,0,WWW.EXCELCAPITAL.COM
14/02/2020,B,PROM,"0,9985","0,9985",7.549.634,7.826.034,11,7,WWW.EXCELCAPITAL.COM
15/02/2020,A,PROM,"0,9980","0,9980",269.529,7.826.034,2,0,WWW.EXCELCAPITAL.COM
15/02/2020,B,PROM,"0,9984","0,9984",7.548.877,7.826.034,11,7,WWW.EXCELCAPITAL.COM
16/02/2020,A,PROM,"0,9980","0,9980",269.529,7.826.034,2,0,WWW.EXCELCAPITAL.COM
16/02/2020,B,PROM,"0,9984","0,9984",7.548.877,7.826.034,11,7,WWW.EXCELCAPITAL.COM
17/02/2020,A,PROM,"0,9980","0,9980",269.529,7.826.038,2,0,WWW.EXCELCAPITAL.COM
17/02/2020,B,PROM,"0,9984","0,9984",7.548.877,7.826.038,11,7,WWW.EXCELCAPITAL.COM
18/02/2020,A,PROM,"0,9979","0,9979",269.502,7.826.040,2,0,WWW.EXCELCAPITAL.COM
18/02/2020,B,PROM,"0,9983","0,9983",7.548.121,7.826.040,11,7,WWW.EXCELCAPITAL.COM
19/02/2020,A,PROM,"0,9979","0,9979",269.502,7.826.031,2,0,WWW.EXCELCAPITAL.COM
19/02/2020,B,PROM,"0,9983","0,9983",7.548.121,7.826.031,11,7,WWW.EXCELCAPITAL.COM
20/02/2020,A,PROM,"0,9978","0,9978",269.475,7.826.030,2,0,WWW.EXCELCAPITAL.COM
20/02/2020,B,PROM,"0,9983","0,9983",7.548.121,7.826.030,11,7,WWW.EXCELCAPITAL.COM
21/02/2020,A,PROM,"0,9978","0,9978",269.475,7.826.016,2,0,WWW.EXCELCAPITAL.COM
21/02/2020,B,PROM,"0,9983","0,9983",7.548.121,7.826.016,11,7,WWW.EXCELCAPITAL.COM
22/02/2020,A,PROM,"0,9978","0,9978",269.475,7.826.016,2,0,WWW.EXCELCAPITAL.COM
22/02/2020,B,PROM,"0,9982","0,9982",7.547.365,7.826.016,11,7,WWW.EXCELCAPITAL.COM
23/02/2020,A,PROM,"0,9977","0,9977",269.448,7.826.016,2,0,WWW.EXCELCAPITAL.COM
23/02/2020,B,PROM,"0,9982","0,9982",7.547.365,7.826.016,11,7,WWW.EXCELCAPITAL.COM
24/02/2020,A,PROM,"0,9976","0,9976",269.421,7.825.580,2,0,WWW.EXCELCAPITAL.COM
24/02/2020,B,PROM,"0,9981","0,9981",7.546.609,7.825.580,11,7,WWW.EXCELCAPITAL.COM
25/02/2020,A,PROM,"0,9976","0,9976",269.421,7.825.580,2,0,WWW.EXCELCAPITAL.COM
25/02/2020,B,PROM,"0,9981","0,9981",7.546.609,7.825.580,11,7,WWW.EXCELCAPITAL.COM
26/02/2020,A,PROM,"0,9918","0,9918",267.854,7.780.372,2,0,WWW.EXCELCAPITAL.COM
26/02/2020,B,PROM,"0,9923","0,9923",7.502.755,7.780.372,11,7,WWW.EXCELCAPITAL.COM
27/02/2020,A,PROM,"0,9917","0,9917",267.827,7.780.368,2,0,WWW.EXCELCAPITAL.COM
27/02/2020,B,PROM,"0,9923","0,9923",7.502.755,7.780.368,11,7,WWW.EXCELCAPITAL.COM
28/02/2020,A,PROM,"0,9917","0,9917",267.827,7.780.362,2,0,WWW.EXCELCAPITAL.COM
28/02/2020,B,PROM,"0,9922","0,9922",7.501.999,7.780.362,11,7,WWW.EXCELCAPITAL.COM
29/02/2020,A,PROM,"0,9917","0,9917",267.827,7.780.363,2,0,WWW.EXCELCAPITAL.COM
29/02/2020,B,PROM,"0,9922","0,9922",7.501.999,7.780.363,11,7,WWW.EXCELCAPITAL.COM
01/03/2020,A,PROM,"0,9916","0,9916",267.800,7.780.364,2,0,WWW.EXCELCAPITAL.COM
01/03/2020,B,PROM,"0,9922","0,9922",7.501.999,7.780.364,11,7,WWW.EXCELCAPITAL.COM
02/03/2020,A,PROM,"0,9916","0,9916",267.800,7.780.362,2,0,WWW.EXCELCAPITAL.COM
02/03/2020,B,PROM,"0,9921","0,9921",7.501.243,7.780.362,11,7,WWW.EXCELCAPITAL.COM
03/03/2020,A,PROM,"0,9916","0,9916",267.800,7.780.362,2,0,WWW.EXCELCAPITAL.COM
03/03/2020,B,PROM,"0,9921","0,9921",7.501.243,7.780.362,11,7,WWW.EXCELCAPITAL.COM
04/03/2020,A,PROM,"0,9915","0,9915",267.773,7.780.372,2,0,WWW.EXCELCAPITAL.COM
04/03/2020,B,PROM,"0,9921","0,9921",7.501.243,7.780.372,11,7,WWW.EXCELCAPITAL.COM
05/03/2020,A,PROM,"0,9915","0,9915",267.773,7.776.198,2,0,WWW.EXCELCAPITAL.COM
05/03/2020,B,PROM,"0,9920","0,9920",7.500.487,7.776.198,11,7,WWW.EXCELCAPITAL.COM
06/03/2020,A,PROM,"0,9914","0,9914",267.746,7.776.185,2,0,WWW.EXCELCAPITAL.COM
06/03/2020,B,PROM,"0,9920","0,9920",7.500.487,7.776.185,11,7,WWW.EXCELCAPITAL.COM
07/03/2020,A,PROM,"0,9914","0,9914",267.746,7.776.186,2,0,WWW.EXCELCAPITAL.COM
07/03/2020,B,PROM,"0,9920","0,9920",7.500.487,7.776.186,11,7,WWW.EXCELCAPITAL.COM
08/03/2020,A,PROM,"0,9914","0,9914",267.746,7.776.186,2,0,WWW.EXCELCAPITAL.COM
08/03/2020,B,PROM,"0,9920","0,9920",7.500.487,7.776.186,11,7,WWW.EXCELCAPITAL.COM
09/03/2020,A,PROM,"0,9913","0,9913",267.719,7.776.180,2,0,WWW.EXCELCAPITAL.COM
09/03/2020,B,PROM,"0,9919","0,9919",7.499.731,7.776.180,11,7,WWW.EXCELCAPITAL.COM
10/03/2020,A,PROM,"0,9913","0,9913",267.719,7.776.166,2,0,WWW.EXCELCAPITAL.COM
10/03/2020,B,PROM,"0,9919","0,9919",7.499.731,7.776.166,11,7,WWW.EXCELCAPITAL.COM
11/03/2020,A,PROM,"0,9912","0,9912",267.692,7.776.175,2,0,WWW.EXCELCAPITAL.COM
11/03/2020,B,PROM,"0,9919","0,9919",7.499.731,7.776.175,11,7,WWW.EXCELCAPITAL.COM
12/03/2020,A,PROM,"0,9912","0,9912",267.692,7.776.174,2,0,WWW.EXCELCAPITAL.COM
12/03/2020,B,PROM,"0,9918","0,9918",7.498.975,7.776.174,11,7,WWW.EXCELCAPITAL.COM
13/03/2020,A,PROM,"0,9912","0,9912",267.692,7.776.155,2,0,WWW.EXCELCAPITAL.COM
13/03/2020,B,PROM,"0,9918","0,9918",7.498.975,7.776.155,11,7,WWW.EXCELCAPITAL.COM
14/03/2020,A,PROM,"0,9911","0,9911",267.665,7.776.156,2,0,WWW.EXCELCAPITAL.COM
14/03/2020,B,PROM,"0,9918","0,9918",7.498.975,7.776.156,11,7,WWW.EXCELCAPITAL.COM
15/03/2020,A,PROM,"0,9911","0,9911",267.665,7.776.156,2,0,WWW.EXCELCAPITAL.COM
15/03/2020,B,PROM,"0,9918","0,9918",7.498.975,7.776.156,11,7,WWW.EXCELCAPITAL.COM
16/03/2020,A,PROM,"0,9910","0,9910",267.638,7.776.175,2,0,WWW.EXCELCAPITAL.COM
16/03/2020,B,PROM,"0,9917","0,9917",7.498.219,7.776.175,11,7,WWW.EXCELCAPITAL.COM
17/03/2020,A,PROM,"0,9910","0,9910",267.638,7.776.159,2,0,WWW.EXCELCAPITAL.COM
17/03/2020,B,PROM,"0,9917","0,9917",7.498.219,7.776.159,11,7,WWW.EXCELCAPITAL.COM
18/03/2020,A,PROM,"0,9910","0,9910",267.638,7.776.155,2,0,WWW.EXCELCAPITAL.COM
18/03/2020,B,PROM,"0,9917","0,9917",7.498.219,7.776.155,11,7,WWW.EXCELCAPITAL.COM
19/03/2020,A,PROM,"0,9910","0,9910",267.638,7.776.137,2,0,WWW.EXCELCAPITAL.COM
19/03/2020,B,PROM,"0,9916","0,9916",7.497.463,7.776.137,11,7,WWW.EXCELCAPITAL.COM
20/03/2020,A,PROM,"0,9909","0,9909",267.611,7.776.132,2,0,WWW.EXCELCAPITAL.COM
20/03/2020,B,PROM,"0,9916","0,9916",7.497.463,7.776.132,11,7,WWW.EXCELCAPITAL.COM
21/03/2020,A,PROM,"0,9909","0,9909",267.611,7.776.133,2,0,WWW.EXCELCAPITAL.COM
21/03/2020,B,PROM,"0,9916","0,9916",7.497.463,7.776.133,11,7,WWW.EXCELCAPITAL.COM
22/03/2020,A,PROM,"0,9908","0,9908",267.584,7.776.133,2,0,WWW.EXCELCAPITAL.COM
22/03/2020,B,PROM,"0,9916","0,9916",7.497.463,7.776.133,11,7,WWW.EXCELCAPITAL.COM
23/03/2020,A,PROM,"0,9908","0,9908",267.584,7.776.152,2,0,WWW.EXCELCAPITAL.COM
