Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
24/05/2019,I,PROM,"1,0000","0,0000",778.239,1.379.731,8,0,www.larrainvial.com
24/05/2019,P,PROM,"1,0000","0,0000",62.259,1.379.731,1,0,www.larrainvial.com
24/05/2019,R,PROM,"1,0000","0,0000",539.233,1.379.731,29,0,www.larrainvial.com
25/05/2019,I,PROM,"1,0000","0,0000",778.239,1.379.731,8,0,www.larrainvial.com
25/05/2019,P,PROM,"1,0000","0,0000",62.259,1.379.731,1,0,www.larrainvial.com
25/05/2019,R,PROM,"1,0000","0,0000",539.233,1.379.731,29,0,www.larrainvial.com
26/05/2019,I,PROM,"1,0000","0,0000",778.239,1.379.731,8,0,www.larrainvial.com
26/05/2019,P,PROM,"1,0000","0,0000",62.259,1.379.731,1,0,www.larrainvial.com
26/05/2019,R,PROM,"1,0000","0,0000",539.233,1.379.731,29,0,www.larrainvial.com
27/05/2019,I,PROM,"1,0000","0,0000",882.004,1.525.003,9,0,www.larrainvial.com
27/05/2019,P,PROM,"1,0000","0,0000",62.259,1.525.003,1,0,www.larrainvial.com
27/05/2019,R,PROM,"1,0000","0,0000",580.740,1.525.003,31,0,www.larrainvial.com
28/05/2019,I,PROM,"1,0000","0,0000",882.004,1.525.003,9,0,www.larrainvial.com
28/05/2019,P,PROM,"1,0000","0,0000",62.259,1.525.003,1,0,www.larrainvial.com
28/05/2019,R,PROM,"1,0000","0,0000",580.740,1.525.003,31,0,www.larrainvial.com
29/05/2019,I,PROM,"0,9906","0,0000",873.713,1.525.003,10,0,www.larrainvial.com
29/05/2019,P,PROM,"0,9907","0,0000",61.680,1.525.003,1,0,www.larrainvial.com
29/05/2019,R,PROM,"0,9906","0,0000",575.281,1.525.003,31,0,www.larrainvial.com
30/05/2019,I,PROM,"0,9906","0,0000",873.713,1.525.003,10,0,www.larrainvial.com
30/05/2019,P,PROM,"0,9907","0,0000",61.680,1.525.003,1,0,www.larrainvial.com
30/05/2019,R,PROM,"0,9906","0,0000",575.281,1.525.003,31,0,www.larrainvial.com
31/05/2019,I,PROM,"0,9906","0,0000",873.713,1.524.979,10,0,www.larrainvial.com
31/05/2019,P,PROM,"0,9907","0,0000",61.680,1.524.979,1,0,www.larrainvial.com
31/05/2019,R,PROM,"0,9906","0,0000",575.281,1.524.979,31,0,www.larrainvial.com
01/06/2019,I,PROM,"0,9906","0,0000",873.713,1.524.979,10,0,www.larrainvial.com
01/06/2019,P,PROM,"0,9907","0,0000",61.680,1.524.979,1,0,www.larrainvial.com
